Table A-3: U.S Greenhouse Gas Inventory Source Categories with LULUCF,,,,,
IPCC Source Categories,Direct GHG,2014 Emissions (MMT CO2 Eq.),Key Category?,ID Criteriaa,Level in which year(s)?b
Energy,,,,,
CO2 Emissions from Stationary Combustion - Coal - Electricity Generation,CO2,1570.4,•,L1 T1 L2 T2,"1990, 2014"
CO2 Emissions from Mobile Combustion: Road,CO2,1467.5,•,L1 T1 L2 T2,"1990, 2014"
CO2 Emissions from Stationary Combustion - Gas - Industrial,CO2,466.0,•,L1 T1 L2,"1990, 2014"
CO2 Emissions from Stationary Combustion - Gas - Electricity Generation,CO2,443.2,•,L1 T1 L2 T2,"19901, 2014"
CO2 Emissions from Stationary Combustion - Gas - Residential,CO2,277.6,•,L1 T1 L2,"1990, 2014"
CO2 Emissions from Stationary Combustion - Oil - Industrial,CO2,271.9,•,L1 T1 L2 T2,"1990, 2014"
CO2 Emissions from Stationary Combustion - Gas - Commercial,CO2,189.2,•,L1 T1 L2,"19901, 2014"
CO2 Emissions from Mobile Combustion: Aviation,CO2,150.1,•,L1 T1 L2,"1990, 20141"
CO2 Emissions from Non-Energy Use of Fuels,CO2,114.3,•,L1 T1 L2 T2,"1990, 2014"
CO2 Emissions from Mobile Combustion: Other,CO2,92.0,•,L1 T1,"19901, 20141"
CO2 Emissions from Stationary Combustion - Coal - Industrial,CO2,75.3,•,L1 T1 L2 T2,"1990, 2014"
CO2 Emissions from Stationary Combustion - Oil - Residential,CO2,67.5,•,L1 T1,"19901, 20141"
CO2 Emissions from Natural Gas Systems,CO2,42.4,•,L1 L2,"19901, 2014"
CO2 Emissions from Stationary Combustion - Oil - Commercial,CO2,38.2,•,L1 T1,"19901, 20141"
CO2 Emissions from Stationary Combustion - Oil - U.S. Territories,CO2,34.6,•,L1 T1,20141
CO2 Emissions from Mobile Combustion: Marine,CO2,28.0,•,L1 T1,"19901, 20141"
CO2 Emissions from Stationary Combustion - Oil - Electricity Generation,CO2,25.3,•,L1 T1 T2,19901
CO2 Emissions from Incineration of Waste,CO2,9.4,,,
CO2 Emissions from Stationary Combustion - Coal - Commercial,CO2,4.5,•,T1,
CO2 Emissions from Petroleum Systems,CO2,3.6,,,
CO2 Emissions from Stationary Combustion - Coal - U.S. Territories,CO2,3.4,,,
CO2 Emissions from Stationary Combustion - Gas - U.S. Territories,CO2,3.0,,,
CO2 Emissions from Stationary Combustion - Geothermal Energy,CO2,0.4,,,
CO2 Emissions from Stationary Combustion - Coal - Residential,CO2,0.0,,,
CH4 Emissions from Natural Gas Systems,CH4,176.1,•,L1 T1 L2 T2,"1990, 2014"
CH4 Emissions from Petroleum Systems,CH4,68.1,•,L1 T1 L2 T2,"1990, 2014"
Fugitive Emissions from Coal Mining,CH4,67.6,•,L1 T1 L2 T2,"1990, 20141"
Fugitive Emissions from Abandoned Underground Coal Mines,CH4,6.3,,,
Non-CO2 Emissions from Stationary Combustion - Residential,CH4,5.0,•,L2,"19902, 20142"
Non-CO2 Emissions from Stationary Combustion - Industrial,CH4,1.5,,,
CH4 Emissions from Mobile Combustion: Road,CH4,1.4,,,
Non-CO2 Emissions from Stationary Combustion - Commercial,CH4,1.1,,,
CH4 Emissions from Mobile Combustion: Other,CH4,0.5,,,
Non-CO2 Emissions from Stationary Combustion - Electricity Generation,CH4,0.4,,,
Non-CO2 Emissions from Stationary Combustion - U.S. Territories,CH4,0.1,,,
CH4 Emissions from Mobile Combustion: Aviation,CH4,+,,,
CH4 Emissions from Mobile Combustion: Marine,CH4,+,,,
CH4 Emissions from Incineration of Waste,CH4,+,,,
Non-CO2 Emissions from Stationary Combustion - Electricity Generation,N2O,19.6,•,T1 L2 T2,"19902, 20142"
N2O Emissions from Mobile Combustion: Road,N2O,12.5,•,L1 T1 T2,19901
Non-CO2 Emissions from Stationary Combustion - Industrial,N2O,2.4,,,
N2O Emissions from Mobile Combustion: Other,N2O,2.0,,,
N2O Emissions from Mobile Combustion: Aviation,N2O,1.4,,,
Non-CO2 Emissions from Stationary Combustion - Residential,N2O,1.0,,,
N2O Emissions from Mobile Combustion: Marine,N2O,0.5,,,
N2O Emissions from Incineration of Waste,N2O,0.3,,,
Non-CO2 Emissions from Stationary Combustion - Commercial,N2O,0.3,,,
Non-CO2 Emissions from Stationary Combustion - U.S. Territories,N2O,0.1,,,
International Bunker Fuelsc,Several,104.2,•,,
Industrial Processes and Product Use,,,,,
CO2 Emissions from Iron and Steel Production & Metallurgical Coke Production,CO2,55.4,•,L1 T1 L2 T2,"1990, 20141"
CO2 Emissions from Cement Production,CO2,38.8,•,L1 ,"19901, 20141"
CO2 Emissions from Petrochemical Production,CO2,26.5,,,
CO2 Emissions from Lime Production,CO2,14.1,,,
CO2 Emissions from Other Process Uses of Carbonates,CO2,12.1,•,T1,
CO2 Emissions from Ammonia Production,CO2,9.4,,,
CO2 Emissions from Carbon Dioxide Consumption,CO2,4.5,,,
CO2 Emissions from Urea Consumption for Non-Ag Purposes,CO2,4.0,,,
CO2 Emissions from Aluminum Production ,CO2,2.8,,,
CO2 Emissions from Soda Ash Production and Consumption,CO2,2.8,,,
CO2 Emissions from Ferroalloy Production,CO2,1.9,,,
CO2 Emissions from Titanium Dioxide Production,CO2,1.8,,,
