"Table A-4: 1990 Key Source Category Approach 1 and Approach 2 Analysis—Level Assessment, without LULUCF",,,,,,
IPCC Source Categories,Direct GHG,1990 Estimate (MMT CO2 Eq.),Approach 1 Level Assessment,Cumulative Total,Uncertaintya,Approach 2 Level Assessment
CO2 Emissions from Stationary Combustion - Coal - Electricity Generation,CO2,1547.6,0.24,0.24,10%,0.023
CO2 Emissions from Mobile Combustion: Road,CO2,1188.9,0.19,0.43,6%,0.012
CO2 Emissions from Stationary Combustion - Gas - Industrial,CO2,408.9,0.06,0.49,7%,0.005
CO2 Emissions from Stationary Combustion - Oil - Industrial,CO2,278.3,0.04,0.54,19%,0.008
Direct N2O Emissions from Agricultural Soil Management,N2O,245,0.04,0.57,24%,0.009
CO2 Emissions from Stationary Combustion - Gas - Residential,CO2,238,0.04,0.61,7%,0.003
CH4 Emissions from Natural Gas Systems,CH4,206.8,0.03,0.64,30%,0.01
CO2 Emissions from Mobile Combustion: Aviation,CO2,187.4,0.03,0.67,6%,0.002
CH4 Emissions from Landfills,CH4,179.6,0.03,0.7,61%,0.017
CO2 Emissions from Stationary Combustion - Gas - Electricity Generation,CO2,175.3,0.03,0.73,5%,0.001
CH4 Emissions from Enteric Fermentation,CH4,164.2,0.03,0.75,18%,0.005
CO2 Emissions from Stationary Combustion - Coal - Industrial,CO2,155.3,0.02,0.78,16%,0.004
CO2 Emissions from Stationary Combustion - Gas - Commercial,CO2,142.1,0.02,0.8,7%,0.002
CO2 Emissions from Non-Energy Use of Fuels,CO2,118.1,0.02,0.82,42%,0.008
CO2 Emissions from Iron and Steel Production & Metallurgical Coke Production,CO2,99.7,0.02,0.83,15%,0.002
CO2 Emissions from Stationary Combustion - Oil - Electricity Generation,CO2,97.5,0.02,0.85,8%,0.001
CO2 Emissions from Stationary Combustion - Oil - Residential,CO2,97.4,0.02,0.86,5%,0.001
Fugitive Emissions from Coal Mining,CH4,96.5,0.02,0.88,15%,0.002
CO2 Emissions from Mobile Combustion: Other,CO2,73.3,0.01,0.89,6%,0.001
CO2 Emissions from Stationary Combustion - Oil - Commercial,CO2,63.3,0.01,0.9,5%,0.001
Indirect N2O Emissions from Applied Nitrogen,N2O,58.2,0.01,0.91,139%,0.013
HFC-23 Emissions from HCFC-22 Production,HFCs,46.1,0.01,0.92,10%,0.001
CO2 Emissions from Mobile Combustion: Marine,CO2,44.3,0.01,0.92,6%,<0.001 
CH4 Emissions from Petroleum Systems,CH4,38.7,0.01,0.93,149%,0.009
CO2 Emissions from Natural Gas Systems,CO2,37.7,0.01,0.94,30%,0.002
N2O Emissions from Mobile Combustion: Road,N2O,37.7,0.01,0.94,27%,0.002
CH4 Emissions from Manure Management,CH4,37.2,0.01,0.95,20%,0.001
CO2 Emissions from Cement Production,CO2,33.3,0.01,0.95,6%,<0.001 
CO2 Emissions from Stationary Combustion - Oil - U.S. Territories,CO2,27.2,<0.01 ,0.96,11%,<0.001 
SF6 Emissions from Electrical Transmission and Distribution,SF6,25.4,<0.01 ,0.96,23%,0.001
CO2 Emissions from Petrochemical Production,CO2,21.6,<0.01 ,0.96,5%,<0.001 
PFC Emissions from Aluminum Production,PFCs,21.5,<0.01 ,0.97,2%,<0.001 
CH4 Emissions from Wastewater Treatment,CH4,15.7,<0.01 ,0.97,39%,0.001
N2O Emissions from Adipic Acid Production,N2O,15.2,<0.01 ,0.97,4%,<0.001 
N2O Emissions from Manure Management,N2O,14,<0.01 ,0.97,24%,0.001
CH4 Emissions from Rice Cultivation,CH4,13.1,<0.01 ,0.98,17%,<0.001 
CO2 Emissions from Ammonia Production,CO2,13,<0.01 ,0.98,8%,<0.001 
N2O Emissions from Nitric Acid Production,N2O,12.1,<0.01 ,0.98,5%,<0.001 
CO2 Emissions from Stationary Combustion - Coal - Commercial,CO2,12,<0.01 ,0.98,15%,<0.001 
CO2 Emissions from Lime Production,CO2,11.7,<0.01 ,0.98,3%,<0.001 
CO2 Emissions from Incineration of Waste,CO2,8,<0.01 ,0.99,14%,<0.001 
Non-CO2 Emissions from Stationary Combustion - Electricity Generation,N2O,7.4,<0.01 ,0.99,173%,0.002
Fugitive Emissions from Abandoned Underground Coal Mines,CH4,7.2,<0.01 ,0.99,24%,<0.001 
CO2 Emissions from Aluminum Production ,CO2,6.8,<0.01 ,0.99,2%,<0.001 
Non-CO2 Emissions from Stationary Combustion - Residential,CH4,5.2,<0.01 ,0.99,234%,0.002
CH4 Emissions from Mobile Combustion: Road,CH4,5.2,<0.01 ,0.99,18%,<0.001 
SF6 Emissions from Magnesium Production and Processing,SF6,5.2,<0.01 ,0.99,11%,<0.001 
CO2 Emissions from Other Process Uses of Carbonates,CO2,4.9,<0.01 ,0.99,15%,<0.001 
