"Table A-9: 1990-2014 Key Source Category Approach 1 and 2 Analysis—Trend Assessment, with LULUCF",,,,,,,
IPCC Source Categories,Direct GHG,1990 Estimate (MM TCO2 Eq.),2014 Estimate,Approach 1 Trend Assessment,Approach 2 Trend Assessment,Percent Contribution to Trend (%),Cumulative Contribution to Trend (%)
,,,(MMT CO2 Eq.),,,,
CO2 Emissions from Stationary Combustion - Gas - Electricity Generation,CO2,175.3,443.2,0.03,0.002,14.6,15
CO2 Emissions from Mobile Combustion: Road,CO2,1188.9,1467.5,0.03,0.002,11.8,26
Emissions from Substitutes for Ozone Depleting Substances,Several,0.3,161.2,0.02,0.002,9.2,36
CO2 Emissions from Stationary Combustion - Coal - Industrial,CO2,155.3,75.3,0.01,0.002,5.1,41
CO2 Emissions from Stationary Combustion - Oil - Electricity Generation,CO2,97.5,25.3,0.01,0.001,4.4,45
CO2 Emissions from Stationary Combustion - Coal - Electricity Generation,CO2,1547.6,1570.4,0.01,0.001,3.9,49
CO2 Emissions from Iron and Steel Production & Metallurgical Coke Production,CO2,99.7,55.4,0.01,0.001,2.9,52
CO2 Emissions from Mobile Combustion: Aviation,CO2,187.4,150.1,0.01,<0.001 ,2.8,55
CO2 Emissions from Land Converted to Cropland,CO2,65.7,22.1,0.01,0.003,2.7,57
HFC-23 Emissions from HCFC-22 Production,HFCs,46.1,5.0,0.01,0.001,2.5,60
CH4 Emissions from Natural Gas Systems,CH4,206.8,176.1,0.01,0.002,2.4,62
CH4 Emissions from Landfills,CH4,179.6,148.0,0.01,0.004,2.4,65
CO2 Emissions from Stationary Combustion - Gas - Commercial,CO2,142.1,189.2,0.01,<0.001 ,2.2,67
CO2 Emissions from Stationary Combustion - Oil - Residential,CO2,97.4,67.5,<0.01 ,<0.001 ,2,69
Fugitive Emissions from Coal Mining,CH4,96.5,67.6,<0.01 ,0.001,2,71
CO2 Emissions from Stationary Combustion - Gas - Industrial,CO2,408.9,466.0,<0.01 ,<0.001 ,1.9,73
CO2 Emissions from Stationary Combustion - Oil - Commercial,CO2,63.3,38.2,<0.01 ,<0.001 ,1.6,74
CO2 Emissions from Cropland Remaining Cropland,CO2,34.3,8.4,<0.01 ,0.016,1.6,76
N2O Emissions from Mobile Combustion: Road,N2O,37.7,12.5,<0.01 ,0.001,1.6,78
CH4 Emissions from Petroleum Systems,CH4,38.7,68.1,<0.01 ,0.005,1.5,79
CO2 Emissions from Urban Trees,CO2,60.4,90.6,<0.01 ,0.002,1.5,81
CO2 Emissions from Stationary Combustion - Gas - Residential,CO2,238.0,277.6,<0.01 ,<0.001 ,1.4,82
CO2 Emissions from Forest Land Remaining Forest Land,CO2,723.5,742.3,<0.01 ,0.001,1.4,83
CO2 Emissions from Stationary Combustion - Oil - Industrial,CO2,278.3,271.9,<0.01 ,0.001,1.3,85
CH4 Emissions from Manure Management,CH4,37.2,61.2,<0.01 ,0.001,1.2,86
SF6 Emissions from Electrical Transmission and Distribution,SF6,25.4,5.6,<0.01 ,0.001,1.2,87
PFC Emissions from Aluminum Production,PFCs,21.5,2.5,<0.01 ,<0.001 ,1.1,88
CO2 Emissions from Mobile Combustion: Marine,CO2,44.3,28.0,<0.01 ,<0.001 ,1.1,89
CO2 Emissions from Landfilled Yard Trimmings and Food Scraps,CO2,26.0,11.6,<0.01 ,0.001,0.9,90
CO2 Emissions from Mobile Combustion: Other,CO2,73.3,92.0,<0.01 ,<0.001 ,0.8,91
Non-CO2 Emissions from Stationary Combustion - Electricity Generation,N2O,7.4,19.6,<0.01 ,0.003,0.7,92
CO2 Emissions from Non-Energy Use of Fuels,CO2,118.1,114.3,<0.01 ,0.001,0.6,92
N2O Emissions from Adipic Acid Production,N2O,15.2,5.4,<0.01 ,<0.001 ,0.6,93
CO2 Emissions from Grassland Remaining Grassland,CO2,12.9,3.8,<0.01 ,0.014,0.6,94
CH4 Emissions from Enteric Fermentation,CH4,164.2,164.3,<0.01 ,<0.001 ,0.5,94
CO2 Emissions from Stationary Combustion - Coal - Commercial,CO2,12.0,4.5,<0.01 ,<0.001 ,0.5,95
CO2 Emissions from Other Process Uses of Carbonates,CO2,4.9,12.1,<0.01 ,<0.001 ,0.4,95
CO2 Emissions from Stationary Combustion - Oil - U.S. Territories,CO2,27.2,34.6,<0.01 ,<0.001 ,0.3,95
SF6 Emissions from Magnesium Production and Processing,SF6,5.2,1.0,<0.01 ,<0.001 ,0.3,96
