Table A-24:  2001 Energy Consumption Data and CO2 Emissions from Fossil Fuel Combustion by Fuel Type,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
,Adjusted Consumption (TBtu)a,,,,,,,Emissionsb (MMT CO2 Eq.) from Energy Use,,,,,,,
Fuel Type,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total,
Total Coal,12,96.9,"1,358.40",NE,"19,613.70",3.8,"21,084.80",1.1,9.2,127.8,NE,"1,869.80",0.4,"2,008.40",
Residential Coal,12,,,,,,12,1.1,,,,,,1.1,
Commercial Coal,,96.9,,,,,96.9,,9.2,,,,,9.2,
Industrial Other Coal,,,"1,358.40",,,,"1,358.40",,,127.8,,,,127.8,
Transportation Coal,,,,NE,,,NE,,,,NE,,,NE,
Electric Power Coal,,,,,"19,613.70",,"19,613.70",,,,,"1,869.80",,"1,869.80",
U.S. Territory Coal (bit),,,,,,3.8,3.8,,,,,,0.4,0.4,
Natural Gas ,"4,889.00","3,097.30","7,949.00",658,"5,458.10",22.9,"22,074.30",259.1,164.2,421.3,34.9,289.3,1.2,"1,170.00",
Total Petroleum,"1,464.90",720.4,"3,919.60","24,453.70","1,276.40",632.4,"32,467.40",101.9,51.6,293.8,"1,754.60",98.4,46.2,"2,346.50",
Asphalt & Road Oil,,,,,,,,,,,,,,,
Aviation Gasoline,,,,34.9,,,34.9,,,,2.4,,,2.4,
Distillate Fuel Oil,844.1,472.4,"1,184.50","5,411.30",170.3,109.4,"8,192.10",62.4,34.9,87.6,400.2,12.6,8.1,605.9,
Jet Fuel,,,,"2,626.30",NA,98.9,"2,725.20",,,,189.7,,7.1,196.8,
Kerosene,95.1,31.4,23.2,,,0.9,150.6,7,2.3,1.7,,,0.1,11,
LPG,525.7,142.7,372.1,13.7,,7,"1,061.20",32.5,8.8,23,0.8,,0.4,65.6,
Lubricants,,,,,,,,,,,,,,,
Motor Gasoline,,3.8,30.3,"16,208.00",,187.8,"16,429.90",,0.3,2.1,"1,149.40",,13.3,"1,165.20",
Residual Fuel,,69.9,146.7,159.5,"1,002.80",228.4,"1,607.20",,5.2,11,12,75.3,17.2,120.7,
Other Petroleum,,,,,,,,,,,,,,,
AvGas Blend Components,,,6.1,,,,6.1,,,0.4,,,,0.4,
Crude Oil,,,,,,,,,,,,,,,
MoGas Blend Components,,,,,,,,,,,,,,,
Misc. Products,,,,,,,,,,,,,,,
Naphtha (<401 deg. F),,,,,,,,,,,,,,,
Other Oil (>401 deg. F),,,,,,,,,,,,,,,
Pentanes Plus,,,131.6,,,,131.6,,,9.2,,,,9.2,
Petroleum Coke,,0.2,683.3,,103.2,,786.7,,0,69.8,,10.5,,80.3,
Still Gas,,,"1,417.30",,,,"1,417.30",,,94.6,,,,94.6,
Special Naphtha,,,,,,,,,,,,,,,
Unfinished Oils,,,-75.4,,,,-75.4,,,-5.6,,,,-5.6,
Waxes,,,,,,,,,,,,,,,
Geothermal,,,,,46.9,,46.9,,,,,0.4,,0.4,
Total (All Fuels),"6,365.90","3,914.50","13,227.10","25,111.80","26,395.00",659,"75,673.30",362.2,225,843,"1,789.40","2,257.90",47.8,"5,525.20",
"a Expressed as gross calorific values (i.e., higher heating values).  Adjustments include biofuels, conversion of fossil fuels, non-energy use (see Table A-36), and international bunker fuel consumption (see Table A-37).",,,,,,,,,,,,,,,
b Consumption and/or emissions of select fuels are shown as negative due to differences in EIA energy balancing accounting.  These are designated with parentheses. ,,,,,,,,,,,,,,,
NE (Not Estimated); NA (Not Available),,,,,,,,,,,,,,,
