Table A-25:  2000 Energy Consumption Data and CO2 Emissions from Fossil Fuel Combustion by Fuel Type,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Adjusted Consumption (TBtu)a,,,,,,,Emissionsb (MMT CO2 Eq.) from Energy Use,,,,,,
Fuel Type,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total
Total Coal,11.4,91.9,"1,348.80",NE,"20,220.20",10.3,"21,682.40",1.1,8.8,127.3,NE,"1,927.40",0.9,"2,065.50"
Residential Coal,11.4,,,,,,11.4,1.1,,,,,,1.1
Commercial Coal,,91.9,,,,,91.9,,8.8,,,,,8.8
Industrial Other Coal,,,"1,348.80",,,,"1,348.80",,,127.3,,,,127.3
Transportation Coal,,,,NE,,,NE,,,,NE,,,NE
Electric Power Coal,,,,,"20,220.20",,"20,220.20",,,,,"1,927.40",,"1,927.40"
U.S. Territory Coal (bit),,,,,,10.3,10.3,,,,,,0.9,0.9
Natural Gas ,"5,104.60","3,251.50","8,656.00",672,"5,293.40",12.7,"22,990.20",270.7,172.5,459.1,35.6,280.8,0.7,"1,219.40"
Total Petroleum,"1,429.50",695,"3,577.90","24,659.50","1,144.10",471.8,"31,977.90",99,49.7,267.7,"1,769.80",88.4,34.2,"2,308.80"
Asphalt & Road Oil,,,,,,,,,,,,,,
Aviation Gasoline,,,,36.3,,,36.3,,,,2.5,,,2.5
Distillate Fuel Oil,780,423.3,"1,006.40","5,436.70",174.7,71.3,"7,892.30",57.7,31.3,74.4,402.1,12.9,5.3,583.7
Jet Fuel,,,,"2,700.30",NA,74.1,"2,774.30",,,,195,,5.3,200.4
Kerosene,94.6,29.7,15.6,,,2.4,142.2,6.9,2.2,1.1,,,0.2,10.4
LPG,554.9,150.4,468.7,11.9,,8,"1,193.90",34.4,9.3,29,0.7,,0.5,74
Lubricants,,,,,,,,,,,,,,
Motor Gasoline,,,,"16,030.90",,185.2,"16,216.10",,,,"1,136.20",,13.1,"1,149.30"
Residual Fuel,,91.6,184.1,443.5,870.8,130.9,"1,720.80",,6.9,13.8,33.3,65.4,9.8,129.2
Other Petroleum,,,,,,,,,,,,,,
AvGas Blend Components,,,3.8,,,,3.8,,,0.3,,,,0.3
Crude Oil,,,,,,,,,,,,,,
MoGas Blend Components,,,,,,,,,,,,,,
Misc. Products,,,,,,,,,,,,,,
Naphtha (<401 deg. F),,,,,,,,,,,,,,
Other Oil (>401 deg. F),,,,,,,,,,,,,,
Pentanes Plus,,,171.6,,,,171.6,,,12,,,,12
Petroleum Coke,,0.2,697.6,,98.6,,796.4,,0,71.2,,10.1,,81.3
Still Gas,,,"1,431.20",,,,"1,431.20",,,95.5,,,,95.5
Special Naphtha,,,,,,,,,,,,,,
Unfinished Oils,,,-401.2,,,,-401.2,,,-29.7,,,,-29.7
Waxes,,,,,,,,,,,,,,
Geothermal,,,,,48.1,,48.1,,,,,0.4,,0.4
Total (All Fuels),"6,545.40","4,038.50","13,582.70","25,331.50","26,705.80",494.7,"76,698.60",370.8,230.9,854.1,"1,805.50","2,296.90",35.9,"5,594.00"
"a Expressed as gross calorific values (i.e., higher heating values).  Adjustments include biofuels, conversion of fossil fuels, non-energy use (see Table A-36), and international bunker fuel consumption (see Table A-37).",,,,,,,,,,,,,,
b Consumption and/or emissions of select fuels are shown as negative due to differences in EIA energy balancing accounting.  These are designated with parentheses. ,,,,,,,,,,,,,,
NE (Not Estimated); NA (Not Available),,,,,,,,,,,,,,
