Table A-36:  Unadjusted Non-Energy Fuel Consumption (TBtu),,,,,,,,,,,,,,,,,,,,,,,,,
Sector/Fuel Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Industry,4544,4632.5,4792.3,4783.4,5077.7,5089.7,5150.7,5376.1,5632.7,5843.7,5576.5,5263.7,5425.7,5342.9,5847.2,5483.3,5470,5225.2,4769.7,4510.2,4753,4665,4611.3,4823.4,4699.9
Industrial Coking Coal,0,0,0,1,8.9,37.8,24.1,0,10.9,40.1,53.5,24.8,40.3,51.9,167.8,80.4,62.9,2.3,29.2,6.4,64.8,60.8,132.5,119.3,23
Industrial Other Coal,8.2,8.5,9.5,10,10.9,11.3,11.4,11.2,10.4,11.1,12.4,11.3,12,11.9,11.9,11.9,11.9,11.9,11.9,11.9,10.3,10.3,10.3,10.3,10.3
"Natural Gas to Chemical Plants, Other Uses",305.9,301.1,318.9,335.8,354,371,388.7,406.4,426.6,413.5,401.7,391.8,380.7,345.3,306.6,270.4,233.4,233.6,233.6,233.6,311.8,311.8,311.8,311.8,311.8
Asphalt & Road Oil,1170.2,1076.5,1102.2,1149,1172.9,1178.2,1175.9,1223.6,1262.6,1324.4,1275.7,1256.9,1240,1219.5,1303.8,1323.2,1261.2,1197,1012,873.1,877.8,859.5,826.7,783.3,792.6
LPG,1201.4,1377.9,1390.7,1351,1545.7,1586.9,1652,1670.4,1744.4,1820.7,1759.3,1642.3,1766.3,1701.6,1768.5,1659.5,1734.6,1726.7,1596.6,1748,1901.6,1943.4,1990.5,2149,2148.7
Lubricants ,186.3,166.7,170,173.1,180.9,177.8,172.5,182.3,190.8,192.8,189.9,174,171.9,159,161,160.2,156.1,161.2,149.6,134.5,149.5,141.8,130.5,138.1,144
Pentanes Plus,125.2,147,161.3,166.1,169.4,169,177.5,164.5,147,182.5,171.6,131.6,111.9,110.4,111.2,98.1,70.1,89.7,76.5,63.8,77.7,27.3,42.2,47.1,44.2
Naphtha (<401 deg. F),347.8,299,377.1,350.6,398.3,373,479.3,536.4,584,502.1,613.5,493.7,582.6,613,749.4,698.7,628.9,562.5,477.2,471.9,490.6,487.3,453.9,517.8,442.6
Other Oil (>401 deg. F),753.9,827.3,814.5,844.1,838.6,801,729.7,861.2,818.7,811.1,722.2,662.5,632.1,699.4,779.5,708,790.6,744.1,647.8,424.8,452.5,388.5,287.2,223.9,247.2
Still Gas,36.7,40.6,28.5,45.6,35.4,47.9,2.2,12.1,6.2,23,17,49.3,61.7,59,62.9,67.7,57.2,44.2,47.3,133.9,147.8,163.6,160.6,166.7,164.6
Petroleum Coke,123.1,105.1,170.5,110.7,128.3,120.6,118.3,87.5,150.8,216,98.5,174.3,145.8,122.8,217.7,186.9,213.6,201.2,224.5,180.7,61,62.4,67.6,62.4,61.4
Special Naphtha,107.1,88,104.6,104.6,81.1,70.8,74.5,72.3,107.3,145.4,97.4,78.5,102.4,80.5,51,62.5,70.1,78,84.9,46.2,26.1,22.6,14.7,100,106.1
Other (Wax/Misc.),,,,,,,,,,,,,,,,,,,,,,,,,
Distillate Fuel Oil,7,7.1,7.1,7.1,6.8,6.8,6.8,6.8,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,17.5,17.5,17.5,17.5,5.8,5.8,5.8,5.8,5.8
Waxes,33.3,35.1,37.3,40,40.6,40.6,48.7,43.7,42.4,37.4,33.1,36.3,32.2,31.1,30.8,31.4,26.2,21.9,19.1,12.2,17.1,15.1,15.3,16.5,14.8
Miscellaneous Products,137.8,152.6,100.1,94.7,105.9,97.1,89,97.8,119,111.9,119.2,124.9,134.2,126,113.4,112.8,136,133.5,142,151.8,158.7,164.7,161.6,171.2,182.7
Transportation,176,157.5,160.5,163.5,170.8,167.9,163,172.1,180.2,182.1,179.4,164.3,162.4,150.1,152.1,151.3,147.4,152.2,141.3,127.1,141.2,133.9,123.2,130.4,136
Lubricants,176,157.5,160.5,163.5,170.8,167.9,163,172.1,180.2,182.1,179.4,164.3,162.4,150.1,152.1,151.3,147.4,152.2,141.3,127.1,141.2,133.9,123.2,130.4,136
U.S. Territories,86.7,114.4,62.6,72.7,54.8,90.8,121.7,131.6,135,139.3,152.2,80.3,140.2,123.5,110.8,121.9,133.4,108.4,132.1,59.6,56.4,56.7,58.1,57.4,53.6
Lubricants,0.7,0.6,1.5,1.7,1.9,2,1.5,2.5,1.3,1.4,3.1,0,3,4.9,5.1,4.6,6.2,5.9,2.7,1,1,1,1,1,1
Other Petroleum (Misc. Prod.),86,113.8,61.2,71,53,88.8,120.2,129.1,133.8,138,149.1,80.3,137.2,118.6,105.7,117.3,127.2,102.5,129.4,58.5,55.4,55.7,57.1,56.4,52.6
Total,4806.7,4904.3,5015.5,5019.6,5303.4,5348.5,5435.3,5679.8,5947.9,6165.1,5908,5508.4,5728.3,5616.5,6110.1,5756.6,5750.8,5485.9,5043,4696.8,4950.6,4855.7,4792.7,5011.2,4889.5
Note: These values are unadjusted non-energy fuel use provided by EIA.  They have not yet been adjusted to remove petroleum feedstock exports and processes accounted for in the Industrial Processes and Product Use Chapter.,,,,,,,,,,,,,,,,,,,,,,,,,
