Table A-39:  Annually Variable C Content Coefficients by Year (MMT C/QBtu),,,,,,,,,,,,,,,,,,,,,,,,,
Fuel Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Residential Coal,26.2,26.27,26.39,26.17,26.10,26.13,26.04,25.90,26.07,25.98,26.01,26.00,25.98,26.04,25.91,26.09,26.29,25.94,25.71a ,25.71a ,25.71a ,25.71a ,25.71a ,25.71a ,25.71a 
Commercial Coal,26,26.27,26.39,26.17,26.10,26.13,26.04,25.90,26.07,25.98,26.01,26.00,25.98,26.04,25.91,26.09,26.29,25.94,25.71,25.71,25.71,25.71,25.71,25.71,25.71
Industrial Coking Coal,31,31,31,31,31,31,31,31,31,31,31.00,31.00,31,31,31,31,31,31,31,31,31,31,31,31,31
Industrial Other Coal,25.82,25.88,25.87,25.77,25.77,25.8,25.75,25.75,25.79,25.80,25.74,25.66,25.57,25.55,25.56,25.8,25.84,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82
Electric Power Coal,25.96,25.98,26.00,25.89,25.89,25.93,25.93,25.93,25.95,25.98,26.00,26.00,26.05,26.09,26.1,26.09,26.04,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05
Pipeline Natural Gas,14.45,14.45,14.45,14.46,14.46,14.46,14.46,14.46,14.44,14.46,14.47,14.46,14.46,14.44,14.46,14.46,14.46,14.46,14.46,14.46,14.46,14.46,14.46,14.46,14.46
LPG (energy use),16.86,16.83,16.85,16.83,16.85,16.82,16.82,16.84,16.81,16.86,16.89,16.87,16.85,16.86,16.84,16.84,16.83,16.82,16.83,16.83,16.83,16.83,16.83,16.83,16.83
LPG (non-energy use),17.06,17.07,17.07,17.07,17.09,17.09,17.10,17.08,17.08,17.07,17.09,17.10,17.09,17.09,17.07,17.06,17.06,17.05,17.06,17.06,17.06,17.06,17.06,17.06,17.06
Motor Gasoline,19.42,19.44,19.49,19.44,19.36,19.36,19.35,19.36,19.37,19.32,19.33,19.34,19.38,19.36,19.38,19.36,19.45,19.56,19.46,19.46,19.46,19.46,19.46,19.46,19.46
Jet Fuel,19.4,19.40,19.39,19.37,19.35,19.34,19.70,19.70,19.70,19.70,19.70,19.70,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7
MoGas Blend Components,19.42,19.44,19.49,19.44,19.36,19.36,19.35,19.36,19.37,19.32,19.33,19.34,19.38,19.36,19.38,19.36,19.45,19.56,19.46,19.46,19.46,19.46,19.46,19.46,19.46
Misc. Products,20.15,20.16,20.20,20.20,20.20,20.21,20.23,20.22,20.22,20.17,20.22,20.27,20.28,20.25,20.31,20.31,20.28,20.28,20.31,20.31,20.31,20.31,20.31,20.31,20.31
Unfinished Oils,20.15,20.16,20.20,20.20,20.20,20.21,20.23,20.22,20.22,20.17,20.22,20.27,20.28,20.25,20.31,20.31,20.28,20.28,20.31,20.31,20.31,20.31,20.31,20.31,20.31
Crude Oil,20.15,20.16,20.20,20.20,20.20,20.21,20.23,20.22,20.22,20.17,20.22,20.27,20.28,20.25,20.31,20.31,20.28,20.28,20.31,20.31,20.31,20.31,20.31,20.31,20.31
"a  EIA discontinued collection of residential sector coal consumption data in 2008, because consumption of coal in the residential sector is extremely limited.  Therefore, the number cited here is developed from commercial/institutional consumption. ",,,,,,,,,,,,,,,,,,,,,,,,,
Source: EPA (2010a).,,,,,,,,,,,,,,,,,,,,,,,,,
