Table A-41:  Carbon Content Coefficients Used in this Report (MMT Carbon/QBtu),,,,,,,,,,,,,,,,,,,,,,,,,
Fuel Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Coal,,,,,,,,,,,,,,,,,,,,,,,,,
Residential Coala,26.2,26.3,26.4,26.2,26.1,26.13,26,25.9,26.1,26,26.01,26,25.98,26.04,25.91,26.09,26.29,25.94,25.71b,25.71b,25.71b,25.71b,25.71b,25.71b,25.71b
Commercial Coala ,26.2,26.3,26.4,26.2,26.1,26.13,26,25.9,26.1,26,26.01,26,25.98,26.04,25.91,26.09,26.29,25.94,25.71,25.71,25.71,25.71,25.71,25.71,25.71
Industrial Coking Coala,25.53,25.54,25.53,25.52,25.56,25.57,25.56,25.59,25.62,25.59,25.63,25.63,25.65,25.63,25.63,25.6,25.6,25.61,25.61,25.61,25.61,25.61,25.61,25.61,25.61
Industrial Other Coala,25.82,25.88,25.87,25.77,25.77,25.8,25.75,25.75,25.79,25.8,25.74,25.66,25.57,25.55,25.56,25.8,25.84,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82
"Utility Coala,c",25.96,25.98,26,25.89,25.89,25.93,25.93,25.93,25.95,25.98,26,26,26.05,26.09,26.1,26.09,26.04,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05
Pipeline Natural Gasd,14.45,14.45,14.45,14.46,14.46,14.46,14.46,14.46,14.44,14.46,14.47,14.46,14.46,14.44,14.46,14.46,14.46,14.46,14.46,14.46,14.46,14.46,14.46,14.46,14.46
Flare Gas,15.31,15.31,15.31,15.31,15.31,15.31,15.31,15.31,15.31,15.31,15.31,15.31,15.31,15.31,15.31,15.31,15.31,15.31,15.31,15.31,15.31,15.31,15.31,15.31,15.31
Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,
Asphalt and Road Oil,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55
Aviation Gasoline,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86
Distillate Fuel Oil No. 1,19.98,19.98,19.98,19.98,19.98,19.98,19.98,19.98,19.98,19.98,19.98,19.98,19.98,19.98,19.98,19.98,19.98,19.98,19.98,19.98,19.98,19.98,19.98,19.98,19.98
Distillate Fuel Oil No. 2,20.17,20.17,20.17,20.17,20.17,20.17,20.17,20.17,20.17,20.17,20.17,20.17,20.17,20.17,20.17,20.17,20.17,20.17,20.17,20.17,20.17,20.17,20.17,20.17,20.17
Distillate Fuel Oil No. 4,20.47,20.47,20.47,20.47,20.47,20.47,20.47,20.47,20.47,20.47,20.47,20.47,20.47,20.47,20.47,20.47,20.47,20.47,20.47,20.47,20.47,20.47,20.47,20.47,20.47
Jet Fuela,19.4,19.4,19.39,19.37,19.35,19.34,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7
Kerosene,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96
LPG (energy use)d,16.86,16.83,16.85,16.83,16.85,16.82,16.82,16.84,16.81,16.86,16.89,16.87,16.85,16.86,16.84,16.84,16.83,16.82,16.83,16.83,16.83,16.83,16.83,16.83,16.83
LPG (non-energy use)d,17.06,17.07,17.07,17.07,17.09,17.09,17.1,17.08,17.08,17.07,17.09,17.1,17.09,17.09,17.07,17.06,17.06,17.05,17.06,17.06,17.06,17.06,17.06,17.06,17.06
Lubricants ,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2
Motor Gasolined,19.42,19.44,19.49,19.44,19.36,19.36,19.35,19.36,19.37,19.32,19.33,19.34,19.38,19.36,19.38,19.36,19.45,19.56,19.46,19.46,19.46,19.46,19.46,19.46,19.46
Residual Fuel No. 5,19.89,19.89,19.89,19.89,19.89,19.89,19.89,19.89,19.89,19.89,19.89,19.89,19.89,19.89,19.89,19.89,19.89,19.89,19.89,19.89,19.89,19.89,19.89,19.89,19.89
Residual Fuel No. 6,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48
Other Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,
Av. Gas Blend Comp.,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87,18.87
Mo. Gas Blend Compc,19.42,19.44,19.49,19.44,19.36,19.36,19.35,19.36,19.37,19.32,19.33,19.34,19.38,19.36,19.38,19.36,19.45,19.56,19.46,19.46,19.46,19.46,19.46,19.46,19.46
Crude Oild,20.15,20.16,20.2,20.2,20.2,20.21,20.23,20.22,20.22,20.17,20.22,20.27,20.28,20.25,20.31,20.31,20.28,20.28,20.31,20.31,20.31,20.31,20.31,20.31,20.31
Misc. Productsd,20.15,20.16,20.2,20.2,20.2,20.21,20.23,20.22,20.22,20.17,20.22,20.27,20.28,20.25,20.31,20.31,20.28,20.28,20.31,20.31,20.31,20.31,20.31,20.31,20.31
Misc. Products (Terr.),20.15,20,20,20,20,20.21,20,20,20,20,20.22,20.27,20.28,20.25,20.31,20.31,20.28,20.28,20.31,20.31,20.31,20.31,20.31,20.31,20.31
Naphtha (<401 deg. F),18.55,18.55,18.55,18.55,18.55,18.55,18.55,18.55,18.55,18.55,18.55,18.55,18.55,18.55,18.55,18.55,18.55,18.55,18.55,18.55,18.55,18.55,18.55,18.55,18.55
