Table A-43:  Variability in Carbon Content Coefficients by Rank Across States (Kilograms CO2 Per MMBtu),,,,,
State,Number of Samples,Bituminous,Sub-bituminous,Anthracite,Lignite
Alabama,951,92.84,-,-,99.1
Alaska,91,98.33,98.1,-,98.65
Arizona,15,93.94,97.34,-,-
Arkansas,80,96.36,-,-,94.97
Colorado,318,94.37,96.52,-,101.1
Georgia,35,95.01,-,-,-
Idaho,1,-,94.9,-,-
Illinois,57,92.33,-,-,-
Indiana,146,92.65,-,-,-
Iowa,100,91.87,-,-,-
Kansas,29,90.91,-,-,-
Kentucky,897,92.61,-,-,-
Louisiana,1,-,-,-,96.01
Maryland,47,94.29,-,-,-
Massachusetts,3,-,-,114.82,-
Michigan,3,92.88,-,-,-
Mississippi,8,-,-,-,98.19
Missouri,111,91.71,-,-,-
Montana,309,105.21,97.73,103.6,99.4
Nevada,2,94.41,-,-,99.86
New Mexico,185,94.29,94.89,103.92,-
North Dakota,202,-,93.97,-,99.48
Ohio,674,91.84,-,-,- 
Oklahoma,63,92.33,-,-,-
Pennsylvania,861,93.33,-,103.68,-
Tennessee,61,92.82,-,-,-
Texas,64,85.59,94.19,-,94.47
Utah,169,95.75,91.29,-,-
Virginia,470,93.51,-,98.54,-
Washington,18,94.53,97.36,102.53,106.55
West Virginia,612,93.84,-,-,-
Wyoming,503,94.8,97.22,-,-
U.S. Average,"7,092",93.13,96.94,104.29,98.63
Note: “-“ Indicates no sample data available. ,,,,,
"Sources: Calculated from USGS (1998), and PSU (2010); data presented in EPA (2010).  ",,,,,
