"Table A-49:  Motor Gasoline Density, 1990 – 2014 (Degrees API)",,,,,,,,,,,,,,,,,,,,,,,,,
Fuel Grade,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Conventional - Winter  Grade,,,,,,,,,,,,,,,,,,,,,,,,,
  Low Octane,62,61.8,61.4,61,60.1,59.8,60.6,61.5,61.8,61.6,61.6,61.7,61.6,61.8,62.4,62.6,62.7,63.1,63,63,63,63,63,63,63
  High Octane,59,59.3,59,58.7,58.5,58,58.5,59.3,60,60.3,59.7,59.1,59,59.9,60.7,60.9,60,60.3,60.9,60.9,60.9,60.9,60.9,60.9,60.9
Conventional - Summer Grade,,,,,,,,,,,,,,,,,,,,,,,,,
  Low Octane,58.2,58,57.4,56.1,55.7,56.1,56.9,57.1,57.6,57.7,56.8,57.2,56.5,56.8,57.4,57.9,57.8,57.5,58.6,58.6,58.6,58.6,58.6,58.6,58.6
  High Octane,55.5,55.7,55.6,54.4,53.8,55.1,55.3,56.4,55.7,57.4,55.8,55.5,55.7,56,57,57,57.4,56.9,58,58,58,58,58,58,58
Reformulated - Winter  Grade,,,,,,,,,,,,,,,,,,,,,,,,,
  Low Octane,NA, NA , NA , NA ,61.2,61.9,62.3,62.1,62.7,62.7,62.7,62.6,61.9,62.1,62.7,62.8,62.3,62.1,62.4,62.4,62.4,62.4,62.4,62.4,62.4
  High Octane,NA, NA , NA , NA ,60.1,59.9,60.8,62.1,61.4,61,61.1,61,61.8,61.9,61.8,61.8,61.7,62.1,62.5,62.5,62.5,62.5,62.5,62.5,62.5
Reformulated - Summer Grade,,,,,,,,,,,,,,,,,,,,,,,,,
  Low Octane,NA, NA , NA , NA , NA ,58.5,58,58.8,58.4,58.4,58.4,58.8,58.2,59.1,58.1,58.4,58.7,58.5,59.1,59.1,59.1,59.1,59.1,59.1,59.1
  High Octane,NA, NA , NA , NA , NA ,56.7,57.8,58.4,58.5,57.8,58.3,58.2,58,58.7,58.9,58.1,59,59.3,59.8,59.8,59.8,59.8,59.8,59.8,59.8
"Notes: NA – Not Applicable, fuel type was not analyzed.",,,,,,,,,,,,,,,,,,,,,,,,,
Source: National Institute of Petroleum and Energy Research (1990 through 2014).  ,,,,,,,,,,,,,,,,,,,,,,,,,
