"Table A-52:  Consumption and Carbon Content Coefficients of Liquefied Petroleum Gases, 1990-2014",,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Energy Consumption (QBtu),,,,,,,,,,,,,,,,,,,,,,,,,
Fuel Use,0.88,0.86,0.95,0.94,0.96,0.94,1.02,1.04,0.84,1.08,1.31,1.16,1.25,1.22,1.26,1.21,1.19,1.2,1.13,1.13,1.16,1.16,1.16,1.16,1.16
  Ethane,0.04,0.02,0.04,0.02,0.03,0.03,0.04,0.07,0,0.01,0.1,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.06,0.07,0.08,0.08,0.08,0.08,0.08
  Propane,0.77,0.78,0.84,0.86,0.86,0.86,0.94,0.92,0.8,0.97,1.07,1,1.1,1.07,1.12,1.08,1.07,1.09,1.02,1.02,1.02,1.02,1.02,1.02,1.02
  Butane,0.06,0.04,0.05,0.04,0.04,0.03,0.03,0.03,0.02,0.06,0.07,0.06,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.03,0.05,0.05,0.05,0.05,0.05
  Isobutane,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.06,0.04,0.04,0.03,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0.01,0.01,0.01
Non-Fuel Use,1.35,1.56,1.57,1.54,1.74,1.78,1.87,1.88,1.96,2.06,1.9,1.77,1.85,1.75,1.8,1.7,1.74,1.78,1.67,1.8,1.96,1.96,1.96,1.96,1.96
  Ethane,0.71,0.81,0.81,0.85,0.85,0.89,0.97,0.93,0.96,1.08,1.04,0.96,1,0.92,0.97,0.91,0.98,1.03,0.95,1.12,1.22,1.22,1.22,1.22,1.22
  Propane,0.51,0.59,0.61,0.55,0.65,0.67,0.64,0.71,0.77,0.77,0.65,0.59,0.64,0.63,0.66,0.63,0.63,0.64,0.6,0.6,0.6,0.6,0.6,0.6,0.6
  Butane,0.11,0.12,0.12,0.09,0.15,0.15,0.15,0.13,0.12,0.12,0.11,0.13,0.12,0.13,0.13,0.12,0.12,0.11,0.12,0.08,0.12,0.12,0.12,0.12,0.12
  Isobutane,0.02,0.04,0.04,0.05,0.08,0.08,0.1,0.11,0.12,0.09,0.09,0.09,0.08,0.07,0.03,0.03,0.02,0.01,0,0.01,0.03,0.03,0.03,0.03,0.03
Carbon Content (MMT C/QBtu),,,,,,,,,,,,,,,,,,,,,,,,,
Fuel Use,16.86,16.83,16.85,16.83,16.85,16.82,16.82,16.84,16.81,16.86,16.89,16.87,16.85,16.86,16.84,16.84,16.83,16.82,16.83,16.83,16.83,16.83,16.83,16.83,16.83
Non-Fuel Use,17.06,17.07,17.07,17.07,17.09,17.09,17.1,17.08,17.08,17.07,17.09,17.1,17.09,17.09,17.07,17.06,17.06,17.05,17.06,17.06,17.06,17.06,17.06,17.06,17.06
Sources: Fuel use of LPG based on data from EIA (2009b) and API (1990 through 2007).  Non-fuel use of LPG from API (1990 through 2008). Volumes converted using the energy contents provided in Table A-51. C contents from EPA (2010).,,,,,,,,,,,,,,,,,,,,,,,,,
