Table A-62:  Fuel Types and Percent of C Stored for Non-Energy Uses,
Sector/Fuel Type,Storage Factor (%)
Industry,
Industrial Coking Coala,10%
Industrial Other Coalb,65%
Natural Gas to Chemical Plantsb,65%
Asphalt & Road Oil,100%
LPGb,65%
Lubricants ,9%
Pentanes Plusb,65%
Naphtha (<401 deg. F)b,65%
Other Oil (>401 deg. F)b,65%
Still Gasb,65%
Petroleum Cokec,30%
Special Naphthab,65%
Distillate Fuel Oil,50%
Waxes,58%
Miscellaneous Products,0%
Transportation,
Lubricants,9%
U.S. Territories,
Lubricants,9%
Other Petroleum (Misc. Prod.),10%
a Includes processes for which specific coking coal consumption and emission factor data are not available.  Consumption of coking coal for production of iron and steel is covered in the Industrial Processes and Product Use chapter.,
"b The storage factor listed is the value for 2014.  As described in this annex, the factor varies over time.",
"c Assumes petroleum coke consumption is for pigments.  Consumption of petroleum coke for production of primary aluminum anodes, electric arc furnace anodes, titanium dioxide, ammonia, urea, and ferroalloys is covered in the Industrial Processes and Product Use chapter.  ",
,
