Table A-64: C Stored and Emitted by Products from Feedstocks in 2014 (MMT CO2 Eq.),,
Product/Waste Type,C Stored,C Emitted
,(MMT CO2 Eq.),(MMT CO2 Eq.)
Industrial Releases,0.1,5.5
  TRI Releases,0.1,1
  Industrial VOCs,NA,3.6
  Non-combustion CO,NA,0.5
  Hazardous Waste Incin.,NA,0.4
Energy Recovery,NA,41
Products,142.2,12.5
  Plastics,119.3,NA
  Synthetic Rubber,14.8,NA
  Antifreeze and deicers,NA,0.8
  Abraded tire rubber,NA,0.3
  Food additives,NA,1.1
  Silicones,0.5,NA
  Synthetic Fiber,7.3,NA
  Pesticides,0.2,0.2
"  Soaps, shampoos, detergents",NA,4.8
  Solvent VOCs,NA,5.3
Total,142.3,59
NA (Not Applicable),,
Note: Totals may not sum due to independent rounding.,,
