Table A-66: Industrial and Solvent NMVOC Emissions,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Industrial NMVOCsa,,,,,,,,,,,,,,,,,,,,,,,,,
NMVOCs (‘000 Short Tons),"1,279","1,364","1,380","1,396",1379,"1,358",933,940,951,826,802,775.9286028,837,833,829,825,878.9,933.2,987.3,"1,087.9","1,189","1,289","1,289","1,289","1,289"
Carbon Content (%),85%,85%,85%,85%,0.85,85%,85%,85%,85%,0.85,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%
Carbon Emitted (MMT CO2 Eq.),3.6,3.9,3.9,3.9,3.9,3.8,2.6,2.7,2.7,2.3,2.3,2.2,2.4,2.4,2.3,2.3,2.5,2.6,2.8,3.1,3.4,3.6,3.6,3.6,3.6
Solvent Evaporationb,,,,,,,,,,,,,,,,,,,,,,,,,
Solvents (‘000 Short Tons) ,"5,750","5,782","5,901","6,016",6162,"6,183","5,477","5,622","5,149",5037,"4,832","5,012","4,278","4,267",4256,"4,245","3,937.6","3,630.1","3,298.8","3,136.3","2,974","2,811","2,811","2,811","2,811"
Carbon Content (%),56%,56%,56%,56%,0.562891111,56%,56%,56%,56%,0.562891111,56%,56%,56%,56%,56%,56%,56%,56%,56%,56%,56%,56%,56%,56%,56%
Carbon Emitted (MMT CO2 Eq.),10.8,10.8,11.0,11.3,11.5,11.6,10.3,10.5,9.6,9.4,9,9.4,8.0,8.0,8.0,7.9,7.4,6.8,6.2,5.9,5.6,5.3,5.3,5.3,5.3
"a Includes emissions from chemical and allied products, petroleum and related industries, and other industrial processes categories.",,,,,,,,,,,,,,,,,,,,,,,,,
"b Includes solvent usage and solvent evaporation emissions from degreasing, graphic arts, dry cleaning, surface coating, other industrial processes, and non-industrial processes.",,,,,,,,,,,,,,,,,,,,,,,,,
