Table A-72: 2014 Plastic Resin Production (MMT dry weight) and C Stored (MMT CO2 Eq.),,
Resin Type,2014 Productiona,Carbon Stored
,(MMT dry weight),(MMT CO2 Eq.)
Epoxy,0.3,0.7
Urea,0.5,0.6
Melamine,0.5,0.5
Phenolic,1.6,4.4
Low-Density Polyethylene (LDPE),2.9,9.2
Linear Low-Density Polyethylene (LLDPE),5.7,17.9
High Density Polyethylene (HDPE),7.2,22.6
Polypropylene (PP),6.3,19.9
Acrylonitrile-butadiene-styrene (ABS),0.4,1.3
Other Styrenicsb,0.5,1.7
Polystyrene (PS),2.2,7.5
Nylon,0.5,1.2
Polyvinyl chloride (PVC)c,6.2,8.7
Thermoplastic Polyester,3.4,7.8
All Other (including Polyester (unsaturated)),6.1,15.4
Total,44.2,119.3
"a Production estimates provided by the American Chemistry Council include Canadian production for Urea, Melamine, Phenolic, LDPE, LLDPE, HDPE, PP, ABS, SAN, Other Styrenics, PS, Nylon, PVC, and Thermoplastic Polyester, and Mexican production for PP, ABS, SAN, Other Styrenics, Nylon, and Thermoplastic Polyester. Values have been adjusted to account just for U.S. production.",,
b Includes Styrene-acrylonitrile (SAN).,,
c Includes copolymers.,,
Note: Totals may not sum due to independent rounding.,,
