Table A-77:  Active Ingredient Consumption in Pesticides (Million lbs.) and C Emitted and Stored (MMT CO2 Eq.) in 2007,,,
Pesticide Usea,Active Ingredient ,C Emitted ,C Stored 
,(Million lbs.),(MMT CO2 Eq.),(MMT CO2 Eq.)
Agricultural Uses ,473.5,0.1,0.1
Non-Agricultural Uses ,76.8,+,+
   Home & Garden,30.3,+,+
Industry/Gov't/Commercial,46.5,+,+
Other,337.7,0.1,0.1
Total,888,0.2,0.2
+ Less than 0.05 MMT CO2 Eq.,,,
a 2007 estimates (EPA 2011b).,,,
Note: Totals may not sum due to independent rounding.,,,
