"Table A-101:  VMT Distribution by Vehicle Age and Vehicle/Fuel Type, a 2014",,,,,,,
Vehicle Age,LDGV,LDGT,HDGV,LDDV,LDDT,HDDV,MC
0,9.18%,10.20%,11.71%,17.18%,10.81%,8.56%,24.81%
1,8.61%,9.46%,10.55%,16.11%,10.01%,7.64%,12.70%
2,8.14%,8.84%,9.70%,15.25%,9.35%,7.27%,9.04%
3,4.92%,5.79%,5.12%,9.21%,6.27%,5.32%,5.99%
4,5.39%,4.98%,2.96%,8.67%,3.57%,3.43%,4.68%
5,4.76%,3.63%,2.57%,5.57%,3.12%,4.34%,4.31%
6,5.85%,6.00%,5.20%,0.49%,7.40%,4.63%,6.93%
7,6.17%,6.05%,4.02%,0.33%,6.38%,11.95%,5.66%
8,5.52%,5.85%,5.79%,6.04%,7.78%,8.69%,4.96%
9,5.29%,5.77%,3.89%,4.01%,6.40%,7.54%,4.06%
10,4.73%,5.48%,4.76%,2.32%,5.43%,4.36%,3.24%
11,4.70%,4.74%,3.70%,2.91%,4.72%,3.73%,2.62%
12,4.45%,4.32%,3.41%,3.03%,3.86%,2.58%,2.19%
13,3.96%,3.62%,2.42%,1.86%,4.17%,3.12%,1.76%
14,3.75%,3.21%,5.04%,1.52%,2.11%,4.48%,1.34%
15,2.82%,2.60%,4.16%,0.84%,2.87%,3.05%,0.97%
16,2.18%,1.95%,1.46%,0.76%,1.02%,1.83%,0.80%
17,1.89%,1.61%,2.43%,0.27%,1.22%,1.32%,0.73%
18,1.47%,1.12%,1.37%,0.29%,0.89%,1.25%,0.62%
19,1.41%,1.04%,1.90%,0.21%,0.63%,1.30%,0.45%
20,1.04%,0.85%,1.34%,0.02%,0.35%,0.86%,0.50%
21,0.84%,0.59%,1.07%,0.09%,0.36%,0.60%,0.40%
22,0.67%,0.43%,0.71%,0.12%,0.32%,0.38%,0.32%
23,0.54%,0.35%,0.56%,0.24%,0.18%,0.34%,0.24%
24,0.44%,0.31%,0.73%,0.07%,0.14%,0.36%,0.18%
25,0.35%,0.31%,0.82%,0.05%,0.13%,0.30%,0.13%
26,0.26%,0.27%,0.61%,0.01%,0.10%,0.24%,0.10%
27,0.21%,0.20%,0.53%,0.43%,0.04%,0.19%,0.09%
28,0.17%,0.20%,0.50%,0.24%,0.15%,0.12%,0.07%
29,0.13%,0.13%,0.38%,0.72%,0.11%,0.09%,0.06%
30,0.15%,0.11%,0.58%,1.12%,0.11%,0.11%,0.05%
Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Model that affects this distribution. ,,,,,,,
"a The following abbreviations correspond to vehicle types: LDGV (light-duty gasoline vehicles), LDGT (light-duty gasoline trucks), ",,,,,,,
"HDGV (heavy-duty gasoline vehicles), LDDV (light-duty diesel vehicles), LDDT (light-duty diesel trucks), HDDV (heavy-duty diesel vehicles), and MC (motorcycles).",,,,,,,
Note: Estimated by weighting data in by data in Table A-100. This year’s Inventory includes updated vehicle population data based on the MOVES 2014a,,,,,,,
