Table A-103:  Control Technology Assignments for Gasoline Passenger Cars (Percent of VMT),,,,,,
Model Years,Non-catalyst,Oxidation,EPA Tier 0,EPA Tier 1,LEV,EPA Tier 2
1973-1974,100%,-,-,-,-,-
1975,20%,80%,-,-,-,-
1976-1977,15%,85%,-,-,-,-
1978-1979,10%,90%,-,-,-,-
1980,5%,88%,7%,-,-,-
1981,-,15%,85%,-,-,-
1982,-,14%,86%,-,-,-
1983,-,12%,88%,-,-,-
1984-1993,-,-,100%,-,-,-
1994,-,-,60%,40%,-,-
1995,-,-,20%,80%,-,-
1996,-,-,1%,97%,2%,-
1997,-,-,0.50%,96.50%,3%,-
1998,-,-,<1%,87%,13%,-
1999,-,-,<1%,67%,33%,-
2000,-,-,-,44%,56%,-
2001,-,-,-,3%,97%,-
2002,-,-,-,1%,99%,-
2003,-,-,-,<1%,87%,13%
2004,-,-,-,<1%,41%,59%
2005,-,-,-,-,38%,62%
2006,-,-,-,-,18%,82%
2007,-,-,-,-,4%,96%
2008,-,-,-,-,2%,98%
2009-2014,-,-,-,-,-,100%
"Sources: EPA (1998), EPA (2007a), and EPA (2007b).",,,,,,
 - Not applicable.,,,,,,
Note: Detailed descriptions of emissions control technologies are provided in the following section of this Annex.,,,,,,
