Table A-104:  Control Technology Assignments for Gasoline Light-Duty Trucks (Percent of VMT)a,,,,,,
Model Years,Non-catalyst,Oxidation,EPA Tier 0,EPA Tier 1,LEV b,EPA Tier 2
1973-1974,100%,-,-,-,-,-
1975,30%,70%,-,-,-,-
1976,20%,80%,-,-,-,-
1977-1978,25%,75%,-,-,-,-
1979-1980,20%,80%,-,-,-,-
1981,-,95%,5%,-,-,-
1982,-,90%,10%,-,-,-
1983,-,80%,20%,-,-,-
1984,-,70%,30%,-,-,-
1985,-,60%,40%,-,-,-
1986,-,50%,50%,-,-,-
1987-1993,-,5%,95%,-,-,-
1994,-,-,60%,40%,-,-
1995,-,-,20%,80%,-,-
1996,-,-,-,100%,-,-
1997,-,-,-,100%,-,-
1998,-,-,-,80%,20%,-
1999,-,-,-,57%,43%,-
2000,-,-,-,65%,35%,-
2001,-,-,-,1%,99%,-
2002,-,-,-,10%,90%,-
2003,-,-,-,<1%,53%,47%
2004,-,-,-,-,72%,28%
2005,-,-,-,-,38%,62%
2006,-,-,-,-,25%,75%
2007,-,-,-,-,14%,86%
2008-2014,-,-,-,-,-,100%
"Sources: EPA (1998), EPA (2007a), and EPA (2007b).",,,,,,
 - Not applicable.,,,,,,
a Detailed descriptions of emissions control technologies are provided in the following section of this Annex.,,,,,,
"b The proportion of LEVs as a whole has decreased since 2001, as carmakers have been able to achieve greater emission reductions with certain types of LEVs, such as ULEVs. Because ULEVs emit about half the emissions of LEVs, a carmaker can reduce the total number of LEVs  they need to build to meet a specified emission average for all of their vehicles in a given model year.",,,,,,
