Table A-105:  Control Technology Assignments for Gasoline Heavy-Duty Vehicles (Percent of VMT)a,,,,,,,
Model Years,Uncontrolled,Non-catalyst,Oxidation,EPA Tier 0,EPA Tier 1,LEV b,EPA Tier 2
Less than or equal to 1981,100%,-,-,-,-,-,-
1982-1984,95%,-,5%,-,-,-,-
1985-1986,-,95%,5%,-,-,-,-
1987,-,70%,15%,15%,-,-,-
1988-1989,-,60%,25%,15%,-,-,-
1990-1995,-,45%,30%,25%,-,-,-
1996,-,-,25%,10%,65%,-,-
1997,-,-,10%,5%,85%,-,-
1998,-,-,-,-,96%,4%,-
1999,-,-,-,-,78%,22%,-
2000,-,-,-,-,54%,46%,-
2001,-,-,-,-,64%,36%,-
2002,-,-,-,-,69%,31%,-
2003,-,-,-,-,65%,30%,5%
2004,-,-,-,-,5%,37%,59%
2005,-,-,-,-,-,23%,77%
2006,-,-,-,-,-,20%,80%
2007,-,-,-,-,-,10%,90%
2008-2014,-,-,-,-,-,0%,100%
"Sources: EPA (1998), EPA (2007a), and EPA (2007b).",,,,,,,
 - Not applicable.,,,,,,,
a Detailed descriptions of emissions control technologies are provided in the following section of this Annex.,,,,,,,
"b The proportion of LEVs as a whole has decreased since 2000, as carmakers have been able to achieve greater emission reductions with certain types of LEVs, such as ULEVs. Because ULEVs emit about half the emissions of LEVs, a manufacturer can reduce the total number of LEVs they need to build to meet a specified emission average for all of their vehicles in a given model year. ",,,,,,,
