Table A-114: HFC Emissions from Transportation Sources (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Mobile AC,-   ,-   ,1.2,5.0,12.0,18.9,27.4,36.0,42.0,47.9,53.5,59.1,61.3,62.7,64.3,65,65.6,66,66.3,65.2,61.7,55.7,49.9,44,40.9
Passenger Cars,-   ,-   ,1.2,3.6,7.4,11.2,15.7,20.3,23.0,25.6,28.1,30.7,31.5,31.6,31.8,31.7,31.7,31.5,31.2,29.9,27.5,23.9,20.6,17.3,16
Light-Duty Trucks,-   ,-   ,-   ,1.4,4.6,7.8,11.6,15.7,19.0,22.3,25.4,28.4,29.8,31.1,32.4,33.3,33.9,34.5,35.1,35.2,34.2,31.7,29.3,26.7,25
Comfort Cooling for Trains and Buses,-   ,-   ,-   ,-   ,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5
School and Tour Buses,-   ,-   ,-   ,-   ,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Transit Buses,-   ,-   ,-   ,-   ,-   ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+,0.1
Rail,-   ,-   ,-   ,-   ,-   ,-   ,-   ,-   ,-   ,-   ,-   ,-   ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+, +
Refrigerated Transport,-   ,-   ,-   ,+ ,0.1,0.2,0.3,0.4,0.5,0.7,0.8,1,1.2,1.4,1.6,1.8,2,2.3,2.6,2.9,3.5,4.1,4.7,5.3,5.8
Medium- and Heavy-Duty Trucks,-   ,-   ,-   ,+ ,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.8,0.9,1.2,1.4,1.5,1.7,1.9,2.2,2.4,2.9,3.4,3.9,4.4,4.4
Rail,-   ,-   ,-   ,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1.4
Ships and Other Boats,-   ,-   ,-   ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
Total,-   ,,,,,19.1,,,,,54.5,60.3,62.7,64.3,66.1,67.1,67.9,68.7,69.3,68.5,65.6,60.2,55.1,49.8,47.2
+ Does not exceed 0.05 MMT CO2 Eq. ,,,,,,,,,,,,,,,,,,,,,,,,,
 - Unreported or zero,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Totals may not sum due to independent rounding. ,,,,,,,,,,,,,,,,,,,,,,,,,
