Table A-115:  Total U.S. Greenhouse Gas Emissions from Transportation and Mobile Sources (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,
Mode / Vehicle Type / Fuel Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Percent Change 
Transportation Totala,"1,554.40","1,508.60","1,562.10","1,603.70","1,657.60","1,698.40","1,751.80","1,777.60","1,820.80","1,878.00","1,926.70","1,911.30","1,951.40","1,941.20","1,986.00","2,004.40","1,998.10","1,999.30","1,902.00","1,823.60","1,832.00","1,803.90","1,784.30","1,794.00","1,814.50",17%
On-Road Vehicles,"1,233.50","1,215.00","1,261.00","1,299.50","1,338.70","1,370.50","1,414.60","1,452.00","1,502.80","1,557.30","1,572.80","1,583.10","1,621.40","1,630.60","1,663.80","1,672.40","1,668.50","1,664.60","1,586.50","1,540.90","1,541.70","1,515.00","1,504.60","1,504.30","1,531.10",24%
Passenger Cars,656.6,614.7,623.8,633.3,642.9,646.7,659.2,663,685.4,698.7,697.3,704.1,716.9,694.2,690.2,708.9,683,843.5,802.3,792.8,783.6,774.3,767.9,763.2,762.5,16%
Gasolineb,648.7,607.7,615.3,621.4,626.8,627.6,636.7,636.5,656.8,668.8,665.5,669.7,681.7,658.4,654.1,673,647.2,807.9,767.4,759.3,752.3,746.3,743.2,741.8,742.4,14%
"Dieselb, c",7.9,7,7.3,8.3,8.5,7.8,6.7,6.1,5.6,4.4,3.7,3.7,3.7,4.2,4.3,4.2,4.1,4.1,3.7,3.6,3.7,4.1,4.1,4.1,4.1,-48%
AFVsd,+ ,+ ,+ ,+ ,0.1,0.1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,5608%
HFCs from Mobile AC,0,0,1.2,3.6,7.4,11.2,15.7,20.3,23,25.6,28.1,30.7,31.5,31.6,31.8,31.7,31.7,31.5,31.2,29.9,27.5,23.9,20.6,17.3,16,NA
Light-Duty Trucks,335.6,364.6,390.9,406.6,419.5,436.8,456.1,475.2,490,512.2,515,520.8,532.7,567.4,589,551.5,564,367.2,348.6,351.5,348.9,332,326,323.4,338.1,1%
Gasolineb,323.5,352.7,377.9,391.2,400,413.6,428.3,442.8,453.2,470.4,469,471,480.4,508.3,526.7,491.1,502.2,318.1,299.7,303.1,300.9,285.8,282.1,281.9,297.4,-8%
"Dieselb, c",11.5,11.4,12.6,13.5,14,14.9,15.7,16.3,17.3,18.9,20.1,20.8,21.9,27.2,28.9,25.8,26.7,13.5,12.1,12,12.5,13,12.9,12.9,13.9,21%
AFVsd,0.6,0.5,0.5,0.5,0.9,0.5,0.5,0.5,0.6,0.5,0.5,0.6,0.6,0.8,0.9,1.3,1.2,1,1.8,1.2,1.3,1.5,1.6,1.9,1.9,234%
HFCs from Mobile AC,0,0,0,1.4,4.6,7.8,11.6,15.7,19,22.3,25.4,28.4,29.8,31.1,32.4,33.3,33.9,34.5,35.1,35.2,34.2,31.7,29.3,26.7,25,NA
Medium- and Heavy-Duty Trucks,231.1,226.3,236.5,249,265.3,275.9,287.9,302.1,315.4,333,347.5,346.1,360,356.6,367.7,398.2,407.4,432,414.2,376.3,389.7,388.4,388.7,395.7,407.4,76%
Gasolineb,39.5,39.2,38.3,37.1,37.3,36.8,36,35.4,35.9,36.3,37,36.1,36.6,31.6,31.8,35.7,36.1,47.1,47.3,43.4,43.2,39.6,39.3,40.1,40.5,2%
"Dieselb, c",190.7,186.3,197.4,211,226.8,238.4,251.2,266,278.5,295.7,309.5,309,322.2,323.5,334.3,360.5,369.1,382.6,364,329.9,343.1,344.7,344.8,350.4,361.7,90%
AFVsd,0.9,0.8,0.7,0.8,1.2,0.6,0.5,0.5,0.6,0.4,0.3,0.3,0.3,0.4,0.3,0.4,0.5,0.4,0.7,0.5,0.6,0.6,0.7,0.8,0.8,-8%
HFCs from Refrigerated Transporte,0,0,0,+ ,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.8,0.9,1.2,1.4,1.5,1.7,1.9,2.2,2.4,2.9,3.4,3.9,4.4,4.4,NA
Buses,8.4,7.7,8.1,8.8,9.2,9.2,9.6,9.9,10.2,11.4,11.2,10.3,10,10.8,15.1,12.1,12.2,17.6,16.9,16,15.8,16.8,17.8,18,19.1,129%
Gasolineb,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.5,0.4,0.4,0.7,0.7,0.8,0.7,0.7,0.8,0.9,0.9,154%
"Dieselb, c",8,7.4,7.7,8.4,8.8,8.7,9.1,9.2,9.5,10.6,10.2,9.3,8.8,9.5,13.5,10.6,10.6,15.5,14.6,13.6,13.5,14.4,15.4,15.5,16.6,107%
AFVsd,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.2,0.3,0.3,0.5,0.5,0.6,0.8,0.9,0.9,0.9,1,1.2,1.2,1.1,1.2,1.1,1.2,1.2,88269%
HFCs from Comfort Cooling,0,0,0,0,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA
Motorcycles ,1.8,1.7,1.8,1.8,1.9,1.8,1.8,1.8,1.9,1.9,1.9,1.7,1.7,1.7,1.8,1.7,1.9,4.3,4.4,4.2,3.7,3.6,4.2,4,3.9,118%
Gasolineb,1.8,1.7,1.8,1.8,1.9,1.8,1.8,1.8,1.9,1.9,1.9,1.7,1.7,1.7,1.8,1.7,1.9,4.3,4.4,4.2,3.7,3.6,4.2,4,3.9,118%
Aircraft,189.2,173.4,171.1,172.5,179.9,176.7,189,189,192.6,197,199.4,193.9,189.4,183.1,190.6,193.6,186.3,183.4,176.7,157.4,154.8,149.9,146.5,150.1,151.5,-20%
General Aviation Aircraft,42.9,34.6,36.4,35.3,40.3,35.8,44.6,42.4,48.9,43.2,35.9,43.7,45.1,36.9,41.9,40.1,30.1,24.4,30.5,21.2,26.7,22.5,19.9,23.6,19.7,-54%
Jet Fuelf,39.8,31.7,33.5,32.6,37.6,33,41.9,39.6,46.4,40.5,33.4,41.2,42.7,34.7,39.7,37.6,27.7,22.2,28.5,19.4,24.8,20.6,18.2,22,18.2,-54%
Aviation Gasoline,3.2,3,2.9,2.7,2.7,2.8,2.6,2.8,2.5,2.8,2.6,2.5,2.4,2.1,2.2,2.5,2.4,2.2,2,1.9,1.9,1.9,1.8,1.6,1.5,-52%
Commercial Aircraft,110.9,104.3,106.5,109.8,114.6,116.3,119.7,124,120.8,131.6,140.6,125.8,122.4,124,126,134,138.3,141,128.4,120.6,114.4,115.7,114.3,115.4,116.3,5%
Jet Fuelf,110.9,104.3,106.5,109.8,114.6,116.3,119.7,124,120.8,131.6,140.6,125.8,122.4,124,126,134,138.3,141,128.4,120.6,114.4,115.7,114.3,115.4,116.3,5%
Military Aircraft,35.3,34.5,28.2,27.5,24.9,24.5,24.6,22.6,22.9,22.2,22.9,24.5,21.9,22.2,22.7,19.5,18,18,17.7,15.5,13.7,11.7,12.2,11.1,15.5,-56%
Jet Fuelf,35.3,34.5,28.2,27.5,24.9,24.5,24.6,22.6,22.9,22.2,22.9,24.5,21.9,22.2,22.7,19.5,18,18,17.7,15.5,13.7,11.7,12.2,11.1,15.5,-56%
Ships and Boatsg,44.9,40,49.2,47.8,48.4,58.5,54.4,39.9,33.8,29.9,61.1,42.4,47.2,37.1,39.8,44.9,48,54.7,45.3,38.6,44.7,46.4,40.1,39.4,28.6,-36%
Gasoline,12.4,12.8,6.6,8.3,7.5,14.1,13.1,12.1,12.7,-0.2,10.2,14.4,14.4,14.2,14.1,14,13.8,13.6,13.2,13,12.7,12.6,12.5,12.4,12.3,0%
Distillate Fuelc,9.6,10.1,12.1,11.4,13.7,14.9,17.3,17.3,15.1,16.6,17.1,15.8,15.4,15.3,11.5,11.4,10.8,11.6,11.4,11.5,11.1,14,11.4,11.5,10.2,6%
Residual Fuelh,22.9,17.1,30.5,28,27.3,29.5,24,10.4,6,13.4,33.8,12.2,17.4,7.6,14.2,19.6,23.4,29.4,20.7,14.2,20.9,19.8,16.2,15.5,6,-74%
HFCs from Refrigerated Transporte,0,0,0,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,NA
Rail,39,36.8,37.7,38.8,41.7,43.1,43.9,44.1,44.4,46.1,46.1,46.5,46.1,47.8,50.5,51.1,53,52.2,48.5,41.3,44.2,45.9,44.6,45.5,47.6,22%
"Distillate Fuelc, i",35.8,33.7,34.7,35.7,38.4,40,40.7,40.8,41.1,42.6,42.5,42.6,42.3,43.2,45.6,46,48.1,46.7,43.3,36.3,39,40.8,39.9,40.5,42.1,17%
Electricity,3.1,3,3,3,3.1,3.1,3.1,3.1,3.2,3.2,3.5,3.7,3.5,4.3,4.6,4.8,4.6,5.1,4.7,4.5,4.5,4.3,3.9,4.1,4.1,34%
Other Emissions from Rail Electricity Use j,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,+ ,0.1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,-30%
HFCs from Comfort Cooling,0,0,0,0,0,0,0,0,0,0,0,0,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,NA
HFCs from Refrigerated Transporte,0,0,0,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1.4,NA
Pipelinesk,36,32.9,32.2,34.1,37.5,38.2,38.9,41.2,35,35.5,35.2,34.4,36.4,32.5,31.1,32.2,32.3,34.2,35.6,36.7,37.1,37.8,40.3,45.9,46.5,29%
Natural Gas,36,32.9,32.2,34.1,37.5,38.2,38.9,41.2,35,35.5,35.2,34.4,36.4,32.5,31.1,32.2,32.3,34.2,35.6,36.7,37.1,37.8,40.3,45.9,46.5,29%
Other Transportation,11.8,10.6,10.8,11,11.5,11.3,11,11.6,12.1,12.2,12.1,11.1,10.9,10.1,10.2,10.2,9.9,10.2,9.5,8.5,9.5,9,8.3,8.8,9.1,-23%
Lubricants,11.8,10.6,10.8,11,11.5,11.3,11,11.6,12.1,12.2,12.1,11.1,10.9,10.1,10.2,10.2,9.9,10.2,9.5,8.5,9.5,9,8.3,8.8,9.1,-23%
Non-Transportation Mobile Total,128.8,132,136,138.2,142.7,146.8,149.8,153.2,155.2,156.1,159.6,173.6,178.3,183,190,191.9,196.9,195.5,194.7,198,204.2,206.8,209.6,214.9,215.3,67%
Agricultural Equipmentl,31.4,32,33.2,34.5,36,37,37.9,39.4,39.6,39.3,39.8,42,43.1,44.2,47.2,47.9,50.2,49.5,46.5,47.7,48.7,50.5,52,51,51.7,65%
Gasoline,7.3,7,7.3,7.6,8.2,8.3,8.2,8.8,8.1,6.2,5.8,7.1,7.4,7.6,9.7,9.6,11,9.4,5.6,5.9,6,7,7.6,5.7,5.6,-23%
Diesel,24.1,25,25.9,26.9,27.8,28.7,29.7,30.6,31.5,33,34,34.9,35.7,36.6,37.5,38.4,39.2,40.1,40.9,41.8,42.7,43.5,44.4,45.3,46.1,92%
