Table A-122: Annual Coal Production (Thousand Short Tons),,,,,,,,,,,,,,,,,,,,,,,,,
Basin,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Underground Coal Production,"423,556"," 406,344 "," 406,335 "," 351,056 "," 399,102 "," 396,249 "," 409,850 "," 420,657 "," 417,729 "," 391,791 "," 372,766 "," 380,627 "," 357,384 "," 352,785 "," 367,558 ","368,611"," 359,020 "," 351,791 ","357,074","332,061","337,155","345,607","342,387","341,216","354,705"
N. Appalachia,"103,865"," 103,450 "," 105,220 "," 77,032 "," 100,122 "," 98,103 "," 106,729 "," 112,135 "," 116,718 "," 107,575 "," 105,374 "," 107,025 "," 98,643 "," 98,369 "," 106,915 ","111,151"," 107,827 "," 106,024 ","105,228","99,629","103,109","105,752","103,408","104,198","116,700"
Cent. Appalachia,"198,412"," 181,873 "," 177,777 "," 164,845 "," 170,893 "," 166,495 "," 171,845 "," 177,720 "," 171,279 "," 157,058 "," 150,584 "," 152,457 "," 137,224 "," 130,724 "," 128,559 ","123,083"," 117,738 "," 110,103 ","114,998","98,689","96,354","94,034","78,067","70,440","64,219"
Warrior,"17,531"," 17,062 "," 15,944 "," 15,557 "," 14,471 "," 17,605 "," 18,217 "," 18,505 "," 17,316 "," 14,799 "," 15,895 "," 15,172 "," 14,916 "," 15,375 "," 16,114 ","13,295"," 10,737 "," 11,462 ","12,281","11,505","12,513","10,879","12,570","13,391","12,516"
Illinois,"69,167"," 69,947 "," 73,154 "," 55,967 "," 69,050 "," 69,009 "," 67,046 "," 64,728 "," 64,463 "," 63,529 "," 53,720 "," 54,364 "," 54,016 "," 51,780 "," 56,320 ","59,180"," 61,726 "," 61,924 ","64,609","67,186","72,178","81,089","92,500","98,331","105,211"
S. West/Rockies,"32,754"," 31,568 "," 31,670 "," 35,409 "," 41,681 "," 42,994 "," 43,088 "," 44,503 "," 45,983 "," 46,957 "," 45,742 "," 51,193 "," 52,121 "," 56,111 "," 59,039 ","60,865"," 59,670 "," 58,815 ","55,781","50,416","44,368","45,139","45,052","41,232","44,302"
N. Great Plains,"1,722"," 2,418 "," 2,511 "," 2,146 "," 2,738 "," 2,018 "," 2,788 "," 2,854 "," 1,723 "," 1,673 "," 1,210 ",0,0, 32 , 201 ,572, 840 ," 2,869 ","3,669","4,248","8,208","8,179","10,345","13,126","11,272"
West Interior,105, 26 , 59 , 100 , 147 , 25 , 137 , 212 , 247 , 200 , 241 , 416 , 464 , 394 , 410 ,465, 482 , 594 ,508,388,425,535,445,498,485
Northwest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surface Coal Production,"602,753"," 587,143 "," 588,944 "," 594,372 "," 634,401 "," 636,726 "," 654,007 "," 669,271 "," 699,806 "," 708,639 "," 700,608 "," 745,306 "," 735,912 "," 717,869 "," 743,553 ","762,191"," 802,975 "," 793,689 ","813,321","740,175","764,709","754,871","672,748","640,740","643,721"
N. Appalachia,"60,761"," 51,124 "," 50,512 "," 48,641 "," 44,960 "," 39,372 "," 39,788 "," 40,179 "," 41,043 "," 33,928 "," 34,908 "," 35,334 "," 30,088 "," 27,370 "," 28,174 ","28,873"," 28,376 "," 26,121 ","30,413","26,552","26,082","26,382","21,411","19,339","17,300"
Cent. Appalachia,"94,343"," 91,785 "," 95,163 "," 94,433 "," 106,129 "," 106,250 "," 108,869 "," 113,275 "," 108,345 "," 107,507 "," 110,479 "," 116,983 "," 111,340 "," 99,419 "," 103,968 ","112,222"," 118,388 "," 116,226 ","118,962","97,778","89,788","90,778","69,721","57,173","52,399"
Warrior,"11,413"," 10,104 "," 9,775 "," 9,211 "," 8,795 "," 7,036 "," 6,420 "," 5,963 "," 5,697 "," 4,723 "," 4,252 "," 4,796 "," 6,320 "," 8,437 "," 9,742 ","11,599"," 11,889 "," 11,410 ","11,172","10,731","11,406","10,939","9,705","8,695","7,584"
Illinois,"72,000"," 63,483 "," 58,814 "," 50,535 "," 51,868 "," 40,376 "," 44,754 "," 46,862 "," 45,715 "," 40,474 "," 33,631 "," 40,894 "," 39,380 "," 36,675 "," 34,016 ","33,702"," 33,362 "," 33,736 ","34,266","34,837","32,911","34,943","34,771","33,798","31,969"
S. West/Rockies,"43,863"," 42,985 "," 46,052 "," 48,765 "," 49,119 "," 46,643 "," 43,814 "," 48,374 "," 49,635 "," 50,349 "," 49,587 "," 52,180 "," 50,006 "," 41,237 "," 42,558 ","42,756"," 36,798 "," 34,310 ","34,283","32,167","28,889","31,432","30,475","28,968","27,564"
N. Great Plains,"249,356"," 259,194 "," 258,281 "," 275,873 "," 308,279 "," 331,367 "," 343,404 "," 349,612 "," 385,438 "," 407,683 "," 407,670 "," 438,367 "," 441,346 "," 444,007 "," 466,224 ","474,056"," 518,136 "," 523,695 ","538,387","496,290","507,995","502,734","455,320","444,740","458,112"
West Interior,"64,310"," 61,889 "," 63,562 "," 60,574 "," 58,791 "," 59,116 "," 60,912 "," 59,061 "," 57,951 "," 58,309 "," 54,170 "," 50,613 "," 50,459 "," 53,411 "," 51,706 ","52,263"," 52,021 "," 46,867 ","44,361","39,960","46,136","55,514","49,293","46,477","47,201"
Northwest,"6,707"," 6,579 "," 6,785 "," 6,340 "," 6,460 "," 6,566 "," 6,046 "," 5,945 "," 5,982 "," 5,666 "," 5,911 "," 6,138 "," 6,973 "," 7,313 "," 7,165 ","6,720"," 4,005 "," 1,324 ","1,477","1,860","2,151","2,149","2,052","1,550","1,502"
