Table A-134:  2014 Data and Calculated CH4 Potential Emissions (Mg) for the Natural Gas Production Stage,,,,,
,2014 EPA Inventory Values,,,,
Activity,National Activity Data,,National Emission Factor or Range of Regional Values (Potential)aa,,Calculated Potential  (Mg)bb
Gas Wells,,,,, 
Associated Gas Wells,"503,873","wellsa,1,cc",NAdd,,0
Non-associated Gas Wells (less fractured wells),"205,363","wellsa,1",7.43-42.49,scfd/wellb,"17,754.50"
Gas Wells with Hydraulic Fracturing,"250,777","wellsa,1",7.59-42.49,scfd/wellb,"35,085.10"
Well Pad Equipment,,,,,
Heaters,"99,038","heatersc,d,2",14.87-67.29,scfd/heaterb,"23,953.40"
Separators,"306,377","separatorsc,d,2",0.94-142.27,scfd/separatorb,"118,591.20"
Dehydrators,"17,126","dehydratorsc,d,2",23.18-106.25,scfd/dehydratorb,"8,417.50"
Meters/Piping,"523,885","metersc,d,2",9.43-61.68,scfd/meterb,"107,173.20"
Compressors,"48,518","compressorsc,d,2",263.85-312.19,scfd/compressorb,"96,170.60"
Gathering and Boosting,,,,,
Gathering and Boosting Stations*,"4,999","stationse,2","53,066",scfd CH4/statione,"1,864,870.30"
Pipeline Leaks,"431,051","milesf,2",52.38-61.97,scfd/mileb,"169,701.40"
"Drilling, Well Completion, and Well Workover",,,,,
Gas Well Completions without Hydraulic Fracturing,767,completions/yearg,707.23-854.65,scf/completionb,11.3
Gas Well Workovers without Hydraulic Fracturing,"8,933","workovers/yeara,2","2,367.7-2,861.3",scf/workoverb,445.8
Hydraulic Fracturing Completions and Workovers that vent*,"1,791",completions and workovers/yearc,36.82,MT/(completion or workover)h,"65,940.70"
Flared Hydraulic Fracturing Completions and Workovers*,548,completions and workovers/yearc,4.91,MT/(completion or workover)h,"2,690.60"
Hydraulic Fracturing Completions and Workovers with RECs*,"1,043",completions and workovers/yearc,3.24,MT/(completion or workover)h,"3,379.60"
Hydraulic Fracturing Completions and Workovers with RECs that flare*,"1,979",completions and workovers/yearc,4.88,MT/(completion or workover)h,"9,653.40"
Well Drilling,"18,837","wellsi,1","2,505.9-2,965.0",scf/wellj,971.6
Normal Operations,,,,,
Pneumatic Device Vents*,"834,919","controllersc,d,2",176.74-209.12,"scfd/devicec,d","1,105,119.00"
Pneumatic Device Vents - Low Bleed (LB),"226,280","controllersc,d,2",22.52-26.64,"scfd/devicec,d",Aggregated
Pneumatic Device Vents - High Bleed (HB),"29,006","controllersc,d,2",612.66-724.91,"scfd/devicec,d",Aggregated
Pneumatic Device Vents - Intermittent Bleed (IB),"579,633","controllersc,d,2",215.13-254.55,"scfd/devicec,d",Aggregated
Chemical Injection Pumps*,"83,249","active pumpsc,d,2",208.89-252.30,"scfd/pumpc,d","128,876.50"
