Table A-139:  U.S. Production Sector CH4 Content in Natural Gas by NEMS Region (General Sources),,,,,,,
,U.S. Region,,,,,,
Year,North East,Midcontinent,Rocky Mountain,South West,West Coast,Gulf Coast,Lower 48 States
1990,84.00%,78.30%,67.00%,64.40%,75.30%,79.80%,n/a
1991,83.80%,78.70%,69.10%,67.10%,78.10%,80.10%,n/a
1992,83.50%,79.10%,71.40%,75.40%,80.80%,82.70%,n/a
1993,82.90%,79.90%,73.40%,76.10%,83.60%,84.10%,n/a
1994,82.00%,80.70%,75.50%,77.40%,86.40%,85.60%,n/a
1995,81.50%,81.60%,77.60%,79.00%,89.10%,87.20%,n/a
1996,81.20%,82.60%,80.50%,80.50%,91.90%,88.70%,84.20%
1997,80.30%,82.50%,80.40%,80.50%,91.90%,88.60%,84.10%
1998,81.00%,82.50%,80.50%,80.50%,91.90%,88.60%,84.20%
1999,80.50%,82.50%,80.40%,80.50%,91.90%,88.70%,84.20%
2000,80.80%,82.50%,80.20%,80.50%,91.90%,88.70%,84.00%
2001,80.30%,82.50%,79.50%,80.50%,91.90%,88.70%,83.80%
2002,80.40%,82.50%,79.30%,80.50%,91.90%,88.60%,83.50%
2003,76.40%,82.60%,79.10%,80.50%,91.90%,88.60%,83.20%
2004,80.40%,82.70%,79.00%,80.50%,91.90%,88.60%,83.40%
2005,80.10%,82.70%,79.00%,80.50%,91.90%,88.60%,83.40%
2006,79.50%,83.00%,78.90%,80.50%,91.90%,88.60%,83.40%
2007,85.80%,82.70%,77.50%,80.50%,91.90%,88.60%,83.90%
2008,86.00%,82.70%,77.70%,80.50%,91.90%,88.50%,83.90%
2009,85.10%,82.70%,77.50%,80.50%,91.90%,88.50%,83.60%
2010,84.30%,82.80%,77.40%,80.50%,91.90%,88.30%,83.40%
2011,85.20%,82.60%,77.50%,80.50%,91.90%,88.20%,83.30%
2012,84.80%,82.50%,78.20%,80.50%,91.90%,88.20%,83.00%
2013,84.20%,82.50%,77.90%,80.50%,91.90%,88.90%,83.00%
2014,84.00%,82.40%,77.70%,80.50%,91.90%,88.90%,82.70%
