Table A-140:  U.S. Production Sector CH4 Content in Natural Gas by NEMS Region (Gas Wells Without Hydraulic Fracturing),,,,,,,
,U.S. Region,,,,,,
Year,North East,Midcontinent,Rocky Mountain,South West,West Coast,Gulf Coast,Lower 48 States
1990,84.00%,78.30%,67.00%,64.40%,75.30%,79.80%,n/a
1991,83.80%,78.70%,69.10%,67.10%,78.10%,80.10%,n/a
1992,83.50%,79.10%,71.40%,75.40%,80.80%,82.70%,n/a
1993,82.90%,79.90%,73.40%,76.10%,83.60%,84.10%,n/a
1994,82.00%,80.70%,75.50%,77.40%,86.40%,85.60%,n/a
1995,81.50%,81.60%,77.60%,79.00%,89.10%,87.20%,n/a
1996,81.20%,82.50%,79.60%,80.50%,91.90%,88.60%,84.00%
1997,80.50%,82.50%,79.50%,80.50%,91.90%,88.60%,83.90%
1998,81.20%,82.50%,79.50%,80.50%,91.90%,88.60%,84.00%
1999,80.70%,82.50%,79.50%,80.50%,91.90%,88.70%,83.90%
2000,81.00%,82.50%,79.20%,80.50%,91.90%,88.70%,83.80%
2001,80.40%,82.50%,78.30%,80.50%,91.90%,88.60%,83.50%
2002,80.50%,82.50%,78.10%,80.50%,91.90%,88.60%,83.20%
2003,76.50%,82.60%,77.90%,80.50%,91.90%,88.60%,82.90%
2004,80.50%,82.60%,77.80%,80.50%,91.90%,88.60%,83.10%
2005,80.30%,82.70%,77.70%,80.50%,91.90%,88.60%,83.10%
2006,79.60%,83.00%,77.70%,80.50%,91.90%,88.60%,83.10%
2007,85.60%,82.70%,75.80%,80.50%,91.90%,88.60%,83.50%
2008,85.60%,82.70%,76.00%,80.50%,91.90%,88.50%,83.50%
2009,84.70%,82.70%,75.80%,80.50%,91.90%,88.50%,83.20%
2010,83.80%,82.80%,75.60%,80.50%,91.90%,88.30%,82.90%
2011,85.00%,82.60%,75.80%,80.50%,91.90%,88.20%,82.80%
2012,84.40%,82.50%,76.70%,80.50%,91.90%,88.20%,82.50%
2013,83.90%,82.50%,76.30%,80.50%,91.90%,88.90%,82.40%
2014,83.60%,82.40%,76.00%,80.50%,91.90%,88.90%,82.10%
