Table A-142:  Key Activity Data Drivers,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,Units,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Transmission Pipelines Length,miles,"291,925","293,862","291,468","293,263","301,545","296,947","284,672","294,370","302,709","296,059","298,957","289,994","302,999","301,493","303,001","300,468","300,324","301,066","303,181","304,573","304,805","305,058","303,341","302,777","301,748"
Wells,,,,,,,,,,,,,,,,,,,,,,,,,,
"NE—Associated Gas Wellsa,1",# wells,"28,397","28,565","27,488","29,238","28,391","26,635","27,959","29,548","27,330","28,009","27,556","28,552","30,380","30,763","32,402","32,769","32,974","28,166","38,838","37,141","41,541","42,634","45,314","43,781","45,349"
"NE—Non-associated Gas Wells a,1",# wells,"64,620","83,797","80,728","85,642","89,571","89,843","98,297","100,692","104,985","104,677","102,545","115,558","115,518","121,711","122,266","128,114","135,833","134,810","147,868","148,980","155,754","158,294","158,666","158,017","160,692"
"MC—Associated Gas Wells a,1",# wells,"50,789","49,603","48,379","47,673","47,086","45,434","44,945","47,625","46,446","44,756","44,097","44,227","43,622","43,417","43,121","43,686","44,232","44,865","46,060","46,561","46,189","46,053","48,547","50,142","46,830"
"MC—Non-associated Gas Wells a,1",# wells,"62,473","64,000","64,837","65,369","65,978","67,800","68,892","70,019","71,182","71,515","72,569","75,114","76,310","79,020","83,071","85,656","90,327","94,776","99,881","101,654","101,457","102,687","101,312","99,609","100,655"
"RM—Associated Gas Wells a,1",# wells,"23,419","24,146","24,759","25,434","25,805","25,780","25,757","26,322","26,344","25,301","25,797","26,217","26,339","26,752","27,938","29,425","31,698","33,709","36,686","37,769","39,888","43,427","47,547","50,523","53,964"
"RM—Non-associated Gas Wells a,1",# wells,"22,737","23,306","23,924","25,039","26,092","26,920","27,594","28,650","30,075","32,754","37,272","42,909","48,009","51,974","56,488","61,832","67,805","72,818","77,351","79,083","78,607","79,427","78,918","76,848","75,745"
"SW—Associated Gas Wells a,1",# wells,"308,254","306,457","303,519","301,215","295,339","237,660","234,135","242,709","235,775","224,506","220,167","216,828","215,204","221,114","221,643","220,818","221,406","221,657","225,969","227,313","232,151","236,087","244,444","247,386","253,329"
"SW—Non-associated Gas Wells a,1",# wells,"32,665","32,886","31,732","31,686","32,866","32,519","33,394","33,241","35,548","37,717","38,295","40,497","40,670","40,973","42,159","42,806","44,567","46,342","48,438","48,949","49,056","49,351","48,812","48,901","49,023"
"WC—Associated Gas Wells a,1",# wells,"16,627","15,997","15,388","14,948","14,394","13,608","13,491","13,683","13,690","13,462","15,339","15,749","16,181","16,631","17,388","18,131","19,744","22,310","22,623","28,600","28,095","28,467","28,756","29,578","30,071"
"WC—Non-associated Gas Wells a,1",# wells,"2,130","2,113","1,988","1,897","1,901","1,911","1,877","1,996","1,731","1,812","1,984","2,149","2,153","2,203","2,195","2,293","2,406","2,629","2,818","2,788","2,672","2,738","2,732","2,516","2,424"
"GC—Associated Gas Wells a,1",# wells,"141,216","139,769","136,100","133,054","129,109","101,403","91,850","89,275","82,266","75,394","74,291","71,366","69,125","67,691","63,556","62,003","60,741","61,211","62,560","60,856","60,263","61,432","66,369","69,685","74,330"
"GC—Non-associated Gas Wells a,1",# wells,"34,084","35,156","34,602","34,487","35,035","35,069","35,563","35,907","37,757","38,422","39,333","42,208","43,764","46,669","50,317","53,202","56,622","61,352","65,905","67,185","69,274","70,701","70,148","68,600","67,601"
Platformsaa,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gulf of Mexico and Pacific OCS Off-shore Platforms b,2",# platforms,"3,941","3,980","3,964","3,914","3,964","3,978","4,011","3,980","4,052","4,012","4,016","4,068","4,048","4,000","3,932","3,909","3,910","3,838","3,762","3,570","3,432","3,432","3,432","3,432","3,432"
"GoM and Pacific OCS Deep Water Platforms b,2",# platforms,17,17,19,19,20,23,25,27,29,36,38,40,44,46,50,59,67,63,65,68,70,70,70,70,70
"Gas Plantsc,1",# gas plants,761,734,732,726,725,675,623,615,558,581,585,570,590,574,572,566,571,574,577,579,585,606,606,650,668
Distribution Services,# of services,"47,883,083","51,623,175","49,142,008","51,015,027","54,740,020","54,644,033","52,076,544","57,207,180","54,035,004","54,317,439","56,761,042","57,461,795","58,876,416","58,537,395","61,777,358","61,832,574","62,877,885","63,598,562","64,255,178","64,498,352","64,079,565","64,774,921","65,057,667","65,554,546","65,712,260"
"Steel—Unprotected d,1",# of services,"7,633,526","7,201,784","7,138,563","6,933,064","6,529,108","6,151,653","5,775,613","5,619,584","5,463,253","5,751,250","5,675,520","5,449,653","5,186,134","4,840,347","4,809,606","5,507,356","5,658,533","5,457,880","5,415,333","5,221,143","4,226,682","4,142,891","3,917,081","3,669,003","3,432,641"
"Steel—Protected d,1",# of services,"19,781,581","23,276,047","19,742,086","19,843,107","21,520,667","21,002,455","18,593,770","20,557,061","18,478,344","18,310,719","17,855,560","17,911,402","17,778,463","17,258,710","18,283,248","16,529,118","16,027,531","15,781,496","15,672,810","15,470,934","15,324,020","15,275,872","14,954,692","14,753,566","14,588,827"
