Table A-143:  CH4 Reductions Derived from the Natural Gas STAR Program (kt),,,,,,,,,,,,,,,,,,,,,,,,,
Process,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Production,-3.5,-7.0,-13.8,-22.1,-41.1,-56.5,-96.8,-107.1,-131.6,-148.4,-153.4,-172.4,-177.5,-211.2,-235.4,-253.8,-257.7,-282.9,-317.5,-349.1,-393.9,-427.6,-421.4,-446.7,-483.2
Pipeline Leaks,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,-2.4,-3.3,0.0,-0.0005,-,-,-,-,-,-
Gas Engines,0,-0.4,-1.3,-4.5,-8.2,-13.8,-22.2,-30.3,-36.3,-44.7,-53.2,-61.8,-70.4,-76.1,-89.1,-97.9,-104.5,-111.6,-116.4,-123.1,-133.3,-137.2,-140.0,-140.5,-141.0
Compressor Starts,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.4,-0.5,-0.5,-0.5,-0.5,-0.5
Other Production,-3.5,-6.6,-12.5,-17.6,-32.9,-42.7,-74.7,-76.9,-95.2,-103.5,-100.1,-110.5,-106.9,-134.9,-146.1,-155.7,-153.1,-171.1,-200.9,-225.6,-260.0,-289.9,-280.9,-305.7,-341.7
Processing,-1.5,-9.6,-11.6,-13.6,-17.3,-21.8,-24.4,-27.0,-29.7,-35.2,-42.8,-47.8,-56.0,-88.5,-87.9,-155.5,-174.4,-174.5,-181.3,-137.6,-214.3,-140.4,-140.4,-140.7,-140.8
Fugitives Reciprocating Compressors,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,-0.3,-,-1,-,-,-0.1,-0.1
Gas Engines,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.2,-0.2,-0.2,-1.1,-1.1,-1.2,-2.1,-4.0,-6,-6.1,-6.1,-6.1,-6.1,-6.1
AGR Vents,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.3,-0.3,0.0,-,0.0,0.0,0.0,-,-,-,-,-,-
Dehydrator Vents,-1.3,-1.3,-1.3,-1.3,-1.3,0.0,0.0,0.0,0.0,-0.1,-0.2,-0.3,-0.4,-0.4,-1.9,-2.1,-2.2,-2.8,-9.4,-9.3,-9.3,-9.3,-9.3,-9.3,-9.3
Other Processing,-0.2,-8.2,-10.2,-12.2,-16.0,-21.8,-24.4,-27.0,-29.7,-35.1,-42.6,-47.1,-55.1,-87.5,-85.0,-152.2,-171.0,-169.6,-167.6,-122.2,-197.9,-125.0,-125.0,-125.2,-125.2
Transmission and Storage,-,0.0,0.0,-53.5,-77.6,-101.7,-82.8,-127.4,-183.1,-213.0,-255.1,-330.7,-351.4,-353.4,-409.9,-496.2,-458.3,-435.3,-437.7,-379.0,-433.2,-341.9,-375.4,-331.8,-335.0
Engines (Transmission),-,0.0,0.0,-2.8,-7.7,-12.5,-15.9,-19.3,-40.7,-45.5,-49.3,-54.2,-68.4,-72.4,-78.0,-83.2,-87.8,-94.5,-103.1,-116.2,-119.4,-121.7,-124.0,-126.9,-129.8
Pipeline Vents (Transmission),-,0.0,0.0,-25.0,-33.9,-36.3,-27.5,-21.0,-52.7,-50.2,-33.3,-44.7,-58.9,-58.7,-115.7,-124.9,-110.0,-178.8,-132.7,-88.7,-128.2,-58.9,-100.1,-59.4,-59.4
Other Transmission,-,0.0,0.0,-25.8,-36.0,-52.8,-39.4,-87.1,-89.7,-117.2,-172.5,-231.8,-224.1,-222.3,-216.3,-288.1,-260.5,-162.1,-201.9,-174.1,-185.6,-161.3,-151.2,-145.5,-145.8
Distribution,-,0.0,0.0,-20.5,-25.2,-19.7,-23.9,-30.3,-26.0,-32.9,-29.9,-36.9,-155.5,-123.2,-110.5,-48.3,-62.7,-56.3,-50.3,-63.9,-54.5,-58.0,-45.1,-40.5,-40.8
Mishaps (Dig-ins),-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.2,-0.3,-0.3,-0.4,-0.4,-0.8,-0.8,-4.7,-0.7,-0.8,-0.8
Other Distribution,-,0.0,0.0,-20.5,-25.2,-19.7,-23.9,-30.3,-26.0,-32.9,-29.9,-36.9,-155.5,-123.2,-110.3,-48.0,-62.4,-55.9,-49.9,-63.1,-53.7,-53.3,-44.4,-39.6,-40.0
Total,-5,-16.6,-25.4,-109.8,-161.2,-199.7,-228.0,-291.9,-370.4,-429.4,-481.2,-587.8,-740.4,-776.3,-843.8,-953.8,-953.1,-949.0,-986.8,-929.5,-1095.9,-967.9,-982.4,-959.7,-999.8
