Table A-144:  CH4 Reductions Derived from Regulations (kt),,,,,,,,,,,,,,,,,,,,,,,,,
Process,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Production,NA,NA,NA,NA,NA,NA,NA,NA,NA,-41.4,-38.8,-41.9,-42.8,-44.3,-41.9,-45.9,-48.2,-49.5,-54.8,-55.1,-94.3,-71.7,-79.6,-93.6,-91.4
Dehydrator vents (NESHAP),NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.3,-17.2,-16.0,-15.9,-15.0,-14.6,-14.0,-13.0,-12.6,-11.2,-10.9,-10.5,-10.3,-10.2,-10.1,-10.1
Condensate tanks (NESHAP),NA,NA,NA,NA,NA,NA,NA,NA,NA,-24.1,-21.7,-25.9,-27.0,-29.3,-27.2,-31.9,-35.3,-36.9,-43.6,-44.2,-83.8,-61.4,-69.4,-83.6,-81.3
Processing,0,0,0,0,0,0,0,0,0,-12.7,-12.9,-13.2,-12.7,-12.8,-12.5,-12.1,-12.4,-13.0,-13.6,-13.9,-14.4,-15.5,-16.3,-16.4,-17.5
Dehydrator vents (NESHAP),0,0,0,0,0,0,0,0,0,-12.7,-12.9,-13.2,-12.7,-12.8,-12.5,-12.1,-12.4,-13.0,-13.6,-13.9,-14.4,-15.5,-16.3,-16.4,-17.5
Transmission and Storage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Distribution,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,0,0,0,0,0,0,0,0,0,-54.0,-51.7,-55.1,-55.5,-57.1,-54.4,-58.0,-60.7,-62.5,-68.4,-69.1,-108.7,-87.2,-95.9,-110.1,-108.9
NA Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
