"Table A-146:  Potential CH4 Emission Estimates from the Natural Gas Processing Plants, and Reductions from the Natural Gas STAR Program and Regulations (kt)",,,,,,,,,,,,,,,,,,,,,,,,,
Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Normal Fugitives ,,,,,,,,,,,,,,,,,,,,,,,,,
Plants,42.3,40.8,40.7,40.3,40.3,37.5,34.6,34.2,31.0,32.3,32.5,31.7,32.8,31.9,31.8,31.5,31.7,31.9,32.1,32.2,32.5,33.7,33.7,36.1,37.1
Reciprocating Compressors,324.9,322.2,324.7,329.8,341.0,338.4,343.0,344.1,346.4,342.9,349.5,357.4,344.7,347.4,338.2,327.9,337.1,351.6,368.9,377.6,390.9,420.9,442.1,445.6,473.8
Centrifugal Compressors (wet seals),240.3,238.3,240.1,243.6,250.5,248.6,250.9,251.4,252.2,249.6,251.3,252.9,243.5,243.7,236.9,229.2,229.9,231.0,232.3,232.9,233.9,236.1,237.7,237.9,240
Centrifugal Compressors ,-,-,-,0.1,0.8,0.8,1.4,1.5,1.9,1.9,3.5,5.6,5.6,6.5,6.5,6.5,9.5,14.2,19.9,22.7,27.1,36.8,43.8,44.9,54.1
  (dry seals),,,,,,,,,,,,,,,,,,,,,,,,,
Vented and Combusted,,,,,,,,,,,,,,,,,,,,,,,,,
Compressor Exhaust,,,,,,,,,,,,,,,,,,,,,,,,,
     Gas Engines,137.1,135.9,137.0,139.1,143.9,142.8,144.7,145.2,146.2,144.7,147.5,150.8,145.4,146.6,142.7,138.3,142.2,148.3,155.6,159.3,164.9,177.6,186.5,188,199.9
     Gas Turbines,3.9,3.8,3.9,3.9,4.1,4.0,4.1,4.1,4.1,4.1,4.2,4.2,4.1,4.1,4.0,3.9,4.0,4.2,4.4,4.5,4.6,5,5.3,5.3,5.6
AGR Vents,16.5,15.9,15.9,15.7,15.7,14.6,13.5,13.3,12.1,12.6,12.7,12.4,12.8,12.4,12.4,12.3,12.4,12.4,12.5,12.5,12.7,13.1,13.1,14.1,14.5
Kimray Pumps,3.7,3.6,3.7,3.7,3.9,3.8,3.9,3.9,3.9,3.9,4.0,4.0,3.9,3.9,3.8,3.7,3.8,4.0,4.2,4.3,4.4,4.8,5,5,5.4
Dehydrator Vents,22.7,22.5,22.6,23.0,23.8,23.6,23.9,24.0,24.2,23.9,24.4,24.9,24.0,24.2,23.6,22.9,23.5,24.5,25.7,26.3,27.3,29.4,30.8,31.1,33
Pneumatic Controllers,2.4,2.3,2.3,2.3,2.3,2.1,2.0,2.0,1.8,1.8,1.9,1.8,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,2.1,2.1
Routine Maintenance,,,,,,,,,,,,,,,,,,,,,,,,,
Blowdowns/Venting,59.5,57.4,57.2,56.8,56.7,52.8,48.7,48.1,43.6,45.4,45.7,44.6,46.1,44.9,44.7,44.3,44.6,44.9,45.1,45.3,45.7,47.4,47.4,50.8,52.2
Regulatory Reductions (kt),-,-,-,-,-,-,-,-,-,-12.7,-12.9,-13.2,-12.7,-12.8,-12.5,-12.1,-12.4,-13.0,-13.6,-13.9,-14.4,-15.5,-16.3,-16.4,-17.5
Voluntary Reductions (kt),-1.5,-9.6,-11.6,-13.6,-17.3,-21.8,-24.4,-27.0,-29.7,-35.2,-42.8,-47.8,-56.0,-88.5,-87.9,-155.5,-174.4,-174.5,-181.3,-137.6,-214.3,-140.4,-140.4,-140.7,-140.8
Total Reductions (kt),-1.5,-9.6,-11.6,-13.6,-17.3,-21.8,-24.4,-27.0,-29.7,-47.9,-55.7,-61.0,-68.7,-101.3,-100.4,-167.6,-186.8,-187.4,-194.9,-151.5,-228.8,-155.9,-156.8,-157.2,-158.3
Total Potential Emissions (kt),853.2,842.8,848.2,858.4,882.8,869.2,870.6,871.7,867.5,863.2,877.1,890.3,864.8,867.4,846.5,822.2,840.7,868.8,902.5,919.5,946,1006.6,1047.3,1060.9,1117.9
Total Net Emissions (kt),851.8,833.2,836.6,844.8,865.5,847.3,846.2,844.7,837.7,815.3,821.3,829.3,796.1,766.2,746.1,654.6,653.9,681.4,707.6,768,717.2,850.7,890.5,903.7,959.6
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
