"Table A-147:  Potential CH4 Emission Estimates from the Natural Gas Transmission and Storage, and Reductions from the Natural Gas STAR Program and Regulations (kt)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Fugitives,,,,,,,,,,,,,,,,,,,,,,,,,
Pipeline Leaks,3.2,3.2,3.2,3.2,3.3,3.2,3.1,3.2,3.3,3.2,3.3,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
Compressor Stations (Transmission)*,, , , , , , , , , , , , , , ,, , , ,,,,,,
    Station Total Emissions,"1,098.40",1105.6,1096.6,1061.1,1026.1,991.4,957.2,923.3,889.9,856.9,824.3,792.1,760.3,729.0,698.1,667.5,637.4,607.7,578.4,549.6,521.1,493.1,496,536,573.2
    Station + Compressor Fugitive Emissions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,94.8,101.6,109.7,117.4
    Reciprocating Compressor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,301.6,293.7,317.2,339.4
    Centrifugal Compressor (wet seals),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46.9,51.1,55.9,59.1
    Centrifugal Compressor (dry seals),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.8,49.7,53.2,57.4
Compressor Stations (Storage)*,, , , , , , , , , , , , , , ,, , , ,,,,,,
    Station Total Emissions,245.6,254.8,262.3,254.1,246.0,238.0,230.2,222.4,214.7,207.1,199.7,192.3,185.0,177.9,170.8,163.9,159.8,153.2,151.0,146,140.9,136.5,131,131.6,131.6
    Station + Compressor Fugitive Emissions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.1,25.3,25.3
    Reciprocating Compressor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,105.8,106.4,106.4
Wells (Storage),13.6,14.1,14.5,15.3,15.0,15.0,16.2,15.4,14.0,14.6,15.4,14.7,15.1,15.7,15.0,14.9,13.5,14.6,15.1,14.8,14.8,14.6,12.8,15.1,15.7
M&R (Trans. Co. Interconnect),72.8,73.3,72.7,73.1,75.2,74.0,71.0,73.4,75.5,73.8,74.5,72.3,75.5,75.2,75.5,74.9,74.9,75.1,75.6,75.9,76,76.1,75.6,75.5,75.2
M&R (Farm Taps + Direct Sales),16.9,17.0,16.9,17.0,17.5,17.2,16.5,17.0,17.5,17.1,17.3,16.8,17.5,17.5,17.5,17.4,17.4,17.4,17.6,17.6,17.6,17.7,17.6,17.5,17.5
Vented and Combusted,, , , , , , , , , , , , , , ,, , , ,,,,,,
  Normal Operation,, , , , , , , , , , , , , , ,, , , ,,,,,,
    Dehydrator vents (Transmission),2,2.0,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.8,2,2.1
    Dehydrator vents (Storage) ,4.2,4.4,4.5,4.8,4.7,4.7,5.0,4.8,4.4,4.5,4.8,4.6,4.7,4.9,4.7,4.6,4.2,4.5,4.7,4.6,4.6,4.5,4,4.7,4.9
  Compressor Exhaust,, , , , , , , , , , , , , , ,, , , ,,,,,,
        Engines (Transmission),176.9,180.5,186.7,191.8,196.1,204.9,208.6,209.8,205.3,206.7,215.3,205.2,212.3,205.6,206.6,203.1,200.1,213.2,214.8,211.4,222.3,225.9,235.6,241.3,246.4
        Turbines (Transmission),1,1.0,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.2,1.2,1.2,1.3,1.3,1.3,1.4,1.4
        Engines (Storage),21.3,22.1,22.8,24.0,23.5,23.5,25.4,24.2,21.9,22.9,24.2,23.1,23.7,24.6,23.6,23.4,21.2,22.9,23.7,23.2,23.2,22.9,20.1,23.8,24.7
        Turbines (Storage),0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
        Generators (Engines),8.7,8.8,9.1,9.4,9.6,10.0,10.2,10.3,10.0,10.1,10.5,10.0,10.4,10.1,10.1,9.9,9.8,10.4,10.5,10.3,10.9,11.1,11.5,11.8,12.1
        Generators (Turbines),0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
    Pneumatic Devices Trans + Stor*,, , , , , , , , , , , , , , ,, , , ,,,,,,
        Pneumatic Devices Transmission,213.1,214.5,212.7,199.7,187.1,174.9,163.0,151.5,140.4,129.6,119.2,109.2,99.6,90.4,81.5,73,64.9,57.2,49.8,42.8,36.2,30,21.5,26.6,27.8
             (High Bleed),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.5,10,11.9,12.1
             (Intermittent Bleed),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10.8,13.9,14.9
             (Low Bleed),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,0.6,0.7,0.8
        Pneumatic Devices Storage,44.4,46.1,47.5,46.9,46.2,45.5,44.8,44.0,43.1,42.1,41.1,40.1,39.0,37.8,36.6,35.3,33.9,32.5,31.0,29.5,27.9,26.3,26,30.1,29.4
             (High Bleed),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.7,21.7,25,23.9
             (Intermittent Bleed),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.2,3.8,4.5,5
             (Low Bleed),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,0.4,0.6,0.5
Routine Maintenance/Upsets,, , , , , , , , , , , , , , ,, , , ,,,,,,
    Pipeline venting,178,179.1,177.7,178.8,183.8,181.0,173.5,179.4,184.5,180.5,182.2,176.8,184.7,183.8,184.7,183.2,183.1,183.5,184.8,185.7,185.8,186,184.9,184.6,183.9
    Station venting Trans + Storage,, , , , , , , , , , , , , , ,, , , ,,,,,,
        Station Venting Transmission,145.5,146.4,145.3,144.2,143.1,142.0,140.9,139.8,138.7,137.6,136.5,135.4,134.3,133.2,132.1,131,129.9,128.8,127.7,126.6,125.5,124.4,133.2,143.9,154
        Station Venting Storage,30.3,31.5,32.4,32.1,31.8,31.6,31.3,31.0,30.7,30.4,30.2,29.9,29.6,29.3,29.0,28.8,29.0,28.8,29.4,29.4,29.5,29.7,29.7,29.9,29.9
LNG Storage,, , , , , , , , , , , , , , ,, , , ,,,,,,
LNG Stations,9.2,9.3,9.5,9.6,9.7,9.8,9.9,10.0,10.1,10.2,10.3,10.4,10.5,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6
LNG Reciprocating Compressors,34.5,34.9,35.4,35.8,36.2,36.7,37.1,37.5,38.0,38.4,38.8,39.3,39.7,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1
LNG Centrifugal Compressors,11.8,11.9,12.1,12.2,12.4,12.5,12.7,12.9,13.0,13.2,13.3,13.5,13.6,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8
LNG Compressor Exhaust,, , , , , , , , , , , , , , ,, , , ,,,,,,
    LNG Engines,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
    LNG Turbines,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
LNG Station venting,5.1,5.2,5.2,5.3,5.4,5.4,5.5,5.5,5.6,5.7,5.7,5.8,5.8,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9
LNG Import Terminals,, , , , , , , , , , , , , , ,, , , ,,,,,,
LNG Stations,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,1.1,1.2,1.2,1.2,1.2,1.2,1.3
LNG Reciprocating Compressors,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,2.0,2.0,2,2.0,2.0,5.0,5.6,5.6,5.6,5.6,5.6,6.1
LNG Centrifugal Compressors,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,1.3,1.4,1.4,1.4,1.4,1.4,1.5
LNG Compressor Exhaust,, , , , , , , , , , , , , , ,, , , ,,,,,,
    LNG Engines,1.7,1.3,1.0,1.7,1.1,0.5,0.9,1.6,1.8,3.2,4.4,4.7,4.5,9.8,12.6,12.2,11.3,14.8,6.9,8.8,8.4,6.9,3.6,2.1,1.4
    LNG Turbines,0.01,0.01,0.005,0.01,0.01,0.002,0.005,0.01,0.01,0.02,0.03,0.03,0.03,0.06,0.07,0.10,0.07,0.09,0.04,0.10,-,-,-,-,-
LNG Station venting,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.6,0.6,0.6,0.6,0.6,0.6,0.7
Regulatory Reductions (kt),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Voluntary Reductions (kt),-,-,-,-53.5,-77.6,-101.7,-82.8,-127.4,-183.1,-213.0,-255.1,-330.7,-351.4,-353.4,-409.9,-496.2,-458.3,-435.3,-437.7,-379,-433.2,-341.9,-375.4,-331.8,-335
Total Reductions (kt),-,-,-,-53.5,-77.6,-101.7,-82.8,-127.4,-183.1,-213.0,-255.1,-330.7,-351.4,-353.4,-409.9,-496.2,-458.3,-435.3,-437.7,-379,-433.2,-341.9,-375.4,-331.8,-335
Total Potential Emissions (kt),"2,342.60",2371.7,2375.3,2327.7,2281.2,2229.4,2170.5,2124.5,2069.8,2015.6,1978.8,1907.7,1877.7,1827.5,1781.4,"1,725.90",1673.1,1647.5,1608.7,"1,564.60","1,533.20","1,493.80","1,491.80","1,563.30","1,617.30"
Total Net Emissions (kt),"2,342.60",2371.7,2375.3,2274.2,2203.6,2127.7,2087.6,1997.1,1886.6,1802.6,1723.7,1577.0,1526.3,1474.1,1371.4,"1,229.70",1214.8,1212.2,1171.0,"1,185.70","1,100.00","1,151.90","1,116.40","1,231.50","1,282.30"
*The values in this table are net emissions for these sources.,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
