"Table A-148:  Potential CH4 Emission Estimates from the Natural Gas Distribution Stage, and Reductions from the Natural Gas STAR Program, and Regulations (kt)",,,,,,,,,,,,,,,,,,,,,,,,,
Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Normal Fugitives,,,,,,,,,,,,,,,,,,,,,,,,,
Pipeline Leaks*,,,,,,,,,,,,,,,,,,,,,,,,,
    Mains - Cast Iron,268,258.2,243.3,239.3,246.3,205.2,199.6,179.8,167.1,152.7,140.9,131.4,117.1,107.1,98.5,88.9,79.8,71,62.6,54.1,46.3,39,37.5,35.8,34
    Mains - Unprotected steel,231.2,218.2,211.4,204.2,197.4,180.9,164.2,156.9,149.4,140.1,131.8,124,113.9,103.1,100.5,91.3,86.2,80.1,74.7,67.4,62.6,56,54.9,52.2,50.4
    Mains - Protected steel,27.5,28,27.7,29.4,32.1,32.7,32.5,35.6,34.4,33.5,35.3,36.6,37.9,39.1,41.3,41.6,42.7,43.5,44.3,45.3,46.3,47.3,47.2,47.1,47.1
    Mains - Plastic,59.4,48.8,51,53.5,58,58.5,55,61.8,56,54.5,55.1,56.9,56.2,49.1,48.1,44.8,41.7,37.9,33.3,28.8,23.8,18.7,19.1,19.5,19.9
    Services - Unprotected steel,250,235.9,233.8,220.4,201.3,183.8,167,157.1,147.4,149.7,142.3,131.4,120,107.4,102,111.6,109.2,100.1,94.1,85.7,65.3,60,56.7,53.2,49.7
    Services Protected steel,67.2,79.1,67.1,65.3,68.4,64.4,55,58.5,50.5,48,44.9,43,40.7,37.6,37.9,32.4,29.6,27.4,25.5,23.5,21.5,19.8,19.4,19.1,18.9
    Services - Plastic,3.4,3.5,3.7,4.2,4.7,5,5.2,5.9,5.9,6,6.8,7.2,7.7,8,8.6,9.1,9.6,10.1,10.5,10.9,11.2,11.7,11.9,12.1,12.3
    Services - Copper,7.8,8,7.7,7.9,7.7,7.1,7.4,7.7,7.2,7.1,7,6.8,6.7,6.7,7,6.1,6.1,6,5.6,5.3,5.3,5.2,4.9,4.8,4.6
Meter/Regulator (City Gates)*,, , , , , , , , , , , , , , ,, , , ,,,,,,
