Table A-151: CO2 Emission Estimates from the Natural Gas Production Stage (kt),,,,,,,,,,,,,,,,,,,,,,,,,
Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Normal Fugitives, , , , , , , , , , , , , , , , , , , , , , , , , 
Gas Wells,,,,,,,,,,,,,,,,,,,,,,,,,
  Associated Gas Wells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0
  Non-associated Gas Wells (less fractured wells),1.4,1.4,1.3,1.3,1.4,1.3,1.3,1.3,1.4,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
  Gas Wells with Hydraulic Fracturing,0.4,0.6,0.5,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.9,1.0,1.0,1.0,1.1,1.2,1.2,1.2,1.4,1.4,1.5,1.5,1.5,1.5,1.5
Well Pad Equipment,,,,,,,,,,,,,,,,,,,,,,,,,
  Heaters,1.9,1.9,1.9,1.9,2.0,2.0,2.1,2.1,2.1,2.2,2.2,2.4,2.5,2.6,2.7,2.8,2.9,3.0,3.2,3.2,3.2,3.3,3.2,3.2,3.2
  Separators,6,6.2,6.1,6.3,6.6,6.7,7.0,7.1,7.7,8.4,9.2,10.5,11.4,12.2,13.3,14.3,15.7,16.9,18.0,18.4,18.5,18.7,18.5,18.2,18
  Dehydrators,1.4,1.5,1.5,1.5,1.5,1.5,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.1,1.1,1.0,1,1,0.9,0.9,0.9,0.9
  Meters/Piping,6.7,6.8,6.8,7.0,7.2,7.3,7.5,7.7,8.0,8.3,8.8,9.7,10.3,10.9,11.5,12.3,13.1,13.8,14.7,14.9,15,15.2,15.1,14.8,14.7
  Compressors,3.1,3.2,3.2,3.4,3.7,3.7,4.1,4.3,4.6,4.8,5.0,5.9,6.2,6.7,7.1,7.7,8.4,8.7,9.6,9.8,10.1,10.3,10.3,10.1,10.1
Gathering and Boosting,,,,,,,,,,,,,,,,,,,,,,,,,
  Gathering and Boosting Stations,88.7,91.8,97.2,97.4,102.4,104.2,103.8,106.1,110.5,123.8,118.8,124.7,126.7,129.9,131.9,135.4,143.1,151.7,163.4,167.1,171.6,182.6,192.6,194.5,207.5
  Pipeline Leaks,9.9,10.3,10.3,10.5,10.7,10.8,11.1,11.3,11.7,12.1,12.6,13.7,14.3,14.9,15.6,16.4,17.4,18.2,19.2,19.5,19.6,19.8,19.7,19.4,19.3
Vented and Combusted,,,,,,,,,,,,,,,,,,,,,,,,,
Drilling and Well Completions,,,,,,,,,,,,,,,,,,,,,,,,,
  Gas Well Completions without Hydraulic Fracturing,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
  Gas Well Completions with Hydraulic Fracturing,73.6,70.1,55.1,73.4,73.8,64.4,75.9,119.6,108.8,127.7,193.8,237.5,199.3,214.1,251.1,305.5,343.6,327.6,336.5,179.9,185,160.8,98.6,75,65.8
  Well Drilling,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
Produced Water from Coal Bed Methane,,,,,,,,,,,,,,,,,,,,,,,,,
     Powder River,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0
     Black Warrior,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0
Normal Operations,,,,,,,,,,,,,,,,,,,,,,,,,
  Pneumatic Device Vents,50.3,54.8,56.3,60.0,65.3,65.9,74.0,75.1,80.9,83.3,85.2,99.9,102.9,107.5,113.0,119.2,127.4,131.6,141.5,138.4,136.4,134,136.2,137.4,120
  Chemical Injection Pumps,2.6,2.7,2.8,3.3,3.8,4.0,4.8,5.0,5.7,6.0,6.3,7.9,6.0,9.0,9.7,10.6,11.8,12.6,14.1,14.2,14.6,14.4,14.3,14.1,14
  Kimray Pumps,16.4,18.2,18.0,17.8,17.4,17.4,17.0,16.8,16.3,16.1,16.0,15.1,14.9,14.5,14.1,13.7,12.9,12.5,11.5,11.3,11,10.8,10.8,10.6,10.6
  Dehydrator Vents,5.1,5.7,5.6,5.5,5.4,5.4,5.3,5.2,5.1,5.0,5.0,4.7,4.7,4.5,4.4,4.3,4.0,3.9,3.6,3.5,3.4,3.4,3.4,3.3,3.3
Condensate Tank Vents,,,,,,,,,,,,,,,,,,,,,,,,,
  Condensate Tanks without Control Devices,10.3,9.9,9.4,9.7,10.0,8.8,9.3,9.5,9.7,10.3,9.3,10.3,10.6,10.3,9.8,10.3,11.3,11.2,11.9,11.6,15.7,17.2,21,24.9,25.4
  Condensate Tanks with Control Devices,2.1,2.0,1.9,1.9,2.0,1.8,1.9,1.9,1.9,2.1,1.9,2.1,2.1,2.1,2.0,2.1,2.3,2.2,2.4,2.3,3.1,3.4,4.2,5,5.1
Compressor Exhaust Vented,,,,,,,,,,,,,,,,,,,,,,,,,
  Gas Engines,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0
Well Workovers and Clean Ups,,,,,,,,,,,,,,,,,,,,,,,,,
  Gas Well Workovers without Hydraulic Fracturing,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.03,0.03,0.03
  Gas Well Workovers with Hydraulic Fracturing,15.3,18.3,18.2,19.4,20.6,21.3,22.8,23.9,25.1,26.5,29.1,32.8,35.2,38.0,40.2,44.3,48.4,51.3,55.7,57.1,58.3,44.1,26.1,26.1,26.1
  Well Clean Ups (LP Gas Wells) - Vent Using Plungers,0,0.3,0.6,0.9,1.2,1.6,2.0,2.4,2.9,3.3,3.9,4.8,5.6,6.5,7.3,8.4,9.7,10.8,12.2,13.1,13.9,14.1,14.1,13.8,13.8
  Well Clean Ups (LP Gas Wells) - Vent Without Using Plungers,235.8,231.4,224.7,222.2,218.4,211.5,203.4,196.6,191.4,191.1,197.0,204.7,204.0,195.0,183.7,170.4,153.6,129.2,100.1,64.1,26.1,26.5,26.3,25.8,25.7
Blowdowns,,,,,,,,,,,,,,,,,,,,,,,,,
  Vessel BD,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
  Pipeline BD,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
  Compressor BD,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4
  Compressor Starts,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9
Upsets,,,,,,,,,,,,,,,,,,,,,,,,,
  Pressure Relief Valves,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
  Mishaps,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
  Flaring Emissions - Onshore,9092.7,10299.0,10172.5,13719.2,13803.1,17167.8,16509.3,15524.7,6250.1,6678.9,5525.0,5858.5,5984.5,5920.3,5822.7,"7,193.00",7812.3,8648.6,10044.1,9960,9966.9,13084.7,12703.8,15684.1,17628.5
Offshore,,,,,,,,,,,,,,,,,,,,,,,,,
  Shallow water Gas Platforms (GoM and Pacific),2.5,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.8,2.8,2.8,2.9,2.9,2.9,2.8,2.8,2.8,2.6,2.6,2.4,2.3,2.3,2.3,2.3,2.3
  Deepwater Gas Platforms (GoM and Pacific),0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
  Flaring Emissions - Offshore,230.4,220.9,163.1,163.1,167.1,197.2,243.6,308.6,316.1,238.4,204.3,204.9,210.4,155.0,164.6,180.7,146.5,159.8,360.0,360.3,359.3,373.7,357.1,360.3,365.2
