Table A-152:  CO2 Emission Estimates from the Natural Gas Processing Stage (kt),,,,,,,,,,,,,,,,,,,,,,,,,
Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Normal Fugitives,,, , , , , , , , , , , , , ,, , , ,,,,,,
Plants – Before CO2 removal,2.6,2.5,2.5,2.4,2.4,2.3,2.1,2.1,1.9,2,2,1.9,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2,2,2,2.2,2.2
Plants – After CO2 removal,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5
Reciprocating Compressors –   Before CO2 removal,19.7,19.5,19.7,20,20.6,20.5,20.8,20.8,21,20.8,21.2,21.6,20.9,21,20.5,19.8,20.4,21.3,22.3,22.9,23.7,25.5,26.8,27,28.7
Reciprocating Compressors – After CO2 removal,4.4,4.3,4.4,4.4,4.6,4.5,4.6,4.6,4.7,4.6,4.7,4.8,4.6,4.7,4.5,4.4,4.5,4.7,5,5.1,5.3,5.7,5.9,6,6.4
Centrifugal Compressors (wet seals) – Before CO2 removal,14.5,14.4,14.5,14.7,15.2,15,15.2,15.2,15.3,15.1,15.2,15.3,14.7,14.7,14.3,13.9,13.9,14,14.1,14.1,14.2,14.3,14.4,14.4,14.5
Centrifugal Compressors (wet seals) – After CO2 removal,3.2,3.2,3.2,3.3,3.4,3.3,3.4,3.4,3.4,3.4,3.4,3.4,3.3,3.3,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.2
Centrifugal Compressors (dry seals) – Before CO2 removal,-,-,-,0.01,0.05,0.05,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.4,0.6,0.9,1.2,1.4,1.6,2.2,2.6,2.7,3.3
Centrifugal Compressors (dry seals) – After CO2 removal,-,-,-,0.002,0.01,0.01,0.02,0.02,0.03,0.03,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.5,0.6,0.6,0.7
Vented and Combusted,,,,,,,,,,,,,,,,,,,,,,,,,
Compressor Exhaust,, , , , , , , , , , , , , , ,, , , ,,,,,,
Gas Enginesa,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Gas Turbinesa,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
AGR Vents,"27,708.20",26725.1,26652.3,26433.8,26397.4,24576.9,22683.6,23114.8,22405.7,23064.2,23288.2,22342.3,23021.9,21958.2,21736.5,"21,694.30",21161,21144.4,21328.2,"21,130.50","21,286.70","21,403.60","21,403.60","21,690.30","23,643.50"
Kimray Pumps,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6
Dehydrator Vents,2.4,2.4,2.4,2.5,2.5,2.5,2.6,2.6,2.6,2.6,2.6,2.7,2.6,2.6,2.5,2.4,2.5,2.6,2.8,2.8,2.9,3.1,3.3,3.3,3.5
Pneumatic Controllers,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3
Routine Maintenance,, , , , , , , , , , , , , , ,, , , ,,,,,,
Blowdowns/Venting,6.4,6.1,6.1,6.1,6.1,5.6,5.2,5.1,4.7,4.9,4.9,4.8,4.9,4.8,4.8,4.7,4.8,4.8,4.8,4.8,4.9,5.1,5.1,5.4,5.6
Total,"27,762.60",26778.8,26706.3,26488.4,26453.5,24632,22738.6,23169.9,22460.2,23118.6,23343.5,22398.2,23076.4,22012.8,21789.8,"21,746.10",21213.9,21198.9,21384.7,"21,188.00","21,345.80","21,466.30","21,468.70","21,756.40","23,713.00"
NE – Not Estimated.,,,,,,,,,,,,,,,,,,,,,,,,,
a Energy use CO2 emissions not estimated to avoid double counting.  ,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
