Table A-153:  CO2 Emission Estimates from the Natural Gas Transmission and Storage Stage (kt),,,,,,,,,,,,,,,,,,,,,,,,,
Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Fugitives,, , , , , , , , , , , , , , ,, , , ,,,,,,
Pipeline Leaks,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Compressor Stations (Transmission),, , , , , , , , , , , , , , ,, , , ,,,,,,
    Station,31.7,31.9,31.6,30.6,29.6,28.6,27.6,26.6,25.7,24.7,23.8,22.8,21.9,21.0,20.1,19.3,18.4,17.5,16.7,15.9,15,14.2,14.3,15.5,16.5
    Station + Compressor Fugitive Emissions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.7,2.9,3.2,3.4
    Recip Compressor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.7,8.5,9.2,9.8
    Centrifugal Compressor (wet seals),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.4,1.5,1.6,1.7
    Centrifugal Compressor (dry seals),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.4,1.4,1.5,1.7
Compressor Stations (Storage),, , , , , , , , , , , , , , ,, , , ,,,,,,
    Station,7.1,7.3,7.6,7.3,7.1,6.9,6.6,6.4,6.2,6.0,5.8,5.5,5.3,5.1,4.9,4.7,4.6,4.4,4.4,4.2,4.1,3.9,3.8,3.8,3.8
    Station + Compressor Fugitive Emissions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.7,0.7,0.7
    Recip Compressor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.1,3.1,3.1
Wells (Storage),0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5
M&R (Trans. Co. Interconnect),2.1,2.1,2.1,2.1,2.2,2.1,2.0,2.1,2.2,2.1,2.1,2.1,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
M&R (Farm Taps + Direct Sales),0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Vented and Combusted,, , , , , , , , , , , , , , ,, , , ,,,,,,
Normal Operation,, , , , , , , , , , , , , , ,, , , ,,,,,,
    Dehydrator vents (Transmission),0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.1,0.1,0.1
    Dehydrator vents (Storage) ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
    Compressor Exhaust,, , , , , , , , , , , , , , ,, , , ,,,,,,
        Engines (Transmission),NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
        Turbines (Transmission),NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
        Engines (Storage),NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
        Turbines (Storage),NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
        Generators (Engines),NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
        Generators (Turbines),NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
    Pneumatic Devices Trans + Stor,, , , , , , , , , , , , , , ,, , , ,,,,,,
        Pneumatic Devices Trans,6.1,6.2,6.1,5.8,5.4,5.0,4.7,4.4,4.0,3.7,3.4,3.2,2.9,2.6,2.4,2.1,1.9,1.6,1.4,1.2,1,0.9,0.6,0.8,0.8
             (High Bleed),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.6,0.3,0.3,0.3
             (Intermittent Bleed),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,0.3,0.4,0.4
             (Low Bleed),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,0.02,0.02,0.02
        Pneumatic Devices Storage,1.3,1.3,1.4,1.4,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1,1.0,0.9,0.9,0.9,0.8,0.8,0.7,0.9,0.8
             (High Bleed),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.7,0.6,0.7,0.7
             (Intermittent Bleed),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,0.1,0.1,0.1
             (Low Bleed),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,0.01,0.02,0.01
Routine Maintenance/Upsets,, , , , , , , , , , , , , , ,, , , ,,,,,,
    Pipeline venting,5.1,5.2,5.1,5.2,5.3,5.2,5.0,5.2,5.3,5.2,5.3,5.1,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.4,5.4,5.4,5.3,5.3,5.3
    Station venting Trans + Storage,, , , , , , , , , , , , , , ,, , , ,,,,,,
        Station Venting Transmission,4.2,4.2,4.2,4.2,4.1,4.1,4.1,4.0,4.0,4.0,3.9,3.9,3.9,3.8,3.8,3.8,3.7,3.7,3.7,3.7,3.6,3.6,3.8,4.2,4.4
        Station Venting Storage,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9
LNG Storage,, , , , , , , , , , , , , , ,, , , ,,,,,,
LNG Stations,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
LNG Reciprocating Compressors,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
LNG Centrifugal Compressors,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
LNG Compressor Exhaust,, , , , , , , , , , , , , , ,, , , ,,,,,,
    LNG Engines,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
    LNG Turbines,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
LNG Station venting,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
LNG Import Terminals,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LNG Stations,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.04,0.04,0.04,0.04,0.04,0.04
LNG Reciprocating Compressors,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.05,0.07,0.07,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2
