Table A-154:  CO2 Emission Estimates from the Natural Gas Distribution Stage (kt),,,,,,,,,,,,,,,,,,,,,,,,,
Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Pipeline Leaks,,,,,,,,,,,,,,,,,,,,,,,,,
    Mains—Cast Iron,7.7,7.4,7,6.9,7.1,5.9,5.8,5.2,4.8,4.4,4.1,3.8,3.4,3.1,2.8,2.6,2.3,2,1.8,1.6,1.3,1.1,1.1,1,1
    Mains—Unprotected steel,6.7,6.3,6.1,5.9,5.7,5.2,4.7,4.5,4.3,4,3.8,3.6,3.3,3,2.9,2.6,2.5,2.3,2.2,1.9,1.8,1.6,1.6,1.5,1.5
    Mains—Protected steel,0.8,0.8,0.8,0.8,0.9,0.9,0.9,1,1,1,1,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4
    Mains—Plastic,1.7,1.4,1.5,1.5,1.7,1.7,1.6,1.8,1.6,1.6,1.6,1.6,1.6,1.4,1.4,1.3,1.2,1.1,1,0.8,0.7,0.5,0.6,0.6,0.6
Total Pipeline Miles,, , , , , , , , , , , , , , ,, , , ,,,,,,
    Services—Unprotected steel,7.2,6.8,6.7,6.4,5.8,5.3,4.8,4.5,4.3,4.3,4.1,3.8,3.5,3.1,2.9,3.2,3.1,2.9,2.7,2.5,1.9,1.7,1.6,1.5,1.4
    Services Protected steel,1.9,2.3,1.9,1.9,2,1.9,1.6,1.7,1.5,1.4,1.3,1.2,1.2,1.1,1.1,0.9,0.9,0.8,0.7,0.7,0.6,0.6,0.6,0.6,0.5
    Services—Plastic,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4
    Services—Copper,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1
Meter/Regulator (City Gates),, , , , , , , , , , , , , , ,, , , ,,,,,,
    M&R >300,4.1,4.1,4,4,4.1,3.8,3.6,3.4,3.4,3,2.9,2.7,2.5,2.3,2.1,1.9,1.7,0.9,0.8,0.6,0.4,0.3,0.3,0.3,0.2
    M&R 100-300,7.9,7.9,7.8,7.8,8,7.4,6.9,6.6,6.5,5.9,5.5,5.2,4.9,4.4,4,3.6,3.2,1.7,1.4,1.1,0.7,0.5,0.5,0.5,0.4
