Table A-155:  2014 Plastics in the Municipal Solid Waste Stream by Resin (kt),,,,,,,,
Waste Pathway,PET,HDPE,PVC,LDPE/LLDPE,PP,PS,Other,Total
Generation,"4,246","5,062",816,"6,768","6,713","2,059","3,837","29,502"
Recovery,844,517,0,426,36,27,871,"2,722"
Discard,"3,402",455,816,"6,341","6,677","2,032","2,921","26,781"
  Landfill,"3,143",420,754,"5,859","6,170","1,878","2,699","20,924"
  Combustion,259,35,62,482,507,154,222,"1,721"
Recoverya,20%,10%,0%,6%,1%,1%,23%,9%
Discarda,80%,9%,100%,94%,99%,99%,76%,91%
  Landfilla,74%,8%,92%,87%,92%,91%,70%,71%
  Combustiona,6%,1%,8%,7%,8%,7%,6%,6%
a As a percent of waste generation.,,,,,,,,
"Note: Totals may not sum due to independent rounding.  Abbreviations: PET (polyethylene terephthalate), HDPE (high density polyethylene), PVC (polyvinyl chloride), LDPE/LLDPE (linear low density polyethylene), PP (polypropylene), PS (polystyrene).",,,,,,,,
