Table A-169:  Refrigeration and Air-Conditioning Market Transition Assumptions,,,,,,,,,,,,,
Initial Market Segment,Primary Substitute,,,,Secondary Substitute,,,,Tertiary Substitute,,,,Growth Rate
,Name of Substitute,Start Date,Date of Full Penetration in New Equipment,Maximum Market Penetration,Name of  Substitute,Start Date,Date of Full Penetration in New Equipment,Maximum Market Penetration,Name of Substitute,Start Date,Date of Full Penetration in New Equipment,Maximum Market Penetration,
Centrifugal Chillers,,,,,,,,,,,,,
CFC-11,HCFC-123,1993,1993,45%,Unknown,,,,,,,,1.60%
,HCFC-22,1991,1993,16%,HFC-134a,2000,2010,100%,None,,,,
,HFC-134a,1992,1993,39%,None,,,,,,,,
CFC-12,HFC-134a,1992,1994,53%,None,,,,,,,,1.50%
,HCFC-22,1991,1994,16%,HFC-134a,2000,2010,100%,None,,,,
,HCFC-123,1993,1994,31%,Unknown,,,,,,,,
R-500,HFC-134a,1992,1994,53%,None,,,,,,,,1.50%
,HCFC-22,1991,1994,16%,HFC-134a,2000,2010,100%,None,,,,
,HCFC-123,1993,1994,31%,Unknown,,,,,,,,
CFC-114,HFC-236fa,1993,1996,100%,HFC-134a,1998,2009,100%,None ,,,,1.40%
Cold Storage,,,,,,,,,,,,,
CFC-12,HCFC-22,1990,1993,65%,R-404A,1996,2010,75%,None,,,,3.10%
,,,,,R-507,1996,2010,25%,None,,,,
,R-404A,1994,1996,26%,None,,,,,,,,
,R-507,1994,1996,9%,None,,,,,,,,
HCFC-22,HCFC-22,1992,1993,100%,R-404A,1996,2009,8%,None,,,,3.00%
,,,,,R-507,1996,2009,3%,None,,,,
,,,,,R-404A,2009,2010,68%,None,,,,
,,,,,R-507,2009,2010,23%,None,,,,
R-502,HCFC-22,1990,1993,40%,R-404A,1996,2010,38%,None,,,,2.60%
,,,,,R-507,1996,2010,12%,None,,,,
,,,,,Non-ODP/GWP ,1996,2010,50%,None,,,,
,R-404A,1993,1996,45%,None,,,,,,,,
,R-507,1994,1996,15%,None,,,,,,,,
Commercial Unitary Air Conditioners (Large),,,,,,,,,,,,,
HCFC-22,HCFC-22,1992,1993,100%,R-410A,2001,2005,5%,None,,,,1.30%
,,,,,R-407C,2006,2009,1%,None,,,,
,,,,,R-410A,2006,2009,9%,None,,,,
,,,,,R-407C,2009,2010,5%,None,,,,
,,,,,R-410A,2009,2010,81%,None,,,,
Commercial Unitary Air Conditioners (Small),,,,,,,,,,,,,
HCFC-22,HCFC-22,1992,1993,100%,R-410A,1996,2000,3%,None,,,,1.30%
,,,,,R-410A,2001,2005,18%,None,,,,
,,,,,R-410A,2006,2009,8%,None,,,,
,,,,,R-410A,2009,2010,71%,None,,,,
Dehumidifiers,,,,,,,,,,,,,
HCFC-22,HFC-134a,1997,1997,89%,None,,,,,,,,1.30%
,R-410A,2007,2010,11%,None,,,,,,,,
Ice Makers,,,,,,,,,,,,,
CFC-12,HFC-134a,1993,1995,25%,None,,,,,,,,2.10%
,R-404A,1993,1995,75%,,,,,,,,,
Industrial Process Refrigeration,,,,,,,,,,,,,
CFC-11,HCFC-123,1992,1994,70%,Unknown,,,,,,,,3.20%
,HFC-134a,1992,1994,15%,None,,,,,,,,
,HCFC-22,1991,1994,15%,HFC-134a,1995,2010,100%,None,,,,
