Table A-172:  Solvent Market Transition Assumptions,,,,,,,,,
Initial Market Segment,Primary Substitute,,,,Secondary Substitute,,,,Growth Rate
,Name of  Substitute,Start Date,Date of Full Penetration in New Equipment,Maximum Market Penetration,Name of  Substitute,Start Date,Date of Full Penetration in New Equipment,Maximum Market Penetration,
Adhesives,,,,,,,,,
CH3CCl3,Non-ODP/GWP,1994,1995,100%,None,,,,2.00%
Electronics,,,,,,,,,
CFC-113,Semi-Aqueous ,1994,1995,52%,None,,,,2.00%
,HCFC-225ca/cb,1994,1995,0.20%,Unknown,,,,
,HFC-43-10mee,1995,1996,0.70%,None,,,,
,HFE-7100,1994,1995,0.70%,None,,,,
,nPB ,1992,1996,5%,None,,,,
,Methyl Siloxanes,1992,1996,0.80%,None,,,,
,No-Clean ,1992,1996,40%,None,,,,
CH3CCl3,Non-ODP/GWP ,1996,1997,99.80%,None,,,,2.00%
,PFC/PFPE,1996,1997,0.20%,Non-ODP/GWP,2000,2003,90%,
,,,,,Non-ODP/GWP ,2005,2009,10%,
Metals,,,,,,,,,
CH3CCl3,Non-ODP/GWP ,1992,1996,100%,None,,,,2.00%
CFC-113,Non-ODP/GWP ,1992,1996,100%,None,,,,2.00%
CCl4,Non-ODP/GWP ,1992,1996,100%,None,,,,2.00%
Precision,,,,,,,,,
CH3CCl3,Non-ODP/GWP ,1995,1996,99.30%,None,,,,2.00%
,HFC-43-10mee,1995,1996,0.60%,None,,,,
,PFC/PFPE,1995,1996,0.10%,Non-ODP/GWP ,2000,2003,90%,
,,,,,Non-ODP/GWP ,2005,2009,10%,
CFC-113,Non-ODP/GWP ,1995,1996,96%,None,,,,2.00%
,HCFC-225ca/cb,1995,1996,1%,Unknown,,,,
,HFE-7100,1995,1996,3%,None,,,,
"Non-ODP/GWP includes chemicals with zero ODP and low GWP, such as hydrocarbons and ammonia, as well as not-in-kind alternatives such as “no clean” technologies.",,,,,,,,,
