Table A-173:  Fire Extinguishing Market Transition Assumptions,,,,,,,,,,,,
Initial Market Segment,Primary Substitute,,,,Secondary Substitute,,,,,,,Growth Rate
,Name of  Substitute,Start Date,Date of Full Penetration in New Equipment,Maximum Market Penetration,Name of  Substitute,Start Date,Date of Full Penetration in New Equipment,,Maximum Market Penetration,,,
Flooding Agents,,,,,,,,,,,,
Halon-1301,Halon-1301*,1994,1994,4%,Unknown,,,,,,2.20%,
,HFC-23,1994,1999,0.20%,None,,,,,,,
,HFC-227ea,1994,1999,18%,FK-5-1-12 ,2003,,2010,,10%,,
,,,,,HFC-125,2001,,2008,,10%,,
,Non-ODP/GWP ,1994,1994,46%,FK-5-1-12 ,2003,,2010,,7%,,
,Non-ODP/GWP ,1995,2034,10%,None,,,,,,,
,Non-ODP/GWP ,1998,2027,10%,None,,,,,,,
,C4F10,1994,1999,1%,FK-5-1-12 ,2003,,2003,,100%,,
,HFC-125,1997,2006,11%,None,,,,,,,
Streaming Agents,,,,,,,,,,,,
Halon-1211,Halon-1211*,1992,1992,5%,Unknown,,,,,,3.00%,
,HFC-236fa,1997,1999,3%,None,,,,,,,
,Halotron ,1994,1995,0.10%,None,,,,,,,
,Halotron,1996,2000,5.40%,Non-ODP/GWP ,2020,,2020,,56%,,
,Non-ODP/GWP ,1993,1994,56%,None,,,,,,,
,Non-ODP/GWP ,1995,2024,20%,None,,,,,,,
,Non-ODP/GWP ,1999,2018,10%,None,,,,,,,
,,,,,,,,,,,,
"*Despite the 1994 consumption ban, a small percentage of new halon systems are assumed to continue to be built and filled with stockpiled or recovered supplies.",,,,,,,,,,,,
