Table A-174:  Foam Blowing Market Transition Assumptions,,,,,,,,,,,,,
Initial Market Segment,Primary Substitute,,,,Secondary Substitute,,,,Tertiary Substitute,,,,Growth Rate
,Name of Substitute,Start Date,Date of Full Penetration in New Equipment,Maximum Market Penetration,Name of Substitute,Start Date,Date of Full Penetration in New Equipment,Maximum Market Penetration,Name of Substitute,Start Date,Date of Full Penetration in New Equipment,Maximum Market Penetration,
Commercial Refrigeration Foam,,,,,,,,,,,,,
CFC-11,HCFC-141b,1989,1996,40%,HFC-245fa,2002,2003,80%,None,,,,6.00%
,,,,,Non-ODP/GWP ,2002,2003,20%,None,,,,
,HCFC-142b,1989,1996,8%,Non-ODP/GWP ,2009,2010,80%,None,,,,
,,,,,HFC-245fa,2009,2010,20%,None,,,,
,HCFC-22,1989,1996,52%,Non-ODP/GWP ,2009,2010,80%,None,,,,
,,,,,HFC-245fa,2009,2010,20%,None,,,,
Flexible PU Foam: Integral Skin Foam,,,,,,,,,,,,,
CFC-11,HCFC-141b,1989,1990,100%,HFC-134a,1993,1996,25%,None,,,,2.00%
,,,,,HFC-134a,1994,1996,25%,None,,,,
,,,,,CO2,1993,1996,25%,None,,,,
,,,,,CO2,1994,1996,25%,None,,,,
"Flexible PU Foam: Slabstock Foam, Moulded Foam",,,,,,,,,,,,,
CFC-11,Non-ODP/GWP ,1992,1992,100%,None,,,,,,,,2.00%
Phenolic Foam,,,,,,,,,,,,,
CFC-11,HCFC-141b,1989,1990,100%,Non-ODP/GWP ,1992,1992,100%,None,,,,2.00%
Polyolefin Foam,,,,,,,,,,,,,
CFC-114,HFC-152a,1989,1993,10%,Non-ODP/GWP ,2005,2010,100%,None ,,,,2.00%
,HCFC-142b,1989,1993,90%,Non-ODP/GWP ,1994,1996,100%,None,,,,
PU and PIR Rigid: Boardstock,,,,,,,,,,,,,
CFC-11,HCFC-141b,1993,1996,100%,Non-ODP/GWP ,2000,2003,95%,None,,,,6.00%
,,,,,HC/HFC-245fa Blend,2000,2003,5%,None,,,,
PU Rigid: Domestic Refrigerator and Freezer Insulation,,,,,,,,,,,,,
CFC-11,HCFC-141b,1993,1995,100%,HFC-134a,1996,2001,7%,Non-ODP/GWP,2002,2003,100%,0.80%
,,,,,HFC-245fa,2001,2003,50%,Non-ODP/GWP ,2015,2029,100%,
,,,,,HFC-245fa,2006,2009,10%,Non-ODP/GWP,2015,2029,100%,
,,,,,Non-ODP/GWP,2002,2005,10%,None,,,,
,,,,,Non-ODP/GWP,2006,2009,3%,None,,,,
,,,,,Non-ODP/GWP,2009,2014,20%,None,,,,
PU Rigid: One Component Foam,,,,,,,,,,,,,
CFC-12,HCFC-142b/22 Blend ,1989,1996,70%,Non-ODP/GWP ,2009,2010,80%,None,,,,4.00%
,,,,,HFC-134a,2009,2010,10%,None,,,,
,,,,,HFC-152a,2009,2010,10%,None,,,,
,HCFC-22,1989,1996,30%,Non-ODP/GWP ,2009,2010,80%,None,,,,
,,,,,HFC-134a,2009,2010,10%,None,,,,
,,,,,HFC-152a,2009,2010,10%,None,,,,
PU Rigid: Other: Slabstock Foam,,,,,,,,,,,,,
CFC-11,HCFC-141b,1989,1996,100%,CO2,1999,2003,45%,None,,,,2.00%
,,,,,Non-ODP/GWP ,2001,2003,45%,None,,,,
,,,,,HCFC-22,2003,2003,10%,Non-ODP/GWP,2009,2010,100%,
PU Rigid: Sandwich Panels: Continuous and Discontinuous,,,,,,,,,,,,,
CFC-11,HCFC-141b,1989,1996,82%,HCFC-22/Water Blend ,2001,2003,20%,HFC-245fa/CO2 Blend,2009,2010,50%,6.00%
,,,,,,,,,Non-ODP/GWP,2009,2010,50%,
,,,,,HFC-245fa/CO2 Blend ,2002,2004,20%,None,,,,
,,,,,Non-ODP/GWP ,2001,2004,40%,None,,,,
,,,,,HFC-134a,2002,2004,20%,None,,,,
,HCFC-22,1989,1996,18%,HFC-245fa/CO2 Blend,2009,2010,40%,None,,,,
,,,,,Non-ODP/GWP ,2009,2010,20%,None,,,,
,,,,,CO2,2009,2010,20%,None,,,,
,,,,,HFC-134a,2009,2010,20%,None,,,,
PU Rigid: Spray Foam,,,,,,,,,,,,,
CFC-11,HCFC-141b,1989,1996,100%,HFC-245fa,2002,2003,30%,None,,,,6.00%
,,,,,HFC-245fa/CO2 Blend,2002,2003,60%,None,,,,
,,,,,Non-ODP/GWP ,2001,2003,10%,None,,,,
XPS: Boardstock Foam,,,,,,,,,,,,,
CFC-12,HCFC-142b/22 Blend ,1989,1994,10%,HFC-134a,2009,2010,70%,None,,,,2.50%
,,,,,HFC-152a,2009,2010,10%,None,,,,
,,,,,CO2,2009,2010,10%,None,,,,
,,,,,Non-ODP/GWP ,2009,2010,10%,None,,,,
,HCFC-142b,1989,1994,90%,HFC-134a,2009,2010,70%,None,,,,
,,,,,HFC-152a,2009,2010,10%,None,,,,
,,,,,CO2,2009,2010,10%,None,,,,
,,,,,Non-ODP/GWP ,2009,2010,10%,None,,,,
XPS: Sheet Foam,,,,,,,,,,,,,
CFC-12,CO2,1989,1994,1%,None,,,,,,,,2.00%
,Non-ODP/GWP ,1989,1994,99%,CO2,1995,1999,9%,None,,,,
,,,,,HFC-152a,1995,1999,10%,None,,,,
