Table A-189: Regions used for Characterizing the Diets of Foraging Cattle from 2007–2014,,,
West,Central,Northeast,Southeast
Alaska,Illinois,Connecticut,Alabama
Arizona,Indiana,Delaware,Arkansas
California,Iowa,Maine ,Florida
Colorado,Kansas,Maryland,Georgia
Hawaii,Michigan ,Massachusetts,Kentucky
Idaho,Minnesota,New Hampshire,Louisiana
Montana,Missouri,New Jersey,Mississippi
Nevada,Nebraska,New York,North Carolina
New Mexico,North Dakota,Pennsylvania,Oklahoma
Oregon,Ohio,Rhode Island,South Carolina
Utah,South Dakota,Vermont,Tennessee
Washington,Wisconsin,West Virginia ,Texas
Wyoming,,,Virginia
Source: Based on data from USDA:APHIS:VS (2010).,,,
Note: States in bold represent a change in region from the 1990–2006 assessment.,,,
