Table A-206: Estimated Volatile Solids (VS) and Total Kjeldahl Nitrogen Excreted (Nex) Production Rates by State for Cattle (other than Calves) and American Bisona for 2014 (kg/animal/year) ,,,,,,,,,,,,,,,,,,
,Volatile Solids,,,,,,,,,Nitrogen Excreted,,,,,,,,
State,Dairy Cow,Dairy Heifers,Beef NOF Cow,Beef NOF Heifers,Beef NOF Steer,Beef OF Heifers,Beef OF Steer,Beef NOF Bull,American Bison,Dairy Cow,Dairy Heifers,Beef NOF Cow,Beef NOF Heifers,Beef NOF Steer,Beef OF Heifers,Beef OF Steer,Beef NOF Bull,American Bison
Alabama,"2,171","1,252","1,664","1,100",971,682,663,"1,721","1,721",132,69,73,51,42,55,56,83,83
Alaska,"1,971","1,252","1,891","1,272","1,116",682,663,"1,956","1,956",121,69,59,42,33,55,56,69,69
Arizona,"2,918","1,252","1,891","1,244","1,116",682,663,"1,956","1,956",162,69,59,40,33,55,56,69,69
Arkansas,"2,128","1,252","1,664","1,088",971,682,663,"1,721","1,721",128,69,73,50,42,55,56,83,83
California,"2,857","1,252","1,891","1,211","1,116",682,663,"1,956","1,956",159,69,59,39,33,55,56,69,69
Colorado,"2,963","1,252","1,891","1,198","1,116",682,663,"1,956","1,956",164,69,59,38,33,55,56,69,69
Connecticut,"2,605","1,252","1,674","1,104",977,682,664,"1,731","1,731",148,69,74,51,42,55,56,84,84
Delaware,"2,604","1,252","1,674","1,076",977,682,663,"1,731","1,731",148,69,74,49,42,55,56,84,84
Florida,"2,676","1,252","1,664","1,101",971,682,662,"1,721","1,721",153,69,73,51,42,55,56,83,83
Georgia,"2,707","1,252","1,664","1,097",971,682,664,"1,721","1,721",155,69,73,50,42,55,57,83,83
Hawaii,"2,114","1,252","1,891","1,254","1,116",682,664,"1,956","1,956",127,69,59,41,33,55,57,69,69
Idaho,"2,902","1,252","1,891","1,217","1,116",682,663,"1,956","1,956",161,69,59,39,33,55,56,69,69
Illinois,"2,569","1,252","1,589","1,009",923,682,663,"1,643","1,643",147,69,75,49,43,55,56,85,85
Indiana,"2,733","1,252","1,589","1,014",923,682,662,"1,643","1,643",154,69,75,50,43,55,56,85,85
Iowa,"2,776","1,252","1,589",987,923,682,663,"1,643","1,643",156,69,75,48,43,55,56,85,85
Kansas,"2,747","1,252","1,589",979,923,682,663,"1,643","1,643",155,69,75,47,43,55,56,85,85
Kentucky,"2,342","1,252","1,664","1,079",971,682,663,"1,721","1,721",139,69,73,49,42,55,56,83,83
Louisiana,"2,120","1,252","1,664","1,102",971,682,663,"1,721","1,721",128,69,73,51,42,55,56,83,83
Maine,"2,593","1,252","1,674","1,091",977,682,664,"1,731","1,731",148,69,74,50,42,55,57,84,84
Maryland,"2,574","1,252","1,674","1,087",977,682,663,"1,731","1,731",147,69,74,50,42,55,56,84,84
Massachusetts,"2,438","1,252","1,674","1,108",977,682,664,"1,731","1,731",141,69,74,52,42,55,57,84,84
Michigan,"2,940","1,252","1,589","1,009",923,682,663,"1,643","1,643",163,69,75,49,43,55,56,85,85
Minnesota,"2,581","1,252","1,589","1,002",923,682,663,"1,643","1,643",147,69,75,49,43,55,56,85,85
Mississippi,"2,234","1,252","1,664","1,092",971,682,662,"1,721","1,721",134,69,73,50,42,55,56,83,83
Missouri,"2,260","1,252","1,589","1,030",923,682,663,"1,643","1,643",134,69,75,51,43,55,56,85,85
Montana,"2,705","1,252","1,891","1,252","1,116",682,662,"1,956","1,956",153,69,59,41,33,55,56,69,69
Nebraska,"2,752","1,252","1,589",992,923,682,663,"1,643","1,643",155,69,75,48,43,55,56,85,85
Nevada,"2,877","1,252","1,891","1,238","1,116",682,663,"1,956","1,956",160,69,59,40,33,55,56,69,69
New Hampshire,"2,604","1,252","1,674","1,097",977,682,664,"1,731","1,731",148,69,74,51,42,55,57,84,84
New Jersey,"2,454","1,252","1,674","1,081",977,682,664,"1,731","1,731",142,69,74,50,42,55,56,84,84
New Mexico,"2,974","1,252","1,891","1,234","1,116",682,664,"1,956","1,956",164,69,59,40,33,55,57,69,69
New York,"2,767","1,252","1,674","1,084",977,682,663,"1,731","1,731",155,69,74,50,42,55,56,84,84
North Carolina,"2,714","1,252","1,664","1,098",971,682,663,"1,721","1,721",155,69,73,50,42,55,56,83,83
North Dakota,"2,612","1,252","1,589","1,016",923,682,664,"1,643","1,643",149,69,75,50,43,55,57,85,85
Ohio,"2,617","1,252","1,589","1,020",923,682,663,"1,643","1,643",149,69,75,50,43,55,56,85,85
Oklahoma,"2,405","1,252","1,664","1,073",971,682,664,"1,721","1,721",140,69,73,49,42,55,57,83,83
Oregon,"2,638","1,252","1,891","1,230","1,116",682,662,"1,956","1,956",150,69,59,40,33,55,56,69,69
Pennsylvania,"2,605","1,252","1,674","1,072",977,682,663,"1,731","1,731",148,69,74,49,42,55,56,84,84
Rhode Island,"2,519","1,252","1,674","1,101",977,682,662,"1,731","1,731",145,69,74,51,42,54,56,84,84
South Carolina,"2,377","1,252","1,664","1,095",971,682,662,"1,721","1,721",140,69,73,50,42,55,56,83,83
South Dakota,"2,723","1,252","1,589","1,012",923,682,663,"1,643","1,643",154,69,75,50,43,55,56,85,85
Tennessee,"2,372","1,252","1,664","1,085",971,682,663,"1,721","1,721",140,69,73,50,42,55,56,83,83
Texas,"2,767","1,252","1,664","1,053",971,682,663,"1,721","1,721",156,69,73,47,42,55,56,83,83
Utah,"2,815","1,252","1,891","1,234","1,116",682,663,"1,956","1,956",157,69,59,40,33,55,56,69,69
Vermont,"2,608","1,252","1,674","1,075",977,682,664,"1,731","1,731",149,69,74,49,42,55,57,84,84
Virginia,"2,584","1,252","1,664","1,086",971,682,663,"1,721","1,721",149,69,73,50,42,55,56,83,83
Washington,"2,901","1,252","1,891","1,204","1,116",682,664,"1,956","1,956",161,69,59,38,33,55,57,69,69
West Virginia,"2,261","1,252","1,674","1,090",977,682,662,"1,731","1,731",134,69,74,50,42,55,56,84,84
Wisconsin,"2,733","1,252","1,589","1,022",923,682,663,"1,643","1,643",154,69,75,50,43,55,56,85,85
Wyoming,"2,712","1,252","1,891","1,247","1,116",682,663,"1,956","1,956",153,69,59,40,33,55,56,69,69
a Beef NOF Bull values were used for American bison Nex and VS.,,,,,,,,,,,,,,,,,,
Source:  CEFM. NA: Not available; no population exists in this state.,,,,,,,,,,,,,,,,,,
