Table A-210: Methane Conversion Factors by State for Liquid Systems for 2014 (percent),,,,,,
State,Dairy,,Swine,,Beef,Poultry
,Anaerobic Lagoon,Liquid/Slurry and Deep Pit,Anaerobic Lagoon,Liquid/Slurry and Deep Pit,Liquid/Slurry,Anaerobic Lagoon
Alabama,75,37,75,36,38,75
Alaska,47,15,47,15,15,47
Arizona,78,57,77,47,52,74
Arkansas,75,34,76,37,35,75
California,73,32,72,31,41,74
Colorado,65,22,68,24,24,65
Connecticut,69,25,69,26,26,69
Delaware,73,31,73,31,31,73
Florida,79,55,79,53,53,79
Georgia,76,39,75,38,37,75
Hawaii,76,57,76,57,57,76
Idaho,69,25,66,22,22,68
Illinois,72,29,72,28,27,72
Indiana,70,27,71,27,27,71
Iowa,70,25,70,26,26,70
Kansas,74,32,74,32,32,74
Kentucky,73,31,73,31,30,73
Louisiana,77,45,77,46,46,77
Maine,63,21,63,21,21,64
Maryland,72,30,72,30,31,73
Massachusetts,67,24,68,25,25,68
Michigan,67,23,67,24,24,67
Minnesota,68,24,69,24,24,67
Mississippi,76,40,76,38,41,76
Missouri,73,30,73,30,30,74
Montana,61,19,64,21,21,64
Nebraska,72,27,72,27,27,72
Nevada,70,26,71,27,25,70
New Hampshire,64,22,65,22,22,65
New Jersey,71,28,71,29,28,71
New Mexico,73,31,71,28,30,70
New York,65,23,66,23,23,66
North Carolina,73,31,75,36,30,73
North Dakota,66,22,66,22,22,66
Ohio,69,26,70,27,27,70
Oklahoma,76,37,75,35,36,76
Oregon,64,21,63,21,22,63
Pennsylvania,69,26,70,27,27,70
Rhode Island,69,26,69,26,26,69
South Carolina,75,37,76,38,36,75
South Dakota,69,24,70,25,25,70
Tennessee,73,31,74,32,31,73
Texas,76,41,76,44,38,77
Utah,65,22,69,25,24,65
Vermont,63,21,63,21,21,63
Virginia,71,28,72,31,29,71
Washington,64,21,66,22,23,65
West Virginia,69,26,70,27,26,69
Wisconsin,66,23,68,24,23,67
Wyoming,63,20,64,21,22,64
"Note: MCFs developed using Tier 2 methods described in IPCC 2006, Section 10.4.2.",,,,,,
