Table A-213: Methane Emissions from Livestock Manure Management (kt)a,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Dairy Cattle,590,607,591,614,656,685,695,725,771,841,889,951,985,"1,036",988,"1,057","1,091","1,212","1,230","1,218","1,217","1,245","1,306","1,271","1,289"
Dairy Cows,581,598,583,606,647,676,687,716,763,832,880,942,977,"1,027",980,"1,049","1,083","1,202","1,220","1,208","1,207","1,236","1,295","1,261","1,278"
Dairy Heifer,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,7,7,8,8,8,8,8,9,8,8
Dairy Calves,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Swine,622,674,637,678,740,763,729,782,891,849,835,854,877,859,858,916,902,984,936,896,945,942,972,920,896
Market Swine,483,522,499,533,584,608,581,625,720,693,681,697,719,705,707,755,742,816,779,748,790,788,814,771,744
Market <50 lbs.,102,110,103,108,119,121,116,125,140,133,131,134,137,135,135,142,141,155,109,103,110,109,113,105,104
Market 50-119 lbs.,101,110,104,110,119,123,117,127,144,138,136,138,144,140,141,150,148,163,174,167,176,0,0,0,0
Market 120-179 lbs.,136,147,139,150,164,170,163,175,201,193,189,192,199,196,196,210,206,228,228,218,232,230,238,228,221
Market >180 lbs.,144,156,152,164,182,193,184,198,234,229,225,232,240,234,235,252,247,270,268,259,272,274,281,266,250
Breeding Swine,139,151,138,146,156,155,148,157,171,157,155,158,158,154,151,161,160,168,157,148,155,154,158,150,152
Beef Cattle,126,126,129,130,135,139,136,134,137,137,131,134,131,131,129,133,137,134,130,130,132,131,128,121,120
Feedlot Steers,14,14,14,13,14,14,14,13,13,14,15,15,15,16,15,15,16,16,16,16,16,17,16,16,16
Feedlot Heifers,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
NOF Bulls,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Beef Calves,6,6,6,6,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6
NOF Heifers,12,12,13,14,14,15,15,14,15,14,13,13,13,13,12,13,13,13,13,13,13,12,12,12,12
NOF Steers,12,12,13,14,13,14,14,13,13,12,11,11,11,10,10,10,11,10,10,11,10,10,9,9,9
NOF Cows,69,69,70,71,74,76,75,74,76,76,71,73,71,71,71,73,75,73,70,70,71,71,69,64,63
Sheep,7,7,7,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3
Goats,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Poultry,131,131,127,131,131,128,125,128,130,126,127,131,129,130,129,129,131,134,129,128,129,127,128,128,130
Hens >1 yr.,73,72,70,73,72,69,68,67,70,66,66,70,67,68,66,66,66,67,64,64,64,64,63,65,66
Total Pullets,25,26,23,23,23,22,21,23,23,21,22,22,22,22,23,22,23,25,23,23,24,23,23,24,24
Chickens,4,4,4,4,4,4,3,3,4,4,3,3,4,4,3,3,3,3,3,4,3,3,3,3,3
Broilers,19,20,20,21,22,23,24,25,26,27,28,28,29,29,30,31,32,32,33,31,31,31,32,31,31
Turkeys,10,10,10,10,9,9,9,9,8,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6
Horses,9,9,9,9,10,11,11,12,13,13,13,13,13,13,12,12,12,11,10,10,10,10,10,9,9
Mules and Asses,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
American Bison,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
+ Does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,
a Accounts for CH4 reductions due to capture and destruction of CH4 at facilities using anaerobic digesters.,,,,,,,,,,,,,,,,,,,,,,,,,
