Table A-214: Total (Direct and Indirect) Nitrous Oxide Emissions from Livestock Manure Management (kt),,,,,,,,,,,,,,,,,,,,,,,,,
Animal Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Dairy Cattle,17.7,17.6,17.7,17.9,18,18.2,18.3,18.4,18.5,18.1,18.4,18.7,18.9,19.1,18.2,18.7,19.3,19.3,19,19.2,19.3,19.5,19.7,19.6,19.7
  Dairy Cows,10.6,10.6,10.5,10.5,10.6,10.7,10.8,10.9,10.9,10.6,10.8,10.9,11,11.1,10.6,10.8,11.1,11.1,10.9,11.1,10.9,11.1,11.3,11.3,11.4
  Dairy Heifer,7.1,7,7.2,7.3,7.4,7.5,7.5,7.5,7.6,7.5,7.6,7.8,7.9,8,7.6,7.8,8.2,8.2,8,8.1,8.3,8.4,8.5,8.3,8.3
  Dairy Calves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Swine,4,4.2,4.3,4.4,4.6,4.5,4.4,4.7,5.1,5,5,5.1,5.3,5.4,5.6,5.7,5.9,6.3,6.4,6.3,6.2,6.3,6.4,6.3,6.2
  Market Swine,3,3.1,3.3,3.3,3.5,3.5,3.3,3.6,4,4.1,4.1,4.2,4.4,4.5,4.7,4.9,5,5.5,5.6,5.5,5.4,5.5,5.6,5.5,5.4
  Market <50 lbs.,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,0.9,1,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8
  Market 50-119 lbs.,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,1,1,1.1,1.3,1.2,1.2,1.2,1.3,1.2,1.2
  Market 120-179 lbs.,0.9,0.9,0.9,1,1,1,1,1,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.4,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.6
  Market >180 lbs.,0.9,1,1,1,1.1,1.1,1.1,1.2,1.3,1.3,1.3,1.4,1.5,1.5,1.6,1.6,1.6,1.8,1.9,1.9,1.8,1.9,1.9,1.9,1.8
  Breeding Swine,1,1.1,1.1,1.1,1.1,1.1,1,1.1,1.1,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Beef Cattle,19.8,20.3,20.1,19.1,20.9,21.8,21.4,21.5,21.6,24,25,24.1,24.8,25,23.6,24,25.7,25.6,25.1,25.1,25.3,25.9,25.8,26,26
  Feedlot Steers,13.4,13.6,13.5,12.8,13.9,14.4,14,13.9,14.1,15.5,16.1,15.4,16,16.3,15.3,15.5,16.7,16.7,16.5,16.5,16.6,16.9,16.7,17,17.3
  Feedlot Heifers,6.4,6.6,6.6,6.3,7,7.4,7.4,7.6,7.6,8.5,8.9,8.6,8.7,8.8,8.4,8.5,9,8.9,8.7,8.6,8.7,9.1,9,9,8.8
Sheep,0.4,0.4,0.4,0.4,0.6,0.7,0.8,0.9,0.9,1,1.1,1.2,1.2,1.2,1.1,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1,1
Goats,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Poultry,4.7,4.8,4.9,5,5.1,5.1,5.3,5.3,5.3,5.3,5.3,5.3,5.4,5.3,5.4,5.4,5.4,5.4,5.4,5.2,5.2,5.2,5.3,5.2,5.2
  Hens >1 yr.,1,1,1,1,1,1,1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.4
  Total Pullets,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
  Chickens,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
  Broilers,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.8,2.9,2.9,2.9,2.9,3,2.9,2.9,3,2.9,2.9,2.9,2.7,2.8,2.8,2.9,2.7,2.7
  Turkeys,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7
Horses,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Mules and Asses,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
American Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
+ Does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,
NA (Not applicable),,,,,,,,,,,,,,,,,,,,,,,,,
Note: American bison are maintained entirely on unmanaged WMS; there are no American bison N2O emissions from managed systems. ,,,,,,,,,,,,,,,,,,,,,,,,,
