Table A-215: Methane Emissions by State from Livestock Manure Management for 2014 (kt)a,,,,,,,,,,,,,,
State,Beef on Feedlots,Beef Not on Feedb,Dairy Cow,Dairy Heifer,Swine—Market,Swine—Breeding,Layer,Broiler,Turkey,Sheep,Goats,Horses,Mules and Asses,American Bison
Alabama,0.017,2.4961,0.5233,0.0106,1.6284,0.4402,8.9934,3.8556,0.0211,0.0085,0.0156,0.1785,0.0131,0.0006
Alaska,0.0001,0.0154,0.0154,0.0002,0.0018,0.0015,0.1926,+,0.021,0.0057,0.0002,0.0029,+,0.0038
Arizona,0.6906,1.0848,52.7906,0.1741,1.9359,0.7272,0.6745,+,0.0211,0.1057,0.0313,0.3346,0.0039,+
Arkansas,0.0296,2.1448,0.2667,0.0094,0.6193,1.9556,0.5434,3.5225,0.7503,0.0085,0.0143,0.1772,0.0094,0.0003
California,1.5156,3.8144,402.0657,1.9264,1.6039,0.18,3.0921,0.1985,0.2751,0.4158,0.0539,0.4182,0.0073,0.0035
Colorado,1.5724,2.7254,31.0978,0.1501,4.0379,2.8453,4.0236,+,0.021,0.1715,0.0073,0.2341,0.0047,0.0194
Connecticut,0.0003,0.0158,1.0347,0.0153,0.0049,0.0036,0.2501,+,0.021,0.0034,0.0011,0.0433,0.0007,0.0002
Delaware,0.0003,0.0092,0.279,0.0046,0.0269,0.0218,0.0754,0.8837,0.021,0.0057,0.0003,0.0154,0.0001,0.0002
Florida,0.0108,3.2376,22.1675,0.101,0.0635,0.0424,6.4911,0.2423,0.0211,0.0085,0.0187,0.3982,0.0108,0.0003
Georgia,0.0124,1.8294,7.6846,0.0667,1.9133,0.9216,15.6498,4.8098,0.0211,0.0085,0.025,0.2205,0.0099,0.0006
Hawaii,0.0024,0.2895,0.4264,0.0029,0.0686,0.0639,0.3014,+,0.0211,0.0085,0.0054,0.0149,0.0005,0.0002
Idaho,0.3828,1.6793,125.0109,0.4087,0.1619,0.0987,0.6159,+,0.021,0.1175,0.0046,0.1235,0.0029,0.0093
Illinois,0.4437,1.0049,8.1855,0.0725,40.2193,10.3785,0.2649,0.1978,0.021,0.0263,0.0077,0.1227,0.0027,0.0008
Indiana,0.18,0.5545,14.3566,0.1086,32.9344,5.5527,0.8942,0.1978,0.4736,0.0235,0.0088,0.2275,0.004,0.002
Iowa,2.1095,3.0403,20.9373,0.1904,293.3499,31.0226,1.9147,0.1978,0.2617,0.0728,0.0141,0.1277,0.0033,0.0026
Kansas,3.7901,4.8366,23.3681,0.1634,18.5299,3.8114,0.044,+,0.021,0.0352,0.0099,0.1508,0.0028,0.0097
Kentucky,0.0343,2.5216,1.4173,0.0789,4.0954,1.2243,0.621,1.115,0.021,0.023,0.0126,0.2812,0.0097,0.0025
