Table A-216: Nitrous Oxide Emissions by State from Livestock Manure Management for 2014 (kt) ,,,,,,,,,,,,,
State,Beef Feedlot- Heifer,Beef Feedlot- Steers,Dairy Cow,Dairy Heifer,Swine-Market,Swine-Breeding,Layer,Broiler,Turkey,Sheep,Goats,Horses,Mules and Asses
Alabama,0.0039,0.0077,0.004,0.0037,0.0085,0.0017,0.065,0.3411,0.0024,0.0046,0.0012,0.0061,0.0005
Alaska,+,+,0.0003,0.0002,+,+,0.0033,+,0.0024,0.0015,+,0.0001,+
Arizona,0.1828,0.3594,0.2417,0.1565,0.0091,0.0026,0.0035,+,0.0024,0.0165,0.0025,0.0115,0.0001
Arkansas,0.0094,0.0184,0.0029,0.0034,0.0036,0.0084,0.0766,0.3116,0.0869,0.004,0.0011,0.0061,0.0003
California,0.3396,0.669,2.1973,1.5656,0.009,0.0007,0.0651,0.0176,0.0319,0.0735,0.0043,0.0144,0.0003
Colorado,0.6505,1.2767,0.1943,0.2294,0.0429,0.0223,0.0242,+,0.0024,0.0402,0.0009,0.0121,0.0003
Connecticut,0.0001,0.0002,0.0172,0.0112,+,+,0.0109,+,0.0024,0.0028,0.0001,0.0022,+
Delaware,0.0001,0.0002,0.0042,0.0032,0.0002,0.0001,0.0031,0.0784,0.0024,0.0046,+,0.0008,+
Florida,0.0023,0.0045,0.1122,0.0512,0.0003,0.0002,0.0439,0.0214,0.0024,0.0046,0.0015,0.0137,0.0004
Georgia,0.0029,0.0057,0.0552,0.0252,0.01,0.0036,0.1128,0.4255,0.0024,0.0046,0.002,0.0076,0.0004
Hawaii,0.0005,0.001,0.0022,0.0023,0.0004,0.0002,0.0033,+,0.0024,0.0015,0.0004,0.0005,+
Idaho,0.1593,0.3126,0.7753,0.624,0.0018,0.0008,0.0035,+,0.0024,0.0276,0.0005,0.0064,0.0002
Illinois,0.1728,0.3401,0.138,0.092,0.3798,0.0716,0.019,0.0176,0.0024,0.0184,0.0009,0.0063,0.0001
Indiana,0.0695,0.1377,0.2528,0.1261,0.3206,0.0396,0.1242,0.0176,0.0551,0.0164,0.001,0.0117,0.0002
Iowa,0.8306,1.6316,0.3025,0.2352,1.7882,0.1387,0.2658,0.0176,0.0304,0.0508,0.0017,0.0066,0.0002
Kansas,1.4446,2.8361,0.1995,0.2154,0.1617,0.0246,0.0031,+,0.0024,0.0246,0.0012,0.0078,0.0001
Kentucky,0.012,0.0236,0.0296,0.0265,0.024,0.0053,0.0259,0.099,0.0024,0.0187,0.0015,0.0145,0.0005
Louisiana,0.0019,0.0037,0.0057,0.0031,0.0001,+,0.0118,0.0176,0.0024,0.004,0.0005,0.0067,0.0003
Maine,0.0003,0.0006,0.0263,0.02,0.0001,0.0001,0.0129,+,0.0024,0.0028,0.0002,0.0013,+
Maryland,0.0068,0.0133,0.0443,0.03,0.0016,0.0004,0.0128,0.0925,0.0024,0.0046,0.0002,0.0031,+
Massachusetts,0.0001,0.0002,0.0103,0.0087,0.0003,0.0001,0.0006,+,0.0024,0.0028,0.0003,0.0023,+
Michigan,0.1013,0.199,0.5981,0.3485,0.0915,0.0153,0.0578,0.0176,0.0148,0.0266,0.0008,0.0093,0.0002
Minnesota,0.2529,0.4969,0.6511,0.553,0.6434,0.0801,0.0528,0.015,0.1319,0.0443,0.001,0.0064,0.0001
Mississippi,0.0043,0.0085,0.0058,0.0041,0.0448,0.0062,0.0399,0.2337,0.0024,0.0046,0.0007,0.0063,0.0004
Missouri,0.051,0.1002,0.1086,0.091,0.1885,0.0542,0.0449,0.0927,0.0493,0.0272,0.0032,0.0118,0.0004
Montana,0.0349,0.0689,0.0191,0.0196,0.0134,0.0034,0.0025,+,0.0024,0.0243,0.0003,0.0107,0.0002
Nebraska,1.642,3.2236,0.0792,0.0423,0.2495,0.0564,0.0417,0.0176,0.0024,0.0249,0.0007,0.0072,0.0002
Nevada,0.0027,0.0053,0.0398,0.0209,0.0001,+,0.0031,+,0.0024,0.0088,0.0007,0.0027,+
New Hampshire,0.0001,0.0001,0.012,0.0084,0.0001,+,0.0031,+,0.0024,0.0028,0.0002,0.001,+
New Jersey,0.0001,0.0003,0.0059,0.0035,0.0006,0.0001,0.0031,+,0.0024,0.0046,0.0002,0.003,+
New Mexico,0.007,0.0138,0.412,0.2537,+,+,0.0035,+,0.0024,0.0089,0.0009,0.0056,0.0001
New York,0.0158,0.0311,0.5698,0.4185,0.0051,0.0011,0.0237,0.0176,0.0024,0.0286,0.001,0.0104,0.0001
North Carolina,0.0029,0.0057,0.0288,0.0147,0.6303,0.1194,0.0875,0.2555,0.0826,0.0103,0.0016,0.007,0.0004
North Dakota,0.0275,0.0535,0.0229,0.0194,0.0079,0.0048,0.0031,+,0.0024,0.0217,0.0001,0.0051,+
Ohio,0.1073,0.2109,0.3649,0.2401,0.1756,0.0237,0.1407,0.0243,0.0148,0.0443,0.0013,0.0127,0.0003
Oklahoma,0.1892,0.3689,0.0547,0.0438,0.1336,0.0584,0.0184,0.066,0.0024,0.0193,0.0022,0.0176,0.0005
Oregon,0.0492,0.0971,0.1396,0.1126,0.0003,0.0002,0.0107,0.0176,0.0024,0.0243,0.0009,0.0071,0.0001
Pennsylvania,0.0756,0.1484,0.4531,0.3435,0.0984,0.0138,0.1105,0.0583,0.0203,0.0358,0.0014,0.0137,0.0004
Rhode Island,+,0.0001,0.0008,0.0005,+,+,0.0031,+,0.0024,0.0028,+,0.0002,+
South Carolina,0.001,0.0019,0.0084,0.0044,0.0245,0.0017,0.0239,0.0747,0.0024,0.0046,0.0011,0.0063,0.0002
South Dakota,0.2567,0.5034,0.1393,0.1025,0.1012,0.0243,0.0124,+,0.013,0.0886,0.0006,0.0077,0.0001
Tennessee,0.002,0.004,0.0208,0.019,0.0155,0.0024,0.01,0.058,0.0024,0.0149,0.0023,0.0088,0.0006
Texas,1.6794,3.2913,0.5474,0.4745,0.0583,0.0132,0.093,0.1902,0.0024,0.0805,0.0229,0.0427,0.0025
Utah,0.0174,0.0342,0.132,0.1051,0.0546,0.0108,0.0214,+,0.0116,0.0309,0.0004,0.0066,0.0001
Vermont,0.0004,0.0008,0.1176,0.0671,0.0001,0.0001,0.0006,+,0.0024,0.0028,0.0004,0.0012,0.0001
Virginia,0.014,0.0273,0.0462,0.0267,0.0254,0.0007,0.0149,0.0842,0.0487,0.0316,0.0014,0.0096,0.0003
Washington,0.1399,0.273,0.3354,0.2451,0.0011,0.0005,0.0311,0.0176,0.0024,0.0068,0.0007,0.0062,0.0001
West Virginia,0.0032,0.0064,0.007,0.0059,0.0001,0.0001,0.0075,0.0306,0.009,0.0122,0.0005,0.0025,0.0001
Wisconsin,0.1743,0.3427,1.8468,1.3065,0.022,0.0051,0.0256,0.0172,0.0024,0.0272,0.0019,0.0109,0.0002
Wyoming,0.0493,0.0972,0.0077,0.0076,0.0034,0.0046,0.0035,+,0.0024,0.0391,0.0003,0.0078,0.0001
+ Does not exceed 0.00005 kt.,,,,,,,,,,,,,
,,,,,,,,,,,,,
