"Table A-217:  Total Land Areas for the Agricultural Soil C and N2O Inventory, Subdivided by Land Use Categories (Million Hectares)",,,,,,,,,,,,,,,,,,,,,,,,,
,Land Areas (million ha),,,,,,,,,,,,,,,,,,,,,,,,
Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Mineral Soils,447.61,446.84,446.07,445.35,444.64,443.71,442.77,441.91,441.02,439.68,439.6,438.95,438.34,437.49,436.72,435.66,434.83,434.06,433.27,432.59,431.88,431.6,431.31,431.31,431.31
Croplands  ,173.95,173.85,173.64,173.11,172.79,172.32,172.05,171.7,169.18,168.33,168.39,168.11,167.84,167.22,165.74,165.28,164.79,164.47,164.03,163.58,162.98,162.98,162.98,162.98,162.98
Cropland Remaining Cropland,161.24,160.8,160.28,158.53,156.83,156.2,155.6,155.03,151.39,150.27,150.76,150.86,150.89,151.5,151.29,151.1,150.82,151.23,151.48,151.79,151.38,151.38,151.39,151.39,151.39
Grassland Converted to Cropland,12.07,12.4,12.71,13.88,15.2,15.36,15.7,15.92,16.99,17.26,16.84,16.48,16.21,15.02,13.81,13.59,13.39,12.71,12.05,11.33,11.16,11.16,11.16,11.16,11.16
Forest Converted to Cropland,0.24,0.24,0.23,0.22,0.21,0.21,0.2,0.2,0.19,0.17,0.15,0.14,0.13,0.12,0.11,0.09,0.09,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Other Lands Converted to Cropland,0.19,0.2,0.21,0.23,0.26,0.26,0.27,0.27,0.28,0.3,0.32,0.31,0.3,0.28,0.26,0.24,0.25,0.24,0.23,0.22,0.21,0.21,0.21,0.21,0.21
Settlements Converted to Croplands,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.12,0.13,0.13,0.13,0.13,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09
Wetlands Converted to Croplands,0.13,0.13,0.13,0.16,0.19,0.19,0.19,0.2,0.2,0.2,0.2,0.2,0.19,0.18,0.16,0.15,0.15,0.14,0.12,0.1,0.1,0.1,0.1,0.1,0.1
Grasslands,273.65,272.99,272.43,272.24,271.86,271.39,270.71,270.2,271.84,271.35,271.21,270.83,270.49,270.27,270.99,270.38,270.04,269.59,269.24,269,268.9,268.62,268.33,268.33,268.33
Grasslands Remaining Grasslands,263.76,262.86,262.03,260.35,258.59,257.79,256.97,256.24,253.84,252.77,252.34,251.64,251.09,251.24,251.18,250.46,250.1,250.07,250.31,250.33,250.18,249.9,249.62,249.62,249.62
Croplands Converted to Grasslands,8.76,8.87,9.06,10.42,11.67,11.94,12.08,12.26,15.07,15.6,15.89,16.16,16.36,16.06,16.85,16.55,16.58,16.22,15.79,15.61,15.79,15.79,15.79,15.79,15.79
Forest Converted to Grasslands,0.33,0.33,0.33,0.33,0.33,0.36,0.35,0.34,1.34,1.34,1.32,1.31,1.3,1.25,1.25,1.82,1.82,1.77,1.75,1.75,1.73,1.73,1.73,1.73,1.73
Other Lands Converted to Grasslands,0.43,0.45,0.5,0.59,0.7,0.74,0.74,0.78,0.93,0.95,0.99,1.05,1.06,1.04,1.03,0.93,0.92,0.91,0.89,0.87,0.82,0.82,0.82,0.82,0.82
Settlements Converted to Grasslands,0.06,0.07,0.07,0.08,0.09,0.09,0.1,0.1,0.12,0.13,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12
Wetlands Converted to Grasslands,0.32,0.41,0.45,0.46,0.48,0.47,0.48,0.48,0.54,0.55,0.55,0.55,0.54,0.54,0.54,0.49,0.49,0.48,0.39,0.31,0.26,0.26,0.26,0.26,0.26
Organic Soils,1.35,1.33,1.32,1.32,1.33,1.32,1.31,1.29,1.3,1.28,1.28,1.27,1.26,1.25,1.24,1.24,1.24,1.23,1.23,1.22,1.22,1.22,1.21,1.21,1.21
Croplands  ,0.75,0.75,0.74,0.73,0.74,0.74,0.74,0.73,0.73,0.74,0.74,0.75,0.75,0.74,0.74,0.74,0.73,0.73,0.72,0.7,0.7,0.7,0.7,0.7,0.7
Cropland Remaining Cropland,0.66,0.66,0.65,0.64,0.63,0.63,0.63,0.63,0.61,0.61,0.62,0.61,0.61,0.61,0.64,0.64,0.63,0.63,0.63,0.62,0.62,0.62,0.62,0.62,0.62
Grassland Converted to Cropland,0.07,0.07,0.07,0.07,0.08,0.09,0.09,0.08,0.1,0.1,0.1,0.12,0.12,0.11,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07
Forest Converted to Cropland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Lands Converted to Cropland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Settlements Converted to Croplands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wetlands Converted to Croplands,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Grasslands,0.59,0.58,0.58,0.59,0.59,0.58,0.57,0.56,0.56,0.55,0.55,0.52,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.52,0.51,0.51,0.51,0.51,0.51
Grasslands Remaining Grasslands,0.53,0.53,0.52,0.51,0.5,0.49,0.49,0.48,0.47,0.46,0.45,0.41,0.41,0.4,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.38
Croplands Converted to Grasslands,0.05,0.05,0.05,0.06,0.07,0.07,0.07,0.06,0.08,0.07,0.07,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0.1
Forest Converted to Grasslands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
