Table A-218:  Total Land Area Estimated with Tier 2 and 3 Inventory Approaches (Million Hectares),,,,,
,Land Areas (million ha),,,,
,Mineral,,,Organic,
Year,Tier 1/2,Tier 3,Total,Tier 1/2,Total
1990,115.64,331.96,447.61,1.35,448.95
1991,114.57,332.26,446.84,1.33,448.17
1992,113.52,332.55,446.07,1.32,447.39
1993,112.33,333.01,445.35,1.32,446.67
1994,111.16,333.48,444.64,1.33,445.97
1995,109.77,333.94,443.71,1.32,445.03
1996,108.31,334.46,442.77,1.31,444.08
1997,106.92,334.98,441.91,1.29,443.2
1998,105.47,335.55,441.02,1.3,442.31
1999,103.25,336.43,439.68,1.28,440.96
2000,103.32,336.28,439.6,1.28,440.89
2001,102.46,336.48,438.95,1.27,440.22
2002,101.66,336.68,438.34,1.26,439.6
2003,100.86,336.63,437.49,1.25,438.73
2004,100.29,336.44,436.72,1.24,437.96
2005,99.44,336.22,435.66,1.24,436.9
2006,98.76,336.07,434.83,1.24,436.07
2007,98.17,335.89,434.06,1.23,435.29
2008,97.69,335.58,433.27,1.23,434.5
2009,97.2,335.39,432.59,1.22,433.81
2010,96.78,335.1,431.88,1.22,433.1
2011,96.61,334.99,431.6,1.22,432.81
2012,96.44,334.87,431.31,1.21,432.53
2013,96.44,334.87,431.31,1.21,432.53
2014,96.44,334.87,431.31,1.21,432.53
