Table A-219:  Total Land Areas by Land-Use and Management System for the Tier 2 Mineral Soil Organic C Approach (Million Hectares),,,,,,,,,,,,,,,,,,,,,,,,,
,Land Areas (million hectares),,,,,,,,,,,,,,,,,,,,,,,,
Land-Use/Management System,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Cropland Systems ,21.65,21.35,21.02,20.55,20.1,19.68,19.27,18.88,17.65,16.91,17.03,16.82,16.59,16.36,15.96,15.74,15.54,15.38,15.24,15.08,14.94,14.94,14.94,14.94,14.94
Conservation Reserve Program,1.79,2.02,2.06,1.9,1.77,1.68,1.55,1.51,1.13,0.96,1.02,1.01,0.94,0.81,0.52,0.58,0.56,0.58,0.6,0.49,0.46,0.46,0.46,0.46,0.46
High Input Cropping Systems,2.25,2.12,1.95,1.89,1.91,1.92,1.98,1.85,1.72,1.67,1.64,1.54,1.44,1.4,1.38,1.36,1.32,1.26,1.25,1.28,1.24,1.24,1.24,1.24,1.24
Medium Input Cropping Systems,10.85,10.54,10.24,10.05,9.84,9.55,9.41,9.23,8.44,8.21,8.25,8.21,8.16,8.11,8.1,8.01,7.96,7.95,7.95,7.94,7.91,7.91,7.91,7.91,7.91
Low Input Cropping Systems,2.35,2.32,2.42,2.39,2.32,2.45,2.43,2.42,2.32,2.23,2.19,2.13,2.01,2.03,1.98,1.86,1.8,1.74,1.67,1.58,1.58,1.58,1.58,1.58,1.58
Hay with Legumes or Irrigation,1.08,1.05,1.05,1,1.02,0.95,0.83,0.79,0.7,0.63,0.62,0.6,0.66,0.67,0.66,0.65,0.61,0.61,0.61,0.58,0.59,0.59,0.59,0.59,0.59
"Hay, Unimproved",0.8,0.8,0.8,0.8,0.71,0.64,0.6,0.63,0.69,0.54,0.54,0.51,0.54,0.55,0.53,0.54,0.53,0.53,0.53,0.53,0.52,0.52,0.52,0.52,0.52
Perennial Croplands,2.43,2.4,2.4,2.43,2.44,2.41,2.39,2.37,2.55,2.59,2.65,2.7,2.7,2.68,2.68,2.65,2.66,2.62,2.54,2.57,2.54,2.54,2.54,2.54,2.54
Rice  ,0.11,0.1,0.11,0.09,0.1,0.08,0.09,0.08,0.1,0.08,0.12,0.11,0.12,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.1,0.1,0.1,0.1,0.1
Grassland Systems ,94,93.22,92.5,91.79,91.06,90.09,89.03,88.04,87.82,86.34,86.29,85.65,85.06,84.5,84.33,83.69,83.22,82.78,82.46,82.12,81.84,81.67,81.5,81.5,81.5
Pasture with Legumes or Irrigation,4.14,3.87,3.49,3.65,3.61,3.47,3.07,2.48,2.13,2,2.06,1.93,1.83,1.8,1.79,1.73,1.64,1.58,1.53,1.49,1.42,1.42,1.42,1.42,1.42
Rangelands and Unimproved Pasture,89.86,89.36,89.01,88.14,87.45,86.62,85.97,85.56,85.7,84.34,84.24,83.71,83.23,82.7,82.54,81.96,81.58,81.21,80.92,80.63,80.41,80.25,80.08,80.08,80.08
Total,115.64,114.57,113.52,112.33,111.16,109.77,108.31,106.92,105.47,103.25,103.32,102.46,101.66,100.86,100.29,99.44,98.77,98.17,97.69,97.2,96.78,96.61,96.44,96.44,96.44
