Table A-220:  Total Land Areas for Drained Organic Soils By Land Management Category and Climate Region (Million Hectares) ,,,,,,,,,,,,,,,,,,,,,,,,,
IPCC Land-Use Category for Organic Soils ,Land Areas (million ha),,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Cold Temperate,,,,,,,,,,,,,,,,,,,,,,,,,
Cultivated Cropland,0.41,0.4,0.41,0.4,0.4,0.4,0.4,0.41,0.41,0.41,0.4,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.39,0.39,0.39,0.39,0.39
(high drainage),,,,,,,,,,,,,,,,,,,,,,,,,
Managed Pasture,0.37,0.37,0.36,0.37,0.37,0.36,0.36,0.34,0.35,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.33,0.33,0.32,0.32,0.32,0.32,0.32
(low drainage),,,,,,,,,,,,,,,,,,,,,,,,,
Undrained,0.04,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.02,0.03,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02
Total,0.82,0.82,0.81,0.81,0.81,0.8,0.8,0.78,0.78,0.77,0.77,0.75,0.74,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.72,0.72,0.72,0.72,0.72
Warm Temperate,,,,,,,,,,,,,,,,,,,,,,,,,
Cultivated Cropland,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
(high drainage),,,,,,,,,,,,,,,,,,,,,,,,,
Managed Pasture,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
(low drainage),,,,,,,,,,,,,,,,,,,,,,,,,
Undrained,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0.18,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
Sub-Tropical,,,,,,,,,,,,,,,,,,,,,,,,,
Cultivated Cropland,0.2,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.25,0.24,0.24,0.23,0.23,0.23,0.21,0.2,0.21,0.21,0.21,0.21,0.21,0.21
(high drainage),,,,,,,,,,,,,,,,,,,,,,,,,
Managed Pasture,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.11,0.11,0.11,0.11,0.11,0.11
(low drainage),,,,,,,,,,,,,,,,,,,,,,,,,
Undrained,0,0,0,0,0,0,0,0,0.01,0.02,0.02,0,0.01,0,0,0.01,0,0.02,0.02,0,0,0,0,0,0
Total,0.34,0.35,0.34,0.34,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32
