Table A-221:  Total Rice Harvested Area Estimated with Tier 1 and 3 Inventory Approaches (Million Hectares),,,
,Land Areas (Million Hectares),,
Year,Tier 1,Tier 3,Total
1990,0.11,1.53,1.64
1991,0.11,1.61,1.72
1992,0.11,1.66,1.78
1993,0.1,1.64,1.74
1994,0.11,1.52,1.63
1995,0.07,1.59,1.66
1996,0.1,1.55,1.65
1997,0.08,1.5,1.58
1998,0.11,1.49,1.6
1999,0.12,1.51,1.63
2000,0.16,1.55,1.71
2001,0.11,1.56,1.66
2002,0.12,1.72,1.83
2003,0.11,1.49,1.59
2004,0.12,1.52,1.64
2005,0.1,1.75,1.85
2006,0.09,1.35,1.45
2007,0.09,1.35,1.44
2008,0.1,1.3,1.4
2009,0.1,1.54,1.63
2010,0.1,1.52,1.62
2011,0.1,1.52,1.62
2012,0.1,1.52,1.62
2013,0.1,1.52,1.62
2014,0.1,1.52,1.62
Note: Land use data for 2011 through 2014 are based on the 2010 NRI data product.,,,
