Table A-228: Key Assumptions for Crop Production in the Tier 1 Method,,,,,,
Crop,Dry Matter Fraction of Harvested Product,Above-ground Residue,,Ratio of Below-ground Residue to Above-ground Biomass,Residue N Fraction ,
,,Slope,Intercept,,Above-ground,Below-ground
Alfalfa,0.9,0.29,0,0.4,0.027,0.019
Artichokes,0.16,0.3,0,0.2,0.006,0.009
Asparagus,0.07,0.5,0,0.2,0.006,0.009
Barley,0.89,0.98,0.59,0.22,0.007,0.014
Beans,0.91,1.13,0.85,0.19,0.008,0.008
Beets,0.22,0.1,1.06,0.2,0.019,0.014
Broccoli,0.09,0.1,0,0.11,0.006,0.009
Brussels sprouts,0.14,0.1,0,0.11,0.0093,0.0093
Cabbage,0.08,0.1,0,0.11,0.006,0.009
Cantaloup,0.06,1.77,0,0.04,0.006,0.009
Carrots,0.13,0.46,0.02,0.15,0.019,0.014
Cauliflower,0.08,0.1,0,0.11,0.006,0.009
Celery,0.05,0.23,0,0.11,0.006,0.009
Collard greens,0.08,0.1,0,0.11,0.006,0.009
Corn,0.87,1.03,0.61,0.22,0.006,0.007
Corn silage,0.3,0.3,0,0.22,0.006,0.007
Cotton,0.93,1.49,4.41,0.13,0.012,0.007
Cucumbers,0.04,1.77,0,0.03,0.006,0.009
Dry beans,0.9,0.36,0.68,0.19,0.01,0.01
Eggplant,0.08,1.77,0,0.04,0.006,0.009
Escarole,0.94,1.07,1.54,0.2,0.016,0.014
Flaxseed,0.88,1.09,0.88,0.22,0.006,0.009
Garlic,0.11,0.23,0,0.15,0.019,0.014
Hay,0.9,0.2075,0,0.505,0.018,0.01375
Honeydew,0.06,1.77,0,0.04,0.006,0.009
Kale greens,0.08,0.1,0,0.11,0.006,0.009
Lentils,0.91,1.13,0.85,0.2,0.019,0.014
Lettuce,0.04,0.1,0,0.11,0.006,0.009
Millet,0.88,1.09,0.88,0.22,0.006,0.009
Mustard greens,0.08,0.1,0,0.11,0.006,0.009
Oats,0.89,0.91,0.89,0.25,0.007,0.008
Okra,0.1,1.4,0,0.14,0.006,0.009
Onions,0.12,0.23,0,0.14,0.019,0.014
Peanuts,0.94,1.07,1.54,0.2,0.016,0.014
Peas,0.91,1.13,0.85,0.05,0.011,0.008
Peppermint Oil,0.09,1,0,1.48,0.008,0.008
Peppers,0.08,1.4,0,0.14,0.006,0.009
Potatoes,0.22,0.1,1.06,0.2,0.019,0.014
Pumpkins,0.1,1.77,0,0.04,0.006,0.009
Radishes,0.05,1.21,0.46,0.15,0.019,0.014
Rapeseed,0.88,1.09,0.88,0.22,0.006,0.009
Rice,0.89,0.95,2.46,0.16,0.007,0.009
Rye,0.88,1.09,0.88,0.22,0.006,0.009
Safflower,0.88,1.09,0.88,0.22,0.006,0.009
Sorghum,0.89,0.88,1.33,0.22,0.007,0.006
Sorghum silage,0.3,0.3,0,0.22,0.007,0.006
Soybeans,0.91,0.93,1.35,0.19,0.008,0.008
Spearmint Oil,0.09,1,0,1.48,0.008,0.008
Spinach,0.08,0.9,0,0.11,0.006,0.009
Squash,0.05,1.57,0,0.04,0.006,0.009
Sugarcane,0.25,0.41,0,0.16,0.007,0.005
Sunflower,0.88,1.09,0.88,0.22,0.006,0.009
Sweet potatoes,0.35,0.27,1.74,0.15,0.019,0.014
Tobacco,0.87,0.3,0,0.4,0.008,0.018
Tomatoes,0.05,0.59,0.57,0.19,0.006,0.009
Turnip greens,0.08,0.1,0,0.11,0.006,0.009
Watermelon,0.085,1.77,0,0.04,0.006,0.009
Wheat,0.89,1.51,0.52,0.24,0.006,0.009
