Table A-229: Nitrogen in Crop Residues Retained on Soils Producing Crops not Simulated by DAYCENT (kt N),,,,,,,,,,,,,,,,,,,,,,,,,
Crop Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alfalfa,"68,294","60,166","49,357","56,768","61,054","61,587","49,495","44,846","46,537","44,026","41,929","34,943","34,573","34,231","35,115","34,279","30,769","30,213","30,605","29,463","29,711","29,711","26,300","28,309","29,095"
Artichokes,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,2,3,3,3,4,3,4,3,3,3
Asparagus,5,6,6,6,6,5,5,5,5,5,5,5,4,4,5,2,2,2,2,2,1,2,2,2,1
Barley,"5,900","5,518","7,361","5,920","4,652","4,574","3,610","3,717","2,891","2,075","3,165","2,228","2,487","2,517","1,454","1,969","1,405","1,822","1,781","2,443","2,622","2,495","2,426","2,565","2,610"
Beans,"1,888","2,098","2,129","2,103","1,938","1,881","1,854","1,790","1,615","1,633","1,836","1,697","1,706","1,623","1,832","1,020","1,233","1,170","1,239","1,440","1,257","1,419","1,289","1,256","1,166"
Beets,"1,795","2,076","2,648","1,933","2,428","2,282","1,902","1,435","1,751","1,497","1,548","1,192",746,"1,033",999,893,"1,928",505,"1,238","1,030","1,339","1,198","1,397","1,364","1,328"
Broccoli,18,20,20,20,18,18,18,17,15,17,18,17,16,17,18,10,12,12,13,15,13,16,15,17,16
Brussels sprouts,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabbage,22,24,25,24,23,22,22,21,19,16,21,21,19,17,20,11,13,13,14,15,14,16,13,16,15
Cantaloup,103,114,116,114,105,102,101,97,88,86,91,95,89,90,92,50,57,58,57,68,59,77,58,67,52
Carrots,403,448,454,449,413,401,396,382,344,327,345,345,298,324,335,195,208,200,214,232,208,264,232,258,244
Cauliflower,6,7,7,7,7,6,6,6,5,6,6,5,5,5,5,3,4,4,4,5,4,5,4,5,5
Celery,16,18,18,18,16,16,16,15,14,13,14,15,14,15,16,9,10,10,11,13,12,15,13,12,12
Collard greens,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Corn,"157,096","138,901","158,039","114,814","144,242","111,997","126,331","118,240","118,107","107,277","109,000","99,081","96,451","101,376","120,332","107,939","106,560","118,834","111,272","117,718","104,642","101,834","86,596","108,517","116,268"
Corn silage,"9,419","10,054","9,822","6,956","9,108","8,109","8,445","7,702","7,468","6,543","6,779","6,513","4,855","6,431","6,867","5,223","5,754","5,751","5,893","5,795","5,790","5,520","4,710","5,640","6,030"
Cotton,"40,634","39,165","39,367","42,127","47,891","52,686","52,241","55,889","44,951","52,589","52,456","57,126","51,494","50,597","48,554","55,583","52,681","38,979","38,123","29,267","39,439","39,193","40,317","39,522","39,712"
Cucumbers,72,80,81,80,74,72,71,68,61,62,63,61,60,59,62,32,36,38,39,47,40,45,40,41,37
Dry beans,"2,264","2,481","1,825","1,819","2,061","2,099","1,894","1,885","1,802","1,775","1,576","1,205","1,671","1,300","1,155",913,"1,019","1,006","1,047","1,261","1,409","1,152","1,485","1,234","1,406"
Eggplant,5,5,6,5,5,5,5,5,4,4,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Escarole,91,101,102,101,93,90,89,86,78,67,128,129,0,0,0,0,0,0,0,0,0,0,0,0,0
Flaxseed,"1,234","1,707","1,035","1,044",921,732,550,804,"1,599","1,550","2,064","2,055","1,925","1,079",694,819,846,481,475,545,577,278,533,214,434
Garlic,29,32,33,32,30,29,28,27,25,31,25,27,25,28,25,13,14,13,14,15,13,19,16,16,15
Hay,"124,991","121,171","120,502","117,531","122,732","115,116","102,360","99,247","98,714","88,066","88,222","85,416","76,725","80,977","81,141","76,822","68,257","70,885","70,656","69,663","66,882","64,680","58,899","64,128","67,431"
Honeydew,24,27,27,27,25,24,24,23,21,20,21,20,20,21,21,10,12,12,11,13,12,15,11,13,13
Kale greens,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lentils,267,470,523,562,532,563,379,586,437,488,661,634,566,585,985,720,617,564,437,1087,1458,1099,1024,972,631
Lettuce,40,44,45,44,41,40,39,38,34,36,39,39,38,41,44,23,29,26,25,29,28,36,31,30,28
Millet,"3,898","3,578","4,235","3,903","3,997","3,992","4,388","4,163","3,229","2,687","1,278","2,609",597,"1,040",829,463,596,978,875,517,574,672,270,913,716
Mustard greens,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Oats,"3,848","2,977","2,923","2,823","2,673","2,151","2,408","2,938","1,379",966,"1,287",847,"1,203","1,579","1,528","1,487","1,745","1,303","1,234","1,338","1,553","1,426","1,493","1,544","1,610"
Okra,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Onions,378,420,426,421,388,376,371,358,323,339,354,344,323,349,423,210,247,261,259,314,272,356,288,302,295
