Table A-230:  Annual Change in Soil Organic Carbon Stocks (95% Confidence Interval) for the Land Base Simulated with the Tier 3 DAYCENT Model-Based Approach (MMT CO2 Eq.),,,,,,,,,
Year,Cropland Remaining Cropland,,Land Converted to Cropland,,Grassland Remaining Grassland,,Land Converted to Grassland,,
,Estimate,95% CI,Estimate,95% CI,Estimate,95% CI,Estimate,95% CI,
1990,-56.17,(85.13) to (27.20),12.91,3.82 to 21.99,-17.87,(57.42) to 21.68,-3.81,(8.28) to 0.67,
1991,-57.01,(88.19) to (25.83),12.8,3.55 to 22.05,-8.44,(41.12) to 24.25,-4.72,(9.42) to (0.01),
1992,-58.33,(92.79) to (23.88),13.63,3.30 to 23.96,-9.35,(42.21) to 23.52,-4.67,(9.62) to 0.29,
1993,-37.09,(70.77) to (3.40),11.65,1.84 to 21.46,-8.68,(46.74) to 29.38,-5.12,(11.21) to 0.96,
1994,-48.47,(77.48) to (19.47),6.47,(4.12) to 17.06,-24.18,(66.44) to 18.08,-5.42,(11.13) to 0.28,
1995,-42.96,(74.79) to (11.13),13.62,3.64 to 23.61,-7.36,(40.08) to 25.37,-5.61,(11.06) to (0.16),
1996,-50.59,(83.49) to (17.70),11.18,0.04 to 22.33,-16.46,(54.41) to 21.49,-5.96,(11.88) to (0.04),
1997,-47.13,(78.45) to (15.81),13.12,2.94 to 23.30,-9.94,(53.81) to 33.94,-6.64,(12.54) to (0.74),
1998,-33.49,(63.73) to (3.26),7.63,(2.64) to 17.90,-13.09,(50.63) to 24.44,-6.83,(13.57) to (0.10),
1999,-46.54,(80.91) to (12.17),8.52,(3.15) to 20.18,-3.76,(43.22) to 35.69,-6.88,(14.67) to 0.91,
2000,-51.06,(79.03) to (23.10),8.41,(2.24) to 19.06,-19.22,(52.43) to 13.99,-7.14,(15.49) to 1.21,
2001,-50.85,(83.65) to (18.06),8.16,(2.66) to 18.99,-8.46,(51.41) to 34.49,-7.63,(15.88) to 0.62,
2002,-42.21,(72.67) to (11.75),8.62,(0.84) to 18.08,-6.8,(42.05) to 28.46,-8.16,(16.50) to 0.18,
2003,-32.95,(64.45) to (1.45),7.68,(2.02) to 17.37,-5.15,(45.88) to 35.58,-7.31,(16.01) to 1.39,
2004,-38.11,(69.39) to (6.84),6.93,(3.16) to 17.03,-7.38,(45.0) to 30.24,-8.01,(17.05) to 1.03,
2005,-37.19,(69.31) to (5.07),7.94,(1.98) to 17.86,-5.26,(44.04) to 33.52,-7.23,(16.46) to 2.0,
2006,-37.66,(71.38) to (3.95),7.94,(2.31) to 18.18,-14.35,(55.71) to 27.01,-7.98,(16.23) to 0.27,
2007,-37.76,(69.09) to (6.44),5.84,(3.94) to 15.62,1.26,(34.83) to 37.35,-7.87,(16.75) to 1.0,
2008,-29.74,(63.12) to 3.64,6.79,(1.73) to 15.31,-8.44,(47.35) to 30.48,-8.13,(17.73) to 1.47,
2009,-22.33,(51.73) to 7.07,5.77,(5.39) to 16.93,-10.79,(45.11) to 23.53,-7.98,(16.89) to 0.94,
2010,-22.03,(56.14) to 12.07,6.65,(3.93) to 17.23,-9.05,(46.92) to 28.82,-7.67,(16.74) to 1.39,
2011,-36.74,(68.95) to (4.53),4.54,(5.34) to 14.42,1.06,(35.84) to 37.95,-7.16,(15.94) to 1.61,
2012,-36.75,(68.95) to (4.54),4.54,(5.34) to 14.42,1.08,(35.81) to 37.97,-7.16,(15.94) to 1.61,
2013,-36.75,(68.95) to (4.54),4.54,(5.34) to 14.42,1.08,(35.81) to 37.97,-7.16,(15.94) to 1.61,
2014,-36.75,(68.95) to (4.54),4.54,(5.34) to 14.42,1.08,(35.81) to 37.97,-7.16,(15.94) to 1.61,
Note: Estimates after 2010 are based on NRI data from 2010 and therefore do not fully reflect changes occurring in the latter part of the time series.,,,,,,,,,
