Table A-232:  Annual CH4 Emissions (95% Confidence Interval) for Rice Cultivation Simulated with the Tier 3 DAYCENT Model-Based Approach (MMT CO2 Eq.),,
Year,Estimate,95% CI
1990,12.08,10.55 to 13.61
1991,11.93,10.57 to 13.28
1992,11.91,10.18 to 13.64
1993,12.65,11.18 to 14.13
1994,9.32,8.37 to 10.27
1995,12.41,10.78 to 14.04
1996,11.45,10.02 to 12.87
1997,10.47,9.37 to 11.57
1998,12.39,9.94 to 14.85
1999,11.37,8.04 to 14.71
2000,12.83,10.21 to 15.45
2001,10.97,8.87 to 13.06
2002,14.01,9.98 to 18.03
2003,9.87,8.55 to 11.20
2004,9.7,7.78 to 11.63
2005,11.93,10.26 to 13.60
2006,9.25,7.74 to 10.76
2007,8.95,6.93 to 10.98
2008,7.84,6.21 to 9.46
2009,9.88,6.81 to 12.95
2010,10.71,8.78 to 12.64
2011,10.71,8.76 to 12.66
2012,10.72,8.79 to 12.65
2013,10.71,8.78 to 12.64
2014,10.72,8.79 to 12.65
