Table A-233: Direct N2O Emissions from Cropland Soils (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,
N Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Total Mineral Soils,168.6,165.5,166.2,167.2,168,166.2,168.4,167.2,177.7,169,171.1,167.7,168.4,172.4,181.3,171.2,172.2,178.8,172.1,171.8,182.6,183.9,184.9,182.2,182
Tier 3 Cropland ,153.1,150,151,153.1,149,149.5,149.9,149.9,160,151.2,155.9,152.9,152.9,155.6,164.9,155.2,155.1,162.1,156,156.8,166.5,165.7,165.9,165.2,165.2
Synthetic Fertilizer,53.3,53,55.2,53.4,54.3,50.8,53.8,53.3,53.5,50.7,55.6,52.9,54,53.8,56.6,54.7,54.9,58.2,55,53.9,51.9,51.6,51.7,51.5,51.5
Managed Manure,5,4.9,5.3,5.1,5,4.5,4.9,4.9,5.1,5.8,6,5.6,5.7,5.6,5.8,5.6,5.6,6.1,5.8,6.2,6.5,6.4,6.4,6.4,6.4
Residue Na,23.1,25.5,23.2,23.9,22.9,25.1,24.3,24.2,23.4,26.8,25.5,24.3,24.9,25.7,23.4,24.6,24.2,24.4,23.7,23.4,26,25.8,25.8,25.7,25.7
Mineralization and Asymbiotic Fixation,71.6,66.6,67.3,70.7,66.8,69.1,67,67.5,78,67.9,68.7,70.1,68.3,70.5,79.1,70.3,70.3,73.3,71.5,73.4,82.2,81.8,82,81.6,81.6
Tier 1 Cropland,15.6,15.4,15.1,14.2,19,16.6,18.4,17.3,17.8,17.7,15.2,14.8,15.5,16.7,16.4,16,17.1,16.7,16.1,15,16.1,18.2,19,17,16.8
Synthetic Fertilizer ,5.9,5.8,5.6,4.9,9,6.5,8.6,7.4,7.9,8.8,6.1,5.7,6.3,7.3,7.2,6.7,7.4,7.4,6.7,6,7.4,9.4,10.1,8,7.8
Managed Manure and Other Organic Commercial Fertilizer,6.8,7,6.9,6.8,7.3,7.8,7.5,7.6,7.6,6.9,7,7.2,7.3,7.5,7.1,7.3,7.8,7.5,7.5,7.1,6.9,7.1,7.2,7.2,7.2
Residue N,2.8,2.6,2.7,2.4,2.7,2.4,2.4,2.3,2.2,2.1,2.1,2,1.9,1.9,2.1,2,1.9,1.9,1.9,1.9,1.8,1.8,1.7,1.8,1.9
Organic Soils,3.2,3.2,3.2,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.1,3,3,3,3,3,3
Total*,171.9,168.7,169.3,170.4,171.1,169.4,171.6,170.3,180.9,172.2,174.3,171,171.7,175.6,184.5,174.4,175.3,182,175.2,174.8,185.7,186.9,187.9,185.2,185
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,
a Residue N inputs include unharvested fixed N from legumes as well as crop residue N.,,,,,,,,,,,,,,,,,,,,,,,,,
