Table A-234: Direct N2O Emissions from Grasslands (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,
N Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Total Mineral Soils,70.3,70.4,71.4,71.9,69,71.5,74.4,73.7,77.8,66.8,68.3,68.2,70.8,71.2,81.3,71,74,75.6,73.1,75.9,75.5,74.9,74,73.3,73.3
Tier 3,65.6,66.2,66.6,66.2,62.5,64.1,66.5,67.1,72,62.1,63.7,64.3,67.1,66.9,77.4,66.4,68.4,70.6,67.8,70.7,70.3,70.5,70.4,70.4,70.4
Synthetic Fertilizer,1.1,1.1,1.1,1.2,1.1,1.1,1.1,1.1,1.4,1.1,1.2,1.2,1.3,1.3,1.5,1.3,1.4,1.3,1.3,1.4,1.3,1.2,1.2,1.2,1.4
PRP Manure,8.9,8.8,8.8,8.5,8.5,8.2,8.5,8.3,9.3,8,8.4,8.5,8.9,8.6,9.6,8.2,8.5,8.4,8,8.3,7.9,8,8,8,8
Managed Manure,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.2
Residue Na,19.7,20.1,20.3,20.5,18.3,20.3,19.8,20.4,20.2,20.3,19.3,19.8,20.1,20.2,20.9,21,20.3,21.5,20.7,20.3,21.8,21.7,21.7,21.7,21.6
Mineralization and Asymbiotic Fixation,35.8,36.1,36.3,35.8,34.4,34.4,36.9,37.1,41.1,32.5,34.7,34.6,36.7,36.6,45.3,35.8,38,39.3,37.7,40.5,39.1,39.4,39.4,39.4,39.2
Tier 1,4.7,4.2,4.8,5.7,6.6,7.4,7.8,6.7,5.8,4.7,4.5,3.9,3.7,4.3,3.8,4.6,5.6,5,5.4,5.3,5.1,4.4,3.5,2.9,2.9
PRP Manure,4.5,4,4.5,5.4,6.2,7.1,7.5,6.3,5.4,4.3,4.1,3.5,3.3,3.9,3.4,4.1,5.1,4.5,4.9,4.8,4.6,3.8,3,2.3,2.3
Sewage Sludge,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6
Organic Soils,2.9,2.8,2.8,2.8,2.9,2.9,2.9,2.8,2.8,2.8,2.8,3,3,2.9,2.9,2.9,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.7
Total ,73.2,73.2,74.2,74.7,71.9,74.3,77.2,76.5,80.6,69.6,71.1,71.1,73.8,74.1,84.1,73.9,76.8,78.4,75.9,78.7,78.1,77.6,76.6,76,76
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,
a Residue N inputs include unharvested fixed N from legumes as well as crop residue N.,,,,,,,,,,,,,,,,,,,,,,,,,
