Table A-240:  Annual Change in Soil Organic Carbon Stocks (95% Confidence Interval) for the Federal Cropland Land Base Estimated with the Tier 2 Analysis using U.S. Factor Values (MMT CO2 Eq./yr),,,,,,,,,,,,
,,,,,,,,,,,,
Federal Croplands:,Cropland Remaining Cropland,,Grassland Converted to Cropland,,Forest Converted to Cropland,,Other Land Converted to Cropland,,Settlements Converted to Cropland,,Wetlands Converted to Cropland,
Year,Estimate,95% CI ,Estimate,95% CI ,Estimate,95% CI ,Estimate,95% CI ,Estimate,95% CI ,Estimate,95% CI 
Mineral Soils,,,,,,,,,,,,
1990,-0.02, (0.06) to 0.01,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0
1991,-0.04, (0.09) to 0.01,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0
1992,-0.04, (0.15) to 0.03,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0
1993,-0.09, (0.19) to 0.01,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0
1994,-0.1, (0.23) to 0.03,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0
1995,-0.1, (0.23) to 0.03,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0
1996,-0.1, (0.23) to 0.03,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0
1997,-0.23, (0.43) to  (0.03),0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0
1998,-0.11, (0.20) to  (0.02),0.05,0.03 to 0.08,0.01,0.0 to 0.01,0,0.0 to 0.0,0,0.0 to 0.0,0.05,0.02 to 0.07
1999,-0.1, (0.19) to  (0.03),0.05,0.03 to 0.08,0.01,0.0 to 0.01,0,0.0 to 0.0,0,0.0 to 0.0,0.05,0.02 to 0.07
2000,-0.1, (0.18) to  (0.03),0.05,0.03 to 0.08,0.01,0.0 to 0.01,0,0.0 to 0.0,0,0.0 to 0.0,0.05,0.02 to 0.07
2001,-0.1, (0.18) to  (0.03),0.05,0.03 to 0.08,0.01,0.0 to 0.01,0,0.0 to 0.0,0,0.0 to 0.0,0.05,0.02 to 0.07
2002,-0.09, (0.17) to  (0.03),0.05,0.03 to 0.08,0.01,0.0 to 0.01,0,0.0 to 0.0,0,0.0 to 0.0,0.05,0.02 to 0.07
2003,-0.1, (0.18) to  (0.03),0.05,0.03 to 0.08,0.01,0.0 to 0.01,0,0.0 to 0.0,0,0.0 to 0.0,0.05,0.02 to 0.07
2004,-0.11, (0.18) to  (0.04),0.05,0.03 to 0.08,0.01,0.0 to 0.01,0,0.0 to 0.0,0,0.0 to 0.0,0.05,0.02 to 0.07
2005,-0.1, (0.17) to  (0.04),0.06,0.03 to 0.09,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0.05,0.02 to 0.07
2006,-0.1, (0.17) to  (0.04),0.06,0.03 to 0.09,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0.05,0.02 to 0.07
2007,-0.1, (0.17) to  (0.04),0.06,0.03 to 0.09,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0.05,0.02 to 0.07
2008,-0.1, (0.17) to  (0.04),0.06,0.03 to 0.09,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0.05,0.02 to 0.07
2009,-0.09, (0.15) to  (0.04),0.06,0.03 to 0.09,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0.05,0.02 to 0.07
2010,-0.09, (0.14) to  (0.04),0.06,0.03 to 0.09,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0.05,0.02 to 0.07
2011,-0.07, (0.12) to  (0.04),0.06,0.03 to 0.09,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0.05,0.02 to 0.07
2012,-0.06, (0.10) to  (0.03),0.06,0.03 to 0.09,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0.05,0.02 to 0.07
2013,-0.05, (0.08) to  (0.03),0.06,0.03 to 0.09,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0.05,0.02 to 0.07
2014,-0.06, (0.09) to  (0.03),0.06,0.03 to 0.09,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0.05,0.02 to 0.07
Note: Estimates after 2010 are based on NRI data from 2010 and therefore do not fully reflect changes occurring in the latter part of the time series.,,,,,,,,,,,,
