Table A-241:  Annual Change in Soil Organic Carbon Stocks (95% Confidence Interval) for the Total Cropland Land Base Estimated with the Tier 2 Analysis using U.S. Factor Values (MMT CO2 Eq./yr),,,,,,,,,,,,
,,,,,,,,,,,,
Total Croplands:,Cropland Remaining Cropland,,Grassland Converted to Cropland,,Forest Converted to Cropland,,Other Land Converted to Cropland,,Settlements Converted to Cropland,,Wetlands Converted to Cropland,
Year,Estimate,95% CI ,Estimate,95% CI ,Estimate,95% CI ,Estimate,95% CI ,Estimate,95% CI ,Estimate,95% CI 
Mineral Soils,,,,,,,,,,,,
1990,-6.15,(8.68) to (3.74),1.31, (0.43) to 2.22,0.2, (0.07) to 0.34,0.16, (0.05) to 0.27,0.06, (0.02) to 0.11,0.11, (0.04) to 0.18
1991,-6.73,(9.43) to (4.14),1.25, (0.43) to 2.23,0.18, (0.06) to 0.32,0.15, (0.05) to 0.26,0.06, (0.02) to 0.11,0.1, (0.03) to 0.18
1992,-6.73,(10.41) to (4.46),1.31, (0.42) to 2.32,0.18, (0.06) to 0.31,0.16, (0.05) to 0.28,0.07, (0.02) to 0.12,0.1, (0.03) to 0.18
1993,-7.14,(10.21) to (4.14),1.44, (0.41) to 2.50,0.17, (0.05) to 0.30,0.18, (0.05) to 0.32,0.07, (0.02) to 0.12,0.13, (0.04) to 0.22
1994,-7.01,(10.08) to (4.01),1.44, (0.38) to 2.56,0.16, (0.04) to 0.28,0.2, (0.05) to 0.35,0.07, (0.02) to 0.13,0.14, (0.04) to 0.25
1995,-6.49,(9.36) to (3.68),1.55, (0.38) to 2.68,0.17, (0.04) to 0.30,0.21, (0.05) to 0.36,0.07, (0.02) to 0.13,0.15, (0.04) to 0.27
1996,-6.14,(8.94) to (3.41),1.77, (0.37) to 2.97,0.18, (0.04) to 0.30,0.24, (0.05) to 0.40,0.08, (0.02) to 0.14,0.17, (0.04) to 0.29
1997,-7.72,(11.24) to (4.35),1.46, (0.32) to 2.65,0.14, (0.03) to 0.26,0.2, (0.04) to 0.36,0.06, (0.01) to 0.12,0.14, (0.03) to 0.25
1998,-7.3,(10.83) to (3.93),1.55, (0.30) to 2.83,0.14, (0.02) to 0.25,0.2, (0.05) to 0.37,0.07, (0.02) to 0.13,0.19,0.01 to 0.31
1999,-6.63,(9.92) to (3.49),1.56, (0.22) to 2.85,0.12, (0.01) to 0.22,0.21, (0.04) to 0.39,0.07, (0.01) to 0.13,0.19,0.02 to 0.31
2000,-7.06,(10.35) to (3.95),1.46, (0.22) to 2.69,0.1, (0.01) to 0.19,0.21, (0.04) to 0.39,0.07, (0.01) to 0.13,0.18,0.02 to 0.30
2001,-6.88,(10.09) to (3.87),1.37, (0.20) to 2.60,0.09, (0.01) to 0.17,0.19, (0.04) to 0.38,0.06, (0.01) to 0.12,0.17,0.02 to 0.29
2002,-6.78,(9.84) to (3.94),1.17, (0.19) to 2.30,0.07, (0.01) to 0.14,0.16, (0.03) to 0.32,0.06, (0.01) to 0.12,0.15,0.02 to 0.26
2003,-6.15,(9.02) to (3.46),1.07, (0.18) to 2.12,0.07, (0.01) to 0.13,0.15, (0.03) to 0.30,0.05, (0.01) to 0.09,0.14,0.02 to 0.24
2004,-5.53,(8.46) to (2.83),1.19, (0.17) to 2.34,0.07, (0.01) to 0.13,0.16, (0.03) to 0.32,0.05, (0.01) to 0.10,0.15,0.03 to 0.25
2005,-5.61,(8.37) to (3.07),1.17, (0.18) to 2.29,0.06, (0.01) to 0.11,0.15, (0.03) to 0.30,0.05, (0.01) to 0.10,0.14,0.02 to 0.24
2006,-4.68,(7.28) to (2.34),1.4, (0.18) to 2.46,0.07, (0.01) to 0.12,0.19, (0.03) to 0.34,0.06, (0.01) to 0.11,0.16,0.02 to 0.25
2007,-4.59,(7.06) to (2.39),1.44, (0.16) to 2.46,0.04, (0.01) to 0.08,0.19, (0.03) to 0.33,0.07, (0.01) to 0.12,0.15,0.03 to 0.24
2008,-3.95,(6.21) to (1.96),1.42, (0.14) to 2.39,0.04, (0.01) to 0.08,0.19, (0.03) to 0.33,0.06, (0.01) to 0.11,0.15,0.03 to 0.22
2009,-3.95,(6.18) to (1.98),1.29, (0.13) to 2.24,0.04, (0.01) to 0.07,0.18, (0.03) to 0.31,0.05, (0.01) to 0.09,0.13,0.03 to 0.20
2010,-3.98,(6.22) to (2.02),1.29, (0.11) to 2.21,0.04,0.0 to 0.07,0.18, (0.02) to 0.32,0.06, (0.01) to 0.11,0.13,0.03 to 0.20
2011,-3.68,(5.78) to (1.87),1.3, (0.11) to 2.22,0.04,0.0 to 0.07,0.18, (0.02) to 0.32,0.06, (0.01) to 0.11,0.13,0.03 to 0.20
2012,-3.32,(5.37) to (1.59),1.31, (0.11) to 2.23,0.04,0.0 to 0.07,0.19, (0.02) to 0.32,0.06, (0.01) to 0.11,0.13,0.03 to 0.20
2013,-3.13,(5.16) to (1.42),1.32, (0.10) to 2.23,0.04,0.0 to 0.07,0.19, (0.02) to 0.32,0.06, (0.01) to 0.11,0.13,0.03 to 0.20
2014,-3.17,(5.20) to (1.45),1.32, (0.10) to 2.24,0.04,0.0 to 0.07,0.19, (0.02) to 0.32,0.06, (0.01) to 0.11,0.13,0.03 to 0.20
,,,,,,,,,,,,
Organic Soils,,,,,,,,,,,,
1990,18.41,40.41 to 3.19,1.9,4.94 to 0.10,0.04,0.18 to 0.11,0.01,0.25 to 0.02,0,0.06 to 0.61,0.3,1.04 to 6.09
1991,18.07,39.89 to 3.20,1.91,4.91 to 0.10,0.04,0.18 to 0.11,0.01,0.25 to 0.02,0,0.06 to 0.62,0.3,1.04 to 5.99
1992,18,39.96 to 3.18,1.9,4.90 to 0.09,0.04,0.17 to 0.04,0,0.14 to 0.02,0,0.06 to 0.62,0.3,1.04 to 5.87
