Table A-242:  Annual Change in Soil Organic Carbon Stocks (95% Confidence Interval) for the Non-Federal Grasslands Land Base Estimated with the Tier 2 Analysis using U.S. Factor Values (MMT CO2 Eq./yr),,,,,,,,,,,,
,,,,,,,,,,,,
Non-Federal Grasslands:,Grassland Remaining Grassland,,Cropland Converted to Grassland,,Forest Converted to Grassland,,Other Land Converted to Grassland,,Settlements Converted to Grassland,,Wetlands Converted to Grassland,
Year,Estimate,95% CI ,Estimate,95% CI ,Estimate,95% CI ,Estimate,95% CI ,Estimate,95% CI ,Estimate,95% CI 
Mineral Soils,,,,,,,,,,,,
1990,-0.27,(0.60) to 0.01,-3.14,(4.54) to (1.90),-0.48,(0.69) to (0.29),-0.62,(0.90) to (0.38),-0.09,(0.13) to (0.05),-0.47,(0.68) to (0.28)
1991,-0.27,(0.60) to 0.0,-3.07,(4.41) to (1.87),-0.47,(0.68) to (0.29),-0.64,(0.93) to (0.39),-0.09,(0.13) to (0.06),-0.59,(0.85) to (0.36)
1992,-0.27,(0.58) to 0.01,-2.97,(4.27) to (1.80),-0.45,(0.64) to (0.27),-0.68,(0.98) to (0.41),-0.09,(0.14) to (0.06),-0.61,(0.87) to (0.37)
1993,-0.26,(0.57) to 0.0,-3.3,(4.74) to (1.99),-0.47,(0.67) to (0.28),-0.83,(1.19) to (0.50),-0.11,(0.16) to (0.07),-0.64,(0.92) to (0.39)
1994,-0.24,(0.53) to 0.0,-3.41,(4.90) to (2.07),-0.45,(0.65) to (0.27),-0.95,(1.37) to (0.58),-0.12,(0.17) to (0.07),-0.65,(0.94) to (0.40)
1995,-0.24,(0.52) to 0.0,-3.25,(4.68) to (1.97),-0.47,(0.68) to (0.29),-0.98,(1.40) to (0.59),-0.12,(0.17) to (0.07),-0.62,(0.90) to (0.38)
1996,-0.24,(0.51) to 0.0,-3.05,(4.39) to (1.85),-0.45,(0.65) to (0.27),-0.94,(1.36) to (0.57),-0.12,(0.18) to (0.07),-0.61,(0.88) to (0.37)
1997,-0.2,(0.44) to 0.0,-2.9,(4.14) to (1.79),-0.43,(0.61) to (0.26),-0.99,(1.40) to (0.61),-0.13,(0.18) to (0.08),-0.61,(0.87) to (0.38)
1998,-0.15,(0.48) to 0.16,-3.19,(4.64) to (1.93),-0.41,(0.60) to (0.25),-1.07,(1.56) to (0.65),-0.14,(0.21) to (0.09),-0.6,(0.87) to (0.36)
1999,-0.08,(0.37) to 0.19,-2.87,(4.16) to (1.74),-0.4,(0.57) to (0.24),-1.07,(1.55) to (0.65),-0.15,(0.22) to (0.09),-0.59,(0.86) to (0.36)
2000,-0.08,(0.37) to 0.20,-3.06,(4.44) to (1.85),-0.38,(0.55) to (0.23),-1.16,(1.68) to (0.70),-0.16,(0.23) to (0.10),-0.61,(0.88) to (0.37)
2001,-0.07,(0.34) to 0.20,-2.89,(4.20) to (1.74),-0.36,(0.53) to (0.22),-1.19,(1.73) to (0.71),-0.16,(0.24) to (0.10),-0.59,(0.86) to (0.35)
2002,-0.05,(0.32) to 0.20,-2.64,(3.86) to (1.57),-0.33,(0.49) to (0.20),-1.12,(1.63) to (0.66),-0.16,(0.24) to (0.10),-0.54,(0.80) to (0.32)
2003,-0.05,(0.31) to 0.21,-2.4,(3.55) to (1.41),-0.27,(0.39) to (0.16),-1.04,(1.54) to (0.61),-0.15,(0.22) to (0.09),-0.52,(0.76) to (0.30)
2004,-0.04,(0.30) to 0.21,-2.67,(3.94) to (1.57),-0.28,(0.41) to (0.16),-1.09,(1.60) to (0.64),-0.15,(0.23) to (0.09),-0.55,(0.81) to (0.32)
2005,-0.06,(0.32) to 0.19,-2.46,(3.63) to (1.45),-0.28,(0.41) to (0.16),-1.08,(1.60) to (0.64),-0.15,(0.23) to (0.09),-0.53,(0.79) to (0.31)
2006,-0.06,(0.31) to 0.18,-2.05,(3.10) to (1.15),-0.24,(0.36) to (0.13),-0.95,(1.44) to (0.53),-0.14,(0.21) to (0.08),-0.47,(0.71) to (0.26)
2007,-0.04,(0.28) to 0.20,-1.73,(2.66) to (0.95),-0.18,(0.27) to (0.10),-0.89,(1.36) to (0.49),-0.13,(0.20) to (0.07),-0.43,(0.66) to (0.24)
2008,-0.01,(0.25) to 0.23,-1.58,(2.43) to (0.87),-0.16,(0.24) to (0.09),-0.85,(1.30) to (0.46),-0.13,(0.19) to (0.07),-0.33,(0.51) to (0.18)
2009,0,(0.24) to 0.24,-1.52,(2.34) to (0.83),-0.16,(0.24) to (0.09),-0.84,(1.29) to (0.46),-0.12,(0.19) to (0.07),-0.27,(0.41) to (0.15)
2010,0.01,(0.22) to 0.24,-1.45,(2.22) to (0.79),-0.16,(0.24) to (0.09),-0.83,(1.28) to (0.45),-0.13,(0.19) to (0.07),-0.23,(0.35) to (0.12)
2011,0.01,(0.21) to 0.24,-1.44,(2.21) to (0.78),-0.16,(0.24) to (0.08),-0.83,(1.28) to (0.45),-0.13,(0.19) to (0.07),-0.22,(0.34) to (0.12)
2012,0.02,(0.21) to 0.24,-1.43,(2.20) to (0.76),-0.15,(0.24) to (0.08),-0.82,(1.27) to (0.44),-0.12,(0.19) to (0.07),-0.22,(0.34) to (0.12)
2013,0.02,(0.21) to 0.25,-1.42,(2.19) to (0.76),-0.15,(0.24) to (0.08),-0.82,(1.26) to (0.44),-0.12,(0.19) to (0.07),-0.22,(0.34) to (0.12)
2014,0.02,(0.20) to 0.26,-1.42,(2.19) to (0.76),-0.15,(0.24) to (0.08),-0.82,(1.26) to (0.43),-0.12,(0.19) to (0.07),-0.22,(0.34) to (0.12)
Note: Estimates after 2010 are based on NRI data from 2010 and therefore do not fully reflect changes occurring in the latter part of the time series.,,,,,,,,,,,,
