Table A-243:   Annual Change in Soil Organic Carbon Stocks (95% Confidence Interval) for the Federal Grasslands Land Base Estimated with the Tier 2 Analysis using U.S. Factor Values (MMT CO2 Eq./yr),,,,,,,,,,,,
,,,,,,,,,,,,
Federal Grasslands:,Grassland Remaining Grassland,,Cropland Converted to Grassland,,Forest Converted to Grassland,,Other Land Converted to Grassland,,Settlements Converted to Grassland,,Wetlands Converted to Grassland,
Year,Estimate,95% CI ,Estimate,95% CI ,Estimate,95% CI ,Estimate,95% CI ,Estimate,95% CI ,Estimate,95% CI 
Mineral Soils,,,,,,,,,,,,
1990,-0.21,(8.71) to 9.11,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0
1991,-0.3,(9.01) to 8.48,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0
1992,-0.3,(9.83) to 7.79,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0
1993,-1.17,(10.81) to 7.36,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0
1994,-1.46,(11.45) to 6.94,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0
1995,-1.46,(11.63) to 6.81,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0
1996,-0.81,(10.24) to 6.85,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0
1997,-0.74,(10.05) to 7.06,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0,0,0.0 to 0.0
1998,-1.42,(12.70) to 6.88,-0.02,(0.05) to 0.0,-0.68,(1.55) to 0.13,-0.04,(0.10) to 0.01,0,0.0 to 0.0,-0.04,(0.09) to 0.01
1999,-1.27,(12.52) to 6.99,-0.02,(0.05) to 0.0,-0.69,(1.56) to 0.13,-0.04,(0.10) to 0.01,0,0.0 to 0.0,-0.04,(0.09) to 0.01
2000,-1.46,(11.84) to 6.24,-0.02,(0.05) to 0.0,-0.69,(1.55) to 0.12,-0.04,(0.10) to 0.01,0,0.0 to 0.0,-0.04,(0.09) to 0.01
2001,-1.45,(11.92) to 6.34,-0.02,(0.05) to 0.0,-0.68,(1.55) to 0.12,-0.04,(0.10) to 0.01,0,0.0 to 0.0,-0.04,(0.09) to 0.01
2002,-2.46,(13.81) to 6.87,-0.02,(0.05) to 0.0,-0.7,(1.50) to 0.05,-0.05,(0.10) to 0.0,0,0.0 to 0.0,-0.04,(0.09) to 0.0
2003,-2.51,(13.94) to 7.52,-0.02,(0.05) to 0.0,-0.69,(1.49) to 0.05,-0.04,(0.10) to 0.0,0,0.0 to 0.0,-0.04,(0.09) to 0.0
2004,-1.21,(10.83) to 8.60,-0.02,(0.05) to 0.0,-0.69,(1.49) to 0.06,-0.04,(0.10) to 0.0,0,0.0 to 0.0,-0.04,(0.09) to 0.0
2005,-1.27,(10.93) to 8.31,0,0.0 to 0.0,-0.71,(1.68) to 0.20,-0.01,(0.02) to 0.0,0,0.0 to 0.0,-0.02,(0.05) to 0.01
2006,-1.39,(11.27) to 8.31,0,0.0 to 0.0,-0.71,(1.68) to 0.19,-0.01,(0.02) to 0.0,0,0.0 to 0.0,-0.02,(0.05) to 0.01
2007,-1.49,(11.36) to 7.92,0,0.0 to 0.0,-0.71,(1.67) to 0.20,-0.01,(0.02) to 0.0,0,0.0 to 0.0,-0.02,(0.05) to 0.01
2008,-1.53,(11.51) to 8.04,0,0.0 to 0.0,-0.7,(1.67) to 0.20,-0.01,(0.02) to 0.0,0,0.0 to 0.0,-0.02,(0.05) to 0.01
2009,-1.3,(10.95) to 7.01,0,0.0 to 0.0,-0.69,(1.66) to 0.21,-0.01,(0.02) to 0.0,0,0.0 to 0.0,-0.02,(0.05) to 0.01
2010,-1.37,(10.93) to 7.36,0,0.0 to 0.0,-0.68,(1.65) to 0.22,-0.01,(0.02) to 0.0,0,0.0 to 0.0,-0.02,(0.05) to 0.01
2011,-1,(10.18) to 7.87,0,0.0 to 0.0,-0.67,(1.64) to 0.23,-0.01,(0.02) to 0.0,0,0.0 to 0.0,-0.02,(0.05) to 0.01
2012,-0.52,(9.34) to 8.61,0,0.0 to 0.0,-0.66,(1.63) to 0.24,-0.01,(0.02) to 0.0,0,0.0 to 0.0,-0.02,(0.05) to 0.01
2013,-0.28,(8.76) to 9.05,0,0.0 to 0.0,-0.66,(1.63) to 0.25,-0.01,(0.02) to 0.0,0,0.0 to 0.0,-0.02,(0.05) to 0.01
2014,-0.28,(8.84) to 9.23,0,0.0 to 0.0,-0.66,(1.63) to 0.25,-0.01,(0.02) to 0.0,0,0.0 to 0.0,-0.02,(0.05) to 0.01
Note: Estimates after 2010 are based on NRI data from 2010 and therefore do not fully reflect changes occurring in the latter part of the time series.,,,,,,,,,,,,
