Table A-244:   Annual Change in Soil Organic Carbon Stocks (95% Confidence Interval) for the Total Grassland Land Base Estimated with the Tier 2 Analysis using U.S. Factor Values (MMT CO2 Eq./yr),,,,,,,,,,,,,
,,,,,,,,,,,,,
Total Grasslands:,Grassland Remaining Grassland,,Cropland Converted to Grassland,,Forest Converted to Grassland,,Other Land Converted to Grassland,,Settlements Converted to Grassland,,Wetlands Converted to Grassland,,
Year,Estimate,95% CI ,Estimate,95% CI ,Estimate,95% CI ,Estimate,95% CI ,Estimate,95% CI ,Estimate,95% CI ,
Mineral Soils,,,,,,,,,,,,,
1990,-0.48,(8.98) to 8.84,-3.14,(4.54) to (1.90),-0.48,(0.69) to (0.29),-0.62,(0.90) to (0.38),-0.09,(0.13) to (0.05),-0.47,(0.68) to (0.28),
1991,-0.58,(9.29) to 8.21,-3.07,(4.41) to (1.87),-0.47,(0.68) to (0.29),-0.64,(0.93) to (0.39),-0.09,(0.13) to (0.06),-0.59,(0.85) to (0.36),
1992,-0.58,(10.09) to 7.53,-2.97,(4.27) to (1.80),-0.45,(0.64) to (0.27),-0.68,(0.98) to (0.41),-0.09,(0.14) to (0.06),-0.61,(0.87) to (0.37),
1993,-1.42,(11.08) to 7.10,-3.3,(4.74) to (1.99),-0.47,(0.67) to (0.28),-0.83,(1.19) to (0.50),-0.11,(0.16) to (0.07),-0.64,(0.92) to (0.39),
1994,-1.7,(11.69) to 6.71,-3.41,(4.90) to (2.07),-0.45,(0.65) to (0.27),-0.95,(1.37) to (0.58),-0.12,(0.17) to (0.07),-0.65,(0.94) to (0.40),
1995,-1.7,(11.87) to 6.57,-3.25,(4.68) to (1.97),-0.47,(0.68) to (0.29),-0.98,(1.40) to (0.59),-0.12,(0.17) to (0.07),-0.62,(0.90) to (0.38),
1996,-1.04,(10.48) to 6.62,-3.05,(4.39) to (1.85),-0.45,(0.65) to (0.27),-0.94,(1.36) to (0.57),-0.12,(0.18) to (0.07),-0.61,(0.88) to (0.37),
1997,-0.94,(10.25) to 6.86,-2.9,(4.14) to (1.79),-0.43,(0.61) to (0.26),-0.99,(1.40) to (0.61),-0.13,(0.18) to (0.08),-0.61,(0.87) to (0.38),
1998,-1.57,(12.85) to 6.73,-3.21,(4.66) to (1.95),-1.09,(1.98) to (0.26),-1.12,(1.61) to (0.69),-0.15,(0.21) to (0.09),-0.64,(0.91) to (0.40),
1999,-1.35,(12.60) to 6.91,-2.89,(4.18) to (1.76),-1.09,(1.97) to (0.26),-1.12,(1.60) to (0.69),-0.15,(0.22) to (0.09),-0.63,(0.90) to (0.39),
2000,-1.54,(11.92) to 6.16,-3.08,(4.46) to (1.88),-1.07,(1.95) to (0.25),-1.2,(1.72) to (0.74),-0.16,(0.23) to (0.10),-0.65,(0.93) to (0.40),
2001,-1.52,(12.0) to 6.27,-2.92,(4.23) to (1.76),-1.05,(1.92) to (0.23),-1.23,(1.77) to (0.76),-0.16,(0.24) to (0.10),-0.63,(0.90) to (0.39),
2002,-2.52,(13.87) to 6.82,-2.66,(3.89) to (1.59),-1.03,(1.85) to (0.27),-1.16,(1.68) to (0.71),-0.16,(0.24) to (0.10),-0.59,(0.84) to (0.36),
2003,-2.56,(13.99) to 7.48,-2.43,(3.57) to (1.44),-0.96,(1.77) to (0.20),-1.09,(1.58) to (0.65),-0.15,(0.22) to (0.09),-0.56,(0.81) to (0.34),
2004,-1.25,(10.87) to 8.56,-2.69,(3.96) to (1.59),-0.97,(1.78) to (0.21),-1.13,(1.65) to (0.68),-0.15,(0.23) to (0.09),-0.59,(0.85) to (0.36),
2005,-1.33,(10.99) to 8.25,-2.46,(3.63) to (1.45),-0.99,(1.97) to (0.07),-1.09,(1.61) to (0.65),-0.15,(0.23) to (0.09),-0.55,(0.81) to (0.33),
2006,-1.45,(11.33) to 8.26,-2.05,(3.10) to (1.15),-0.95,(1.93) to (0.04),-0.96,(1.45) to (0.54),-0.14,(0.21) to (0.08),-0.49,(0.73) to (0.28),
2007,-1.53,(11.40) to 7.89,-1.74,(2.66) to (0.95),-0.88,(1.86) to 0.03,-0.9,(1.37) to (0.50),-0.13,(0.20) to (0.07),-0.45,(0.69) to (0.26),
2008,-1.54,(11.53) to 8.03,-1.58,(2.43) to (0.87),-0.86,(1.83) to 0.05,-0.86,(1.31) to (0.47),-0.13,(0.19) to (0.07),-0.35,(0.54) to (0.20),
2009,-1.3,(10.95) to 7.01,-1.52,(2.34) to (0.83),-0.85,(1.82) to 0.06,-0.85,(1.30) to (0.47),-0.12,(0.19) to (0.07),-0.29,(0.43) to (0.16),
2010,-1.36,(10.92) to 7.37,-1.45,(2.23) to (0.79),-0.84,(1.81) to 0.07,-0.84,(1.29) to (0.46),-0.13,(0.19) to (0.07),-0.24,(0.37) to (0.14),
2011,-0.98,(10.17) to 7.89,-1.44,(2.22) to (0.78),-0.83,(1.80) to 0.08,-0.84,(1.29) to (0.46),-0.13,(0.19) to (0.07),-0.24,(0.37) to (0.14),
2012,-0.51,(9.33) to 8.63,-1.43,(2.20) to (0.77),-0.81,(1.78) to 0.09,-0.83,(1.28) to (0.45),-0.12,(0.19) to (0.07),-0.24,(0.36) to (0.13),
2013,-0.26,(8.75) to 9.07,-1.42,(2.20) to (0.76),-0.81,(1.78) to 0.10,-0.83,(1.27) to (0.45),-0.12,(0.19) to (0.07),-0.24,(0.36) to (0.13),
2014,-0.26,(8.81) to 9.26,-1.42,(2.19) to (0.76),-0.81,(1.78) to 0.10,-0.83,(1.27) to (0.44),-0.12,(0.19) to (0.07),-0.24,(0.36) to (0.13),
,,,,,,,,,,,,,
Organic Soils,,,,,,,,,,,,,
1990,3.46,9.59 to 0.54,0.23,.98 to 0.01,0,0.03 to 0.03,0.01,0.06 to 0.0,0,0.0 to 0.08,0.01,0.20 to 0.0,
